Date,Low,Open,Volume,High,Close,Adjusted Close
01-05-1998,11.75,12.375,23597300,13.5625,13.3125,13.183107376098633
04-05-1998,13.375,13.4375,3529400,14.0,13.75,13.61635684967041
05-05-1998,13.0,13.75,3056300,13.875,13.25,13.1212158203125
06-05-1998,11.875,13.25,3109900,13.25,12.625,12.502289772033691
07-05-1998,12.25,12.625,1304100,12.75,12.3125,12.192828178405762
08-05-1998,12.3125,12.3125,1326400,12.75,12.5625,12.440398216247559
11-05-1998,12.5,12.5,889600,12.875,12.6875,12.56418228149414
12-05-1998,12.3125,12.6875,1467700,12.75,12.375,12.254720687866211
13-05-1998,11.5,12.25,1448900,12.375,11.6875,11.57390308380127
14-05-1998,11.375,11.625,1189000,11.75,11.375,11.26443862915039
15-05-1998,10.75,11.0625,2314800,11.25,10.9375,10.831192016601562
18-05-1998,10.4375,10.6875,1836500,10.875,10.6875,10.583621978759766
19-05-1998,10.75,10.8125,1390700,11.0625,10.9375,10.831192016601562
20-05-1998,10.4375,10.9375,1014500,11.0625,10.4375,10.336050987243652
21-05-1998,10.0,10.5,1641100,10.625,10.25,10.150375366210938
22-05-1998,10.0,10.125,329100,10.375,10.0625,9.964696884155273
26-05-1998,9.875,10.0,833800,10.25,9.875,9.779020309448242
27-05-1998,9.0,9.75,1574900,9.875,9.875,9.779020309448242
28-05-1998,9.6875,9.8125,1727500,10.5,10.1875,10.088482856750488
29-05-1998,10.125,10.1875,748000,10.375,10.375,10.27415943145752
01-06-1998,10.125,10.1875,1764200,10.375,10.25,10.150375366210938
02-06-1998,9.75,10.1875,434800,10.375,9.75,9.655234336853027
03-06-1998,7.0,9.875,2611000,9.875,8.3125,8.231705665588379
04-06-1998,8.75,9.125,3581200,9.375,9.0625,8.974416732788086
05-06-1998,8.125,9.125,1799000,9.125,8.375,8.293598175048828
08-06-1998,8.25,8.375,663000,9.375,9.25,9.160093307495117
09-06-1998,8.875,9.375,471800,9.375,9.375,9.283880233764648
10-06-1998,8.875,9.0,773900,9.375,9.125,9.036308288574219
11-06-1998,9.0,9.0,386700,9.125,9.03125,8.943470001220703
12-06-1998,8.125,9.0,325300,9.0625,8.8125,8.726846694946289
15-06-1998,7.875,8.75,351300,8.75,8.0625,7.98413610458374
16-06-1998,7.875,8.0,1724100,9.0,8.9375,8.850631713867188
17-06-1998,8.125,9.0,301300,9.0,8.375,8.293598175048828
18-06-1998,7.75,8.0625,805500,8.25,7.875,7.798458576202393
19-06-1998,7.875,8.0,483500,8.375,8.125,8.046029090881348
22-06-1998,8.0,8.0625,106900,8.5,8.375,8.293598175048828
23-06-1998,8.125,8.5,398900,8.5625,8.25,8.169812202453613
24-06-1998,8.375,8.4375,1127700,9.6875,9.5,9.407665252685547
25-06-1998,9.375,9.625,435300,9.875,9.625,9.531449317932129
26-06-1998,9.375,9.5,62600,9.625,9.4375,9.345771789550781
29-06-1998,9.5,9.5,369900,9.75,9.59375,9.500503540039062
30-06-1998,9.1875,9.625,638400,9.75,9.34375,9.25293254852295
01-07-1998,7.875,9.25,1163200,9.375,8.34375,8.262652397155762
02-07-1998,7.0,8.25,5764500,8.3125,7.4375,7.36521053314209
06-07-1998,7.5,7.75,225300,7.875,7.8125,7.736565589904785
07-07-1998,7.75,7.8125,407800,8.0,7.875,7.798458576202393
08-07-1998,7.8125,7.9375,942900,8.25,8.25,8.169812202453613
09-07-1998,8.25,8.375,445300,8.5,8.25,8.169812202453613
10-07-1998,8.0625,8.25,531400,8.4375,8.125,8.046029090881348
13-07-1998,8.0625,8.125,417800,8.375,8.125,8.046029090881348
14-07-1998,8.0,8.125,498200,8.4375,8.1875,8.107921600341797
15-07-1998,8.25,8.4375,192700,8.5,8.375,8.293598175048828
16-07-1998,8.375,8.4375,1440000,9.1875,9.140625,9.051782608032227
17-07-1998,8.875,9.15625,229600,9.1875,9.125,9.036308288574219
20-07-1998,9.0,9.125,257500,9.25,9.0625,8.974416732788086
21-07-1998,9.1875,9.25,632600,9.75,9.625,9.531449317932129
22-07-1998,9.1875,9.5,467000,9.75,9.1875,9.098201751708984
23-07-1998,8.375,9.5,1496000,9.75,8.375,8.293598175048828
24-07-1998,7.9375,8.5,653300,9.0,8.0,7.922243595123291
27-07-1998,7.875,8.0,695100,8.125,7.875,7.798458576202393
28-07-1998,7.4375,7.875,770800,8.0,7.5625,7.488995552062988
29-07-1998,7.5,7.625,481300,7.75,7.5,7.427103042602539
30-07-1998,7.5,7.5625,323100,7.625,7.5,7.427103042602539
31-07-1998,7.375,7.625,584600,7.625,7.40625,7.334264278411865
03-08-1998,7.0,7.375,346400,7.5,7.0625,6.9938554763793945
04-08-1998,6.625,7.0,421500,7.125,6.875,6.808178424835205
05-08-1998,6.75,6.875,480500,7.0,6.75,6.684392929077148
06-08-1998,6.625,6.75,1024600,7.125,7.125,7.055748462677002
07-08-1998,7.0,7.125,632800,7.6875,7.0,6.931962490081787
10-08-1998,6.5,6.75,268300,7.0,6.875,6.808178424835205
11-08-1998,6.4375,6.75,208500,6.8125,6.5,6.436822891235352
12-08-1998,6.5,6.625,449200,6.75,6.5,6.436822891235352
13-08-1998,6.25,6.6875,974900,6.6875,6.625,6.56060791015625
14-08-1998,6.375,6.375,495200,6.875,6.5625,6.498715400695801
17-08-1998,6.25,6.5625,143600,6.75,6.5,6.436822891235352
18-08-1998,6.5,6.5,379800,7.0,7.0,6.931962490081787
19-08-1998,6.875,7.125,451700,7.25,7.0,6.931962490081787
20-08-1998,6.9375,7.125,140300,7.125,6.9375,6.870070934295654
21-08-1998,6.625,7.0,144500,7.0,6.8125,6.746285915374756
24-08-1998,5.5,6.8125,567000,6.8125,5.875,5.817897319793701
25-08-1998,5.5,6.125,2366300,6.125,5.9375,5.87978982925415
26-08-1998,5.25,6.0,412500,6.0,5.6875,5.632219314575195
27-08-1998,4.375,5.625,1165400,5.6875,4.4375,4.394370079040527
28-08-1998,4.25,4.625,733000,4.75,4.3125,4.270584583282471
31-08-1998,4.1875,4.625,1141600,4.6875,4.625,4.580046653747559
01-09-1998,4.5,4.5625,952900,4.75,4.625,4.580046653747559
02-09-1998,3.5625,4.75,1330600,4.8125,3.9375,3.8992292881011963
03-09-1998,3.25,3.75,439000,3.875,3.6875,3.6516590118408203
04-09-1998,3.25,3.75,152000,4.25,4.0625,4.023014545440674
08-09-1998,4.25,4.25,357300,4.75,4.5,4.456262111663818
09-09-1998,4.5,4.625,924000,4.75,4.59375,4.549100875854492
10-09-1998,4.3125,4.75,387200,4.75,4.625,4.580046653747559
11-09-1998,4.625,4.9375,566100,5.125,5.0,4.951402187347412
14-09-1998,5.0,5.125,976000,5.4375,5.4375,5.384649276733398
15-09-1998,5.25,5.375,503100,5.9375,5.9375,5.87978982925415
16-09-1998,5.8125,6.0,556200,6.3125,5.875,5.817897319793701
17-09-1998,5.0625,5.8125,122800,5.875,5.6875,5.632219314575195
18-09-1998,5.5,6.0,211600,6.125,5.8125,5.75600528717041
21-09-1998,5.375,5.625,357900,5.75,5.5,5.446542739868164
22-09-1998,5.4375,5.5625,520100,5.6875,5.5,5.446542739868164
23-09-1998,5.3125,5.4375,284600,5.5625,5.4375,5.384649276733398
24-09-1998,4.3125,5.3125,686100,5.5,4.4375,4.394370079040527
25-09-1998,4.375,4.375,243300,4.8125,4.75,4.703832626342773
28-09-1998,4.4375,4.875,222500,5.125,4.5625,4.518154144287109
29-09-1998,4.5,4.5625,361500,4.875,4.5625,4.518154144287109
30-09-1998,4.5,4.75,731500,5.0,4.875,4.827617168426514
01-10-1998,4.5,4.75,474800,4.875,4.5625,4.518154144287109
02-10-1998,4.5,4.75,272100,4.75,4.625,4.580046653747559
05-10-1998,4.375,4.6875,303300,4.75,4.5,4.456262111663818
06-10-1998,4.5,4.75,317100,4.75,4.5,4.456262111663818
07-10-1998,4.25,4.75,325000,4.75,4.25,4.2086920738220215
08-10-1998,3.3125,4.21875,364700,4.25,3.75,3.7135515213012695
09-10-1998,3.75,3.875,735300,4.125,4.0,3.9611217975616455
12-10-1998,3.9375,4.25,113700,4.3125,4.0625,4.023014545440674
13-10-1998,3.75,4.125,159800,4.125,3.9375,3.8992292881011963
14-10-1998,3.75,4.0,127300,4.0,3.875,3.837336540222168
15-10-1998,3.75,3.75,346600,3.9375,3.75,3.7135515213012695
16-10-1998,3.0,3.8125,1903100,4.0,3.25,3.218411445617676
19-10-1998,3.125,3.5,650000,3.5,3.1875,3.1565189361572266
20-10-1998,3.0625,3.25,1078700,3.46875,3.125,3.0946264266967773
21-10-1998,3.0,3.375,1490600,3.375,3.25,3.218411445617676
22-10-1998,3.3125,3.34375,923900,4.6875,4.53125,4.487208366394043
23-10-1998,4.6875,4.875,1459500,5.25,4.875,4.827617168426514
26-10-1998,4.75,4.875,1075200,5.21875,5.0,4.951402187347412
27-10-1998,4.5,5.03125,2410200,5.125,4.75,4.703832626342773
28-10-1998,4.375,4.6875,2583700,4.75,4.5,4.456262111663818
29-10-1998,4.5,4.5,386000,4.75,4.6875,4.641940116882324
30-10-1998,4.6875,4.875,599500,5.125,4.875,4.827617168426514
02-11-1998,5.4375,5.9375,1893200,5.9375,5.625,5.570327281951904
03-11-1998,5.28125,5.6875,891900,5.75,5.5,5.446542739868164
04-11-1998,5.40625,5.71875,1411700,5.75,5.4375,5.384649276733398
05-11-1998,5.28125,5.53125,686500,5.53125,5.484375,5.431069374084473
06-11-1998,5.4375,5.53125,557500,5.53125,5.5,5.446542739868164
09-11-1998,5.5,6.0625,3056900,6.25,5.65625,5.601273536682129
10-11-1998,5.75,5.8125,1607200,6.5,6.4375,6.374930381774902
11-11-1998,6.75,7.0625,3591600,7.125,6.78125,6.715339183807373
12-11-1998,6.5625,7.0625,1530100,7.125,6.6875,6.622500419616699
13-11-1998,6.65625,6.6875,572900,6.875,6.6875,6.622500419616699
16-11-1998,6.75,7.0625,526000,7.125,6.875,6.808178424835205
17-11-1998,6.5,6.875,711100,6.9375,6.71875,6.653447151184082
18-11-1998,6.5,6.875,400700,6.875,6.75,6.684392929077148
19-11-1998,6.6875,6.875,388200,6.875,6.75,6.684392929077148
20-11-1998,6.28125,6.78125,620200,6.8125,6.375,6.313037872314453
23-11-1998,5.75,6.40625,849100,6.4375,6.0,5.9416823387146
24-11-1998,5.4375,5.875,1146800,5.875,5.5625,5.508434772491455
25-11-1998,5.6875,5.71875,777700,6.0625,5.875,5.817897319793701
27-11-1998,6.0625,6.0625,356900,6.5,6.4375,6.374930381774902
30-11-1998,6.0,6.4375,570400,6.5,6.3125,6.251144886016846
01-12-1998,5.96875,6.125,418400,6.25,6.125,6.065467357635498
02-12-1998,6.0,6.03125,376900,6.375,6.25,6.189252853393555
03-12-1998,6.15625,6.1875,1178100,6.96875,6.875,6.808178424835205
04-12-1998,6.875,6.9375,871500,7.125,6.96875,6.901017665863037
07-12-1998,7.03125,7.0625,2700700,8.25,8.0625,7.98413610458374
08-12-1998,7.625,8.03125,2313600,8.28125,8.25,8.169812202453613
09-12-1998,7.75,8.375,1764600,8.4375,7.75,7.674673080444336
10-12-1998,7.75,8.0625,1389100,8.25,7.8125,7.736565589904785
11-12-1998,7.4375,7.8125,565300,8.0,7.875,7.798458576202393
14-12-1998,7.8125,8.0,550200,8.125,7.8125,7.736565589904785
15-12-1998,7.5625,8.0,696900,8.0625,8.0,7.922243595123291
16-12-1998,7.5,7.8125,470900,8.0,7.625,7.550888538360596
17-12-1998,7.6875,7.6875,611300,8.0625,7.9375,7.860351085662842
18-12-1998,7.6875,8.0625,563200,8.0625,7.75,7.674673080444336
21-12-1998,7.625,7.875,554600,7.9375,7.75,7.674673080444336
22-12-1998,7.4375,7.8125,1746100,8.375,8.375,8.293598175048828
23-12-1998,8.5625,8.5625,3187500,9.5,9.125,9.036308288574219
24-12-1998,9.125,9.25,1564400,9.6875,9.625,9.531449317932129
28-12-1998,9.875,9.96875,2124600,10.375,10.0625,9.964696884155273
29-12-1998,9.5625,10.3125,1583200,10.3125,9.625,9.531449317932129
30-12-1998,9.25,9.78125,768100,9.8125,9.53125,9.438611030578613
31-12-1998,9.5,9.5,1132700,10.875,10.8125,10.70740795135498
04-01-1999,9.875,10.875,1185600,10.9375,9.9375,9.840912818908691
05-01-1999,9.5625,10.0625,681800,10.125,9.875,9.779020309448242
06-01-1999,9.75,9.9375,1635900,10.5625,9.875,9.779020309448242
07-01-1999,9.375,9.875,2306200,10.375,10.25,10.150375366210938
08-01-1999,9.875,10.375,1495700,10.75,10.4375,10.336050987243652
11-01-1999,10.125,10.5,1418500,11.0,10.75,10.645514488220215
12-01-1999,10.5,10.8125,2155100,11.4375,11.25,11.140654563903809
13-01-1999,9.75,10.75,2457200,11.9375,11.4375,11.326332092285156
14-01-1999,10.75,11.5625,1346700,11.75,10.75,10.645514488220215
15-01-1999,10.75,10.9375,1058600,11.25,10.75,10.645514488220215
19-01-1999,10.25,11.0625,605100,11.125,10.4375,10.336050987243652
20-01-1999,10.5,10.625,1891300,11.9375,11.1875,11.078761100769043
21-01-1999,10.375,11.0,1237000,11.375,10.625,10.521729469299316
22-01-1999,10.0625,10.25,1243200,11.25,11.09375,10.985922813415527
25-01-1999,10.8125,11.0625,737900,11.125,11.0625,10.954977035522461
26-01-1999,10.6875,11.0625,430100,11.125,10.84375,10.738353729248047
27-01-1999,10.75,10.9375,1262000,11.0625,10.75,10.645514488220215
28-01-1999,10.25,10.875,757900,10.9375,10.4375,10.336050987243652
29-01-1999,10.625,10.6875,1863000,11.6875,11.5625,11.450117111206055
01-02-1999,11.5,11.5,2198600,12.5625,12.03125,11.914310455322266
02-02-1999,10.9375,12.0625,1058000,12.0625,11.21875,11.109707832336426
03-02-1999,10.9375,11.375,1555900,11.6875,11.375,11.26443862915039
04-02-1999,10.125,11.625,1487300,11.75,10.375,10.27415943145752
05-02-1999,9.375,10.5625,1900100,10.5625,9.5,9.407665252685547
08-02-1999,10.0,10.375,1367100,10.5,10.1875,10.088482856750488
09-02-1999,9.25,10.3125,1598000,10.375,9.3125,9.221986770629883
10-02-1999,8.8125,9.25,1494800,9.375,9.0,8.912524223327637
11-02-1999,10.125,10.3125,4181500,11.375,11.25,11.140654563903809
12-02-1999,9.8125,10.875,1827800,10.9375,10.375,10.27415943145752
16-02-1999,10.125,10.6875,608600,10.9375,10.25,10.150375366210938
17-02-1999,9.75,9.96875,601800,10.59375,10.1875,10.088482856750488
18-02-1999,10.1875,10.5,886000,10.5,10.3125,10.212267875671387
19-02-1999,9.9375,10.25,603500,10.375,10.0,9.902804374694824
22-02-1999,10.125,10.25,911600,10.9375,10.625,10.521729469299316
23-02-1999,10.9375,11.0,3381300,11.625,11.609375,11.496537208557129
24-02-1999,11.0625,11.5625,953700,11.625,11.375,11.26443862915039
25-02-1999,10.625,11.375,579100,11.375,11.0625,10.954977035522461
26-02-1999,10.375,11.0,766000,11.0625,10.5,10.397943496704102
01-03-1999,10.125,10.625,748400,10.75,10.4375,10.336050987243652
02-03-1999,10.375,10.4375,787900,10.625,10.375,10.27415943145752
03-03-1999,10.125,10.3125,326900,10.625,10.1875,10.088482856750488
04-03-1999,10.0625,10.3125,753800,10.5625,10.25,10.150375366210938
05-03-1999,10.3125,10.375,788500,10.625,10.5,10.397943496704102
08-03-1999,10.1875,10.375,573300,10.5625,10.5,10.397943496704102
09-03-1999,9.875,10.4375,856100,10.625,9.9375,9.840912818908691
10-03-1999,9.5,10.0,590100,10.0625,9.75,9.655234336853027
11-03-1999,9.5,9.6875,642700,9.9375,9.5,9.407665252685547
12-03-1999,8.375,9.5625,2322600,9.625,8.75,8.664953231811523
15-03-1999,8.8125,8.9375,722800,9.0,8.875,8.788740158081055
16-03-1999,8.8125,9.125,801400,9.125,9.0,8.912524223327637
17-03-1999,8.8125,9.0,264100,9.0,8.96875,8.881577491760254
18-03-1999,8.5625,8.8125,412300,9.125,8.6875,8.60306167602539
19-03-1999,8.5,8.8125,615400,9.125,8.5,8.417384147644043
22-03-1999,7.875,8.625,626100,8.625,8.0625,7.98413610458374
23-03-1999,7.1875,7.9375,1241300,8.0625,7.375,7.303318023681641
24-03-1999,7.3125,7.375,382700,7.6875,7.53125,7.458049297332764
25-03-1999,7.625,7.78125,903900,7.875,7.625,7.550888538360596
26-03-1999,7.3125,7.75,517600,7.75,7.3125,7.241425514221191
29-03-1999,7.3125,7.375,332100,7.96875,7.96875,7.891296863555908
30-03-1999,7.625,7.9375,835600,8.125,7.875,7.798458576202393
31-03-1999,7.5,8.1875,2201400,8.25,7.875,7.798458576202393
01-04-1999,7.875,8.0,513200,8.1875,8.125,8.046029090881348
05-04-1999,8.03125,8.375,277200,8.375,8.125,8.046029090881348
06-04-1999,7.6875,8.0,369800,8.0625,7.9375,7.860351085662842
07-04-1999,7.875,7.96875,208500,8.0625,7.9375,7.860351085662842
08-04-1999,7.5,8.0,456100,8.0,7.75,7.674673080444336
09-04-1999,7.75,7.875,1241100,8.3125,8.0,7.922243595123291
12-04-1999,7.8125,7.9375,349900,8.0,7.96875,7.891296863555908
13-04-1999,7.875,8.0,450700,8.125,8.0625,7.98413610458374
14-04-1999,7.625,8.0625,377500,8.125,7.875,7.798458576202393
15-04-1999,7.5,8.0,346800,8.0,8.0,7.922243595123291
16-04-1999,7.625,7.96875,1043300,8.46875,8.4375,8.355490684509277
19-04-1999,8.0,8.5,1161200,9.25,8.0,7.922243595123291
20-04-1999,8.1875,8.3125,653400,8.875,8.5625,8.479276657104492
