Date,Low,Open,Volume,High,Close,Adjusted Close
13-05-1992,13.875,14.125,9338300,14.25,14.0,10.199054718017578
14-05-1992,13.5,14.125,3385900,14.125,14.0,10.199054718017578
15-05-1992,14.0,14.125,348900,14.5,14.5,10.563307762145996
18-05-1992,14.25,14.5,195400,14.5,14.5,10.563307762145996
19-05-1992,14.125,14.5,252600,14.5,14.25,10.381179809570312
20-05-1992,14.25,14.25,233400,14.75,14.5,10.563307762145996
21-05-1992,14.5,14.625,238500,14.75,14.625,10.654370307922363
22-05-1992,14.375,14.75,202300,14.75,14.5,10.563307762145996
26-05-1992,14.5,14.5,126900,14.75,14.5,10.563307762145996
27-05-1992,14.125,14.625,131000,14.625,14.5,10.563307762145996
28-05-1992,14.125,14.125,40300,14.5,14.125,10.290118217468262
29-05-1992,14.125,14.375,298300,14.375,14.375,10.472243309020996
01-06-1992,14.25,14.25,220500,14.5,14.5,10.563307762145996
02-06-1992,14.25,14.5,184200,14.5,14.25,10.381179809570312
03-06-1992,13.75,14.25,83100,14.25,13.75,10.016929626464844
04-06-1992,13.625,13.875,92600,13.875,13.875,10.107993125915527
05-06-1992,13.625,13.625,37800,14.125,14.125,10.290118217468262
08-06-1992,14.125,14.125,119300,14.875,14.875,10.836492538452148
09-06-1992,13.875,14.75,209600,14.875,14.0,10.199054718017578
10-06-1992,13.875,14.25,31100,14.25,13.875,10.107993125915527
11-06-1992,13.375,13.75,105700,13.875,13.5,9.834799766540527
12-06-1992,13.375,13.75,75100,13.75,13.375,9.743739128112793
15-06-1992,13.25,13.375,24300,13.625,13.25,9.652678489685059
16-06-1992,11.875,13.375,98100,13.375,12.0,8.742046356201172
17-06-1992,11.875,12.25,211700,12.25,12.0,8.742046356201172
18-06-1992,11.875,12.0,320100,12.125,11.875,8.650984764099121
19-06-1992,10.5,12.0,629300,12.0,10.625,7.740357875823975
22-06-1992,10.25,10.5,317100,10.625,10.5,7.649290561676025
23-06-1992,10.25,10.5,748600,10.625,10.25,7.467164993286133
24-06-1992,9.875,10.25,619300,10.5,10.0,7.285036087036133
25-06-1992,8.875,10.0,1871600,10.0,9.375,6.8297247886657715
26-06-1992,9.375,9.5,297100,10.0,10.0,7.285036087036133
29-06-1992,9.875,9.875,1197700,11.0,11.0,8.013542175292969
30-06-1992,11.0,11.25,448600,11.625,11.625,8.468856811523438
01-07-1992,11.375,11.625,332000,12.125,12.0,8.742046356201172
02-07-1992,11.625,12.0,32900,12.0,11.75,8.55992317199707
06-07-1992,10.75,11.375,460700,11.75,11.125,8.104607582092285
07-07-1992,10.625,11.125,158800,11.125,10.75,7.831413745880127
08-07-1992,10.375,10.625,33500,10.625,10.5,7.649290561676025
09-07-1992,10.375,10.625,204000,11.125,11.0,8.013542175292969
10-07-1992,10.875,11.125,97500,11.625,11.5,8.377795219421387
13-07-1992,11.375,11.75,50100,11.75,11.625,8.468856811523438
14-07-1992,11.5,11.625,89400,11.75,11.5,8.377795219421387
15-07-1992,12.0,12.0,127300,12.375,12.0,8.742046356201172
16-07-1992,11.625,12.0,51800,12.0,11.625,8.468856811523438
17-07-1992,11.125,11.875,78400,11.875,11.25,8.195672035217285
20-07-1992,10.625,11.125,70500,11.125,11.125,8.104607582092285
21-07-1992,10.75,11.25,147000,11.25,11.0,8.013542175292969
22-07-1992,10.625,11.0,623700,11.0,10.875,7.9224772453308105
23-07-1992,10.75,11.0,49600,11.125,11.0,8.013542175292969
24-07-1992,10.75,11.125,196100,11.125,10.75,7.831413745880127
27-07-1992,10.75,10.75,7100,11.0,11.0,8.013542175292969
28-07-1992,10.75,11.0,177500,11.25,11.0,8.013542175292969
29-07-1992,10.875,10.875,35300,11.375,11.375,8.28672981262207
30-07-1992,11.125,11.125,82800,11.625,11.5,8.385168075561523
31-07-1992,11.375,11.375,249200,11.75,11.75,8.56745433807373
03-08-1992,11.5,11.5,8800,11.625,11.5,8.385168075561523
04-08-1992,11.5,11.625,17000,11.75,11.5,8.385168075561523
05-08-1992,11.5,11.5,19100,11.75,11.5,8.385168075561523
06-08-1992,11.5,11.75,230500,11.875,11.875,8.658597946166992
07-08-1992,11.5,11.75,173100,12.125,11.875,8.658597946166992
10-08-1992,11.625,11.75,78900,12.125,11.625,8.47630786895752
11-08-1992,11.5,11.875,39900,11.875,11.875,8.658597946166992
12-08-1992,11.5,11.5,15800,11.875,11.5,8.385168075561523
13-08-1992,11.5,11.75,107200,11.875,11.75,8.56745433807373
14-08-1992,11.25,11.5,104500,11.75,11.5,8.385168075561523
17-08-1992,11.25,11.5,26800,11.5,11.25,8.202882766723633
18-08-1992,11.25,11.5,103400,11.625,11.625,8.47630786895752
19-08-1992,11.25,11.375,18400,11.625,11.25,8.202882766723633
20-08-1992,11.0,11.5,91800,11.5,11.0,8.020593643188477
21-08-1992,10.75,11.125,73700,11.25,10.75,7.838303565979004
24-08-1992,10.375,10.875,32600,10.875,10.75,7.838303565979004
25-08-1992,10.375,10.75,22200,10.75,10.625,7.747166156768799
26-08-1992,10.5,10.5,30300,10.75,10.75,7.838303565979004
27-08-1992,10.625,10.75,14100,11.0,11.0,8.020593643188477
28-08-1992,10.625,11.0,74800,11.125,11.0,8.020593643188477
31-08-1992,10.875,11.125,49200,11.125,10.875,7.929450988769531
01-09-1992,10.875,11.0,126900,11.125,11.125,8.111739158630371
02-09-1992,10.875,11.125,14600,11.125,11.125,8.111739158630371
03-09-1992,10.875,11.125,5600,11.125,10.875,7.929450988769531
04-09-1992,10.875,10.875,200,10.875,10.875,7.929450988769531
08-09-1992,10.875,10.875,17700,11.125,10.875,7.929450988769531
09-09-1992,10.625,11.0,19800,11.0,10.625,7.747166156768799
10-09-1992,10.5,11.0,5400,11.0,10.5,7.656017780303955
11-09-1992,10.375,10.875,99700,11.0,10.5,7.656017780303955
14-09-1992,9.875,10.5,152500,10.5,10.375,7.564879894256592
15-09-1992,10.5,10.5,120000,11.0,11.0,8.020593643188477
16-09-1992,11.0,11.0,2200,11.0,11.0,8.020593643188477
17-09-1992,11.0,11.0,122500,11.75,11.625,8.47630786895752
18-09-1992,11.0,11.25,82100,11.625,11.0,8.020593643188477
21-09-1992,10.875,11.0,55100,11.25,11.0,8.020593643188477
22-09-1992,10.625,10.875,111600,11.0,10.75,7.838303565979004
23-09-1992,10.5,10.5,13000,10.75,10.625,7.747166156768799
24-09-1992,10.5,10.75,60100,11.25,11.125,8.111739158630371
25-09-1992,10.875,11.375,22200,11.375,10.875,7.929450988769531
28-09-1992,10.875,10.875,20400,11.125,11.0,8.020593643188477
29-09-1992,11.0,11.0,95200,11.375,11.375,8.294024467468262
30-09-1992,10.875,11.375,26200,11.375,11.125,8.111739158630371
01-10-1992,10.75,11.125,301700,11.125,10.875,7.929450988769531
02-10-1992,10.875,10.875,1700,11.0,11.0,8.020593643188477
05-10-1992,10.625,10.875,101800,10.875,10.875,7.929450988769531
06-10-1992,10.625,10.625,63900,10.75,10.625,7.747166156768799
07-10-1992,10.625,10.875,45900,10.875,10.625,7.747166156768799
08-10-1992,10.625,10.75,113100,10.75,10.75,7.838303565979004
09-10-1992,10.625,10.75,7000,10.75,10.625,7.747166156768799
12-10-1992,10.5,10.5,600,10.75,10.75,7.838303565979004
13-10-1992,10.25,10.75,292800,10.75,10.5,7.656017780303955
14-10-1992,10.375,10.375,21700,10.75,10.5,7.656017780303955
15-10-1992,10.5,10.5,137600,10.75,10.75,7.838303565979004
16-10-1992,10.75,10.875,138000,11.25,10.875,7.929450988769531
19-10-1992,10.5,10.875,105800,10.875,10.5,7.656017780303955
20-10-1992,10.625,10.625,487300,11.375,11.125,8.111739158630371
21-10-1992,11.125,11.5,142200,12.0,11.875,8.658597946166992
22-10-1992,12.25,12.25,187100,12.625,12.375,9.023164749145508
23-10-1992,12.375,12.75,460600,13.25,13.125,9.570028305053711
26-10-1992,13.0,13.0,74800,13.375,13.375,9.752312660217285
27-10-1992,13.0,13.125,27900,13.25,13.25,9.661168098449707
28-10-1992,12.5,13.0,60700,13.0,12.75,9.296594619750977
29-10-1992,12.75,12.875,45400,13.0,12.875,9.395111083984375
30-10-1992,12.75,13.0,20300,13.125,12.75,9.3038911819458
02-11-1992,13.0,13.125,53600,13.625,13.625,9.942400932312012
03-11-1992,13.5,13.625,76000,14.0,13.625,9.942400932312012
04-11-1992,13.5,13.75,87200,13.875,13.875,10.124824523925781
05-11-1992,13.625,13.625,77600,13.875,13.875,10.124824523925781
06-11-1992,13.5,13.875,60000,14.0,13.5,9.851179122924805
09-11-1992,13.0,13.625,145900,13.625,13.375,9.75997257232666
10-11-1992,13.125,13.375,184800,13.625,13.625,9.942400932312012
11-11-1992,13.375,13.5,244300,14.0,13.875,10.124824523925781
12-11-1992,13.75,14.0,312100,14.25,14.0,10.216043472290039
13-11-1992,14.0,14.125,980800,15.375,15.125,11.036972999572754
16-11-1992,14.5,15.125,642900,15.25,14.5,10.580901145935059
17-11-1992,14.25,14.75,48000,14.75,14.75,10.763331413269043
18-11-1992,14.5,14.5,22100,14.875,14.75,10.763331413269043
19-11-1992,14.625,14.875,34200,15.0,14.625,10.672113418579102
20-11-1992,14.75,14.875,172500,15.125,15.0,10.945759773254395
23-11-1992,14.875,15.125,438800,15.375,15.125,11.036972999572754
24-11-1992,15.0,15.25,217700,15.875,15.375,11.21940803527832
25-11-1992,15.625,15.625,584900,16.25,16.0,11.6754789352417
27-11-1992,16.0,16.125,118500,16.625,16.5,12.04033088684082
30-11-1992,16.5,16.625,168800,16.75,16.5,12.04033088684082
01-12-1992,16.625,17.0,182200,17.125,17.0,12.405195236206055
02-12-1992,15.625,16.0,182000,16.375,16.0,11.6754789352417
03-12-1992,15.625,15.75,217400,16.375,15.875,11.584259986877441
04-12-1992,15.625,15.625,148600,15.875,15.875,11.584259986877441
07-12-1992,15.5,15.625,58400,15.875,15.625,11.40183162689209
08-12-1992,15.5,15.5,261900,15.875,15.875,11.584259986877441
09-12-1992,15.375,15.625,88300,15.875,15.375,11.21940803527832
10-12-1992,15.375,15.75,28400,15.75,15.625,11.40183162689209
11-12-1992,14.875,15.75,46100,15.75,14.875,10.854540824890137
14-12-1992,14.75,15.25,80500,15.25,14.875,10.854540824890137
15-12-1992,14.5,15.0,125300,15.0,14.625,10.672113418579102
16-12-1992,14.5,14.75,21800,14.75,14.625,10.672113418579102
17-12-1992,14.5,14.5,156300,14.75,14.75,10.763331413269043
18-12-1992,14.625,14.75,120600,14.75,14.625,10.672113418579102
21-12-1992,14.625,14.75,222300,14.75,14.625,10.672113418579102
22-12-1992,14.5,14.75,72300,14.75,14.625,10.672113418579102
23-12-1992,14.375,14.625,178300,14.625,14.625,10.672113418579102
24-12-1992,14.625,14.625,14600,14.625,14.625,10.672113418579102
