Date,Low,Open,Volume,High,Close,Adjusted Close
03-10-1996,26.25,30.0,143340,30.0,26.25,26.25
04-10-1996,25.0,28.125,21600,28.125,25.0,25.0
07-10-1996,25.0,28.125,16340,28.125,25.0,25.0
08-10-1996,25.0,28.125,9260,28.125,25.0,25.0
09-10-1996,25.0,27.5,1540,27.5,25.0,25.0
10-10-1996,25.0,25.0,140,25.0,25.0,25.0
11-10-1996,25.0,25.0,1140,27.5,25.9375,25.9375
14-10-1996,25.0,25.9375,1680,27.5,25.0,25.0
15-10-1996,25.0,25.3125,1600,25.3125,25.0,25.0
16-10-1996,25.0,25.625,4400,27.5,25.0,25.0
17-10-1996,25.0,26.25,1340,26.875,25.0,25.0
18-10-1996,25.0,25.0,580,26.875,26.875,26.875
21-10-1996,25.0,25.625,2840,25.625,25.0,25.0
22-10-1996,25.0,25.0,2480,26.875,25.0,25.0
23-10-1996,23.75,25.0,1800,25.0,23.75,23.75
24-10-1996,23.75,26.25,3980,26.25,23.75,23.75
25-10-1996,23.75,23.75,1520,25.0,23.75,23.75
28-10-1996,23.75,23.75,1100,26.25,26.25,26.25
29-10-1996,23.75,26.25,1240,26.25,23.75,23.75
30-10-1996,23.75,23.75,1120,23.75,23.75,23.75
31-10-1996,21.25,23.75,5580,23.75,23.75,23.75
01-11-1996,21.25,21.25,2200,21.25,21.25,21.25
04-11-1996,21.25,21.25,0,21.25,21.25,21.25
05-11-1996,21.25,21.25,1880,23.75,22.5,22.5
06-11-1996,21.25,21.25,5660,24.0625,23.125,23.125
07-11-1996,23.75,26.25,7740,26.25,26.25,26.25
08-11-1996,23.75,26.25,12960,26.25,25.625,25.625
11-11-1996,24.375,24.375,6440,26.25,25.0,25.0
12-11-1996,24.375,26.25,28900,30.0,28.75,28.75
13-11-1996,26.25,28.125,4000,28.75,28.125,28.125
14-11-1996,24.375,28.75,1960,28.75,26.875,26.875
15-11-1996,25.625,26.875,2660,26.875,26.25,26.25
18-11-1996,25.0,26.875,300,26.875,25.0,25.0
19-11-1996,26.25,26.875,60,26.875,26.25,26.25
20-11-1996,24.375,26.25,500,26.25,24.375,24.375
21-11-1996,24.375,24.375,0,24.375,24.375,24.375
22-11-1996,23.75,24.6875,3160,25.625,25.625,25.625
25-11-1996,23.75,25.625,1040,25.625,25.625,25.625
26-11-1996,23.75,25.0,3880,27.5,26.875,26.875
27-11-1996,25.0,25.625,2820,26.25,25.625,25.625
29-11-1996,25.625,25.625,0,25.625,25.625,25.625
02-12-1996,23.125,26.25,540,26.25,26.25,26.25
03-12-1996,23.75,23.75,840,26.25,24.375,24.375
04-12-1996,23.75,25.0,640,25.0,23.75,23.75
05-12-1996,23.75,23.75,340,23.75,23.75,23.75
06-12-1996,21.25,21.25,80,22.5,22.5,22.5
09-12-1996,23.125,25.0,140,25.0,23.125,23.125
10-12-1996,18.75,21.875,9660,23.75,22.5,22.5
11-12-1996,22.5,22.5,40,22.5,22.5,22.5
12-12-1996,20.0,22.5,1940,22.5,22.5,22.5
13-12-1996,20.625,20.625,2820,25.0,25.0,25.0
16-12-1996,22.8125,25.0,360,25.0,23.75,23.75
17-12-1996,22.5,22.5,400,22.5,22.5,22.5
18-12-1996,22.5,25.0,4620,25.0,22.5,22.5
19-12-1996,22.5,25.0,6340,25.0,22.5,22.5
20-12-1996,17.5,21.875,5660,22.734375,19.6875,19.6875
23-12-1996,19.375,19.375,1620,20.0,20.0,20.0
24-12-1996,20.0,20.0,500,20.0,20.0,20.0
26-12-1996,17.5,17.5,260,18.75,18.75,18.75
27-12-1996,16.25,17.5,3500,17.5,17.5,17.5
30-12-1996,15.625,15.625,820,17.5,17.5,17.5
31-12-1996,15.625,17.5,3360,18.125,18.125,18.125
