Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1997,5.5625,5.8125,7436400,5.8125,5.6875,3.788315534591675
17-10-1997,5.40625,5.65625,3390400,5.75,5.59375,3.7258706092834473
20-10-1997,5.46875,5.5,3068000,5.625,5.53125,3.6842405796051025
21-10-1997,5.5,5.5625,2382400,5.6875,5.59375,3.7258706092834473
22-10-1997,5.59375,5.6875,1525200,5.75,5.71875,3.8091301918029785
23-10-1997,5.53125,5.6875,1622400,5.6875,5.59375,3.7258706092834473
24-10-1997,5.5625,5.65625,813600,5.71875,5.71875,3.8091301918029785
27-10-1997,5.375,5.65625,1507200,5.75,5.421875,3.611389636993408
28-10-1997,4.9375,5.25,2955600,5.6875,5.59375,3.7258706092834473
29-10-1997,5.59375,5.6875,1859200,5.71875,5.65625,3.767502546310425
30-10-1997,5.375,5.53125,856000,5.5625,5.5,3.6634247303009033
31-10-1997,5.4375,5.4375,561600,5.640625,5.5,3.6634247303009033
03-11-1997,5.53125,5.625,1004000,5.84375,5.734375,3.81953763961792
04-11-1997,5.6875,5.75,364000,5.875,5.78125,3.850759744644165
05-11-1997,5.78125,5.8125,324400,6.0625,5.90625,3.934021234512329
06-11-1997,5.875,5.875,361600,6.25,6.25,4.162985801696777
07-11-1997,6.03125,6.1875,662400,6.625,6.4375,4.287875175476074
10-11-1997,6.15625,6.3125,266800,6.5,6.15625,4.100539207458496
11-11-1997,5.75,5.9375,618000,6.0,6.0,3.996464490890503
12-11-1997,5.5625,6.0,314800,6.0,5.6875,3.788315534591675
13-11-1997,5.46875,5.5625,500000,5.625,5.5,3.6634247303009033
14-11-1997,5.3125,5.4375,438000,5.5,5.4375,3.6217968463897705
17-11-1997,5.5,5.5,284000,5.84375,5.8125,3.871574640274048
18-11-1997,5.6875,5.875,1429600,5.875,5.71875,3.8091301918029785
19-11-1997,5.5625,5.71875,148400,5.8125,5.5625,3.705056667327881
20-11-1997,5.3125,5.625,1268000,5.625,5.5625,3.705056667327881
21-11-1997,5.5,5.5625,640800,5.625,5.53125,3.6842405796051025
24-11-1997,5.5,5.5,64400,5.59375,5.53125,3.6842405796051025
25-11-1997,5.5,5.5625,326800,5.625,5.515625,3.673833131790161
26-11-1997,5.234375,5.5,463200,5.53125,5.253905773162842,3.4995081424713135
28-11-1997,5.25,5.28125,212800,5.3125,5.25,3.4969074726104736
01-12-1997,5.25,5.25,475200,5.375,5.265625,3.5073139667510986
02-12-1997,5.28125,5.375,1280800,5.5,5.34375,3.559352159500122
03-12-1997,5.34375,5.4375,934400,5.5,5.5,3.6634247303009033
04-12-1997,5.40625,5.5,681600,5.625,5.546875,3.694648265838623
05-12-1997,5.4375,5.5,282800,5.75,5.6875,3.788315534591675
08-12-1997,5.65625,5.6875,227600,5.75,5.71875,3.8091301918029785
09-12-1997,5.59375,5.75,124000,5.8125,5.59375,3.7258706092834473
10-12-1997,5.3125,5.625,269600,5.625,5.375,3.5897936820983887
11-12-1997,5.15625,5.25,400800,5.375,5.3125,3.5480501651763916
12-12-1997,5.15625,5.375,412400,5.375,5.15625,3.4436960220336914
15-12-1997,5.171875,5.25,289200,5.375,5.21875,3.485438585281372
16-12-1997,5.125,5.125,190800,5.3125,5.21875,3.485438585281372
17-12-1997,5.03125,5.15625,584800,5.1875,5.03125,3.3602137565612793
18-12-1997,4.96875,5.09375,272400,5.09375,5.0,3.3393428325653076
19-12-1997,4.9375,5.03125,921600,5.03125,4.9375,3.2976009845733643
22-12-1997,4.9375,4.9375,924000,5.3125,5.0625,3.3810837268829346
23-12-1997,4.9375,5.1875,2331200,5.1875,5.0,3.3393428325653076
24-12-1997,4.9375,5.03125,50400,5.03125,4.9375,3.2976009845733643
26-12-1997,4.96875,5.0,1248400,5.0625,5.0625,3.3810837268829346
29-12-1997,5.0,5.0625,430800,5.28125,5.28125,3.527179479598999
30-12-1997,5.0625,5.0625,662800,5.34375,5.28125,3.527179479598999
31-12-1997,5.25,5.40625,911600,5.6875,5.59375,3.735888719558716
02-01-1998,5.53125,5.53125,112400,5.78125,5.78125,3.8611130714416504
05-01-1998,5.625,6.03125,629600,6.09375,5.625,3.756758451461792
06-01-1998,5.25,5.59375,915200,5.59375,5.421875,3.621100425720215
07-01-1998,5.421875,5.421875,164800,5.75,5.5625,3.7150189876556396
08-01-1998,5.5,5.5,236000,5.78125,5.75,3.8402438163757324
09-01-1998,5.5,5.65625,140400,5.75,5.5,3.67327618598938
12-01-1998,5.34375,5.375,927200,5.53125,5.34375,3.568922281265259
13-01-1998,5.3125,5.5,100400,5.5,5.4375,3.631535530090332
14-01-1998,5.34375,5.4375,585600,5.5625,5.359375,3.579357385635376
15-01-1998,5.34375,5.4375,417200,5.4375,5.375,3.5897936820983887
16-01-1998,5.34375,5.4375,69200,5.59375,5.5625,3.7150189876556396
