Date,Low,Open,Volume,High,Close,Adjusted Close
23-02-1996,15.5,16.25,4292700,16.25,15.5625,13.32391357421875
26-02-1996,15.25,15.5,492900,15.75,15.25,13.056365013122559
27-02-1996,15.125,15.25,383800,15.5,15.125,12.949344635009766
28-02-1996,15.125,15.25,275300,15.5,15.25,13.056365013122559
29-02-1996,15.375,15.375,289200,15.625,15.5,13.270404815673828
01-03-1996,15.25,15.5,222300,15.5,15.375,13.163389205932617
04-03-1996,15.25,15.375,223100,15.5,15.5,13.270404815673828
05-03-1996,15.375,15.625,316300,15.75,15.5,13.270404815673828
06-03-1996,15.5,15.75,110300,15.75,15.5,13.270404815673828
07-03-1996,15.5,15.75,153900,15.75,15.75,13.484442710876465
08-03-1996,15.25,15.5,170100,15.625,15.625,13.377419471740723
11-03-1996,15.25,15.25,121700,15.625,15.625,13.377419471740723
12-03-1996,15.375,15.375,91500,15.625,15.625,13.377419471740723
13-03-1996,15.5,15.5,87300,15.875,15.8125,13.537954330444336
14-03-1996,15.75,15.875,270000,16.5,15.75,13.484442710876465
15-03-1996,15.625,15.875,205000,16.125,15.875,13.591458320617676
18-03-1996,15.5,15.875,279900,16.0,15.75,13.484442710876465
19-03-1996,15.625,16.375,274700,16.625,15.875,13.591458320617676
20-03-1996,15.625,15.875,114500,15.875,15.75,13.484442710876465
21-03-1996,15.625,15.625,34300,16.0,16.0,13.698482513427734
22-03-1996,15.75,15.75,37200,16.125,15.875,13.591458320617676
25-03-1996,15.75,15.75,98400,16.125,16.125,13.805500030517578
26-03-1996,15.875,15.875,88000,16.125,15.875,13.591458320617676
27-03-1996,15.75,16.0,72300,16.125,15.75,13.484442710876465
28-03-1996,15.75,15.75,27300,16.0,16.0,13.698482513427734
29-03-1996,15.75,15.75,21700,16.0,16.0,13.698482513427734
01-04-1996,15.75,15.75,27700,16.0,16.0,13.698482513427734
02-04-1996,15.75,15.75,25800,16.0,15.875,13.591458320617676
03-04-1996,15.75,15.75,7900,16.0,15.875,13.591458320617676
04-04-1996,15.75,15.75,60500,16.0,15.75,13.484442710876465
08-04-1996,15.375,15.75,36200,15.875,15.75,13.536008834838867
09-04-1996,15.375,15.75,21300,15.75,15.5,13.321149826049805
10-04-1996,15.5,15.75,71700,16.0,15.75,13.536008834838867
