Date,Low,Open,Volume,High,Close,Adjusted Close
19-06-1998,14.0,14.0,4214000,14.0625,14.0,12.176825523376465
22-06-1998,14.0,14.0625,1448800,14.0625,14.0,12.176825523376465
23-06-1998,14.0,14.0625,285300,14.0625,14.0625,12.231186866760254
24-06-1998,14.1875,14.25,649200,15.375,14.9375,12.992240905761719
25-06-1998,15.0,15.25,694000,16.5,16.5,14.351259231567383
26-06-1998,15.875,16.5,618700,16.5,16.125,14.025094985961914
29-06-1998,15.75,16.0,274900,16.0,15.8125,13.753289222717285
30-06-1998,14.375,15.375,112600,15.375,15.125,13.15532112121582
01-07-1998,14.25,15.25,243900,15.375,14.375,12.502988815307617
02-07-1998,14.0625,14.375,77900,14.75,14.5,12.611712455749512
06-07-1998,14.125,14.5625,223800,14.5625,14.5,12.611712455749512
07-07-1998,14.0625,14.5,269300,14.9375,14.125,12.285550117492676
08-07-1998,14.1875,14.1875,142300,14.625,14.625,12.720434188842773
09-07-1998,14.375,14.5625,179100,14.6875,14.5,12.611712455749512
10-07-1998,14.125,14.4375,336200,15.625,15.0625,13.100956916809082
13-07-1998,14.625,15.0,403700,15.875,15.5,13.481483459472656
14-07-1998,14.4375,15.75,324300,16.375,15.3125,13.318406105041504
15-07-1998,14.0625,16.0,297900,16.0,14.625,12.720434188842773
16-07-1998,14.3125,14.75,253600,14.875,14.375,12.502988815307617
17-07-1998,14.6875,14.8125,108000,15.0,14.6875,12.77479362487793
20-07-1998,14.0625,14.8125,350200,14.875,14.0625,12.231186866760254
21-07-1998,13.25,14.1875,716000,14.25,13.25,11.524495124816895
22-07-1998,12.375,13.25,294500,13.25,12.375,10.763445854187012
23-07-1998,12.3125,12.3125,204000,13.1875,13.0,11.307052612304688
24-07-1998,12.625,13.0,252900,13.8125,13.1875,11.470136642456055
27-07-1998,11.625,13.3125,398900,13.3125,12.5,10.87216567993164
28-07-1998,12.0,12.625,181500,12.625,12.25,10.654720306396484
29-07-1998,12.3125,12.3125,77500,13.375,13.375,11.633217811584473
30-07-1998,13.6875,13.9375,381900,14.125,13.9375,12.122467041015625
31-07-1998,13.6875,14.0,111400,14.125,13.6875,11.905020713806152
03-08-1998,12.625,13.6875,129000,13.6875,13.0625,11.361411094665527
04-08-1998,12.875,13.1875,167300,13.75,12.9375,11.252691268920898
05-08-1998,12.75,12.875,191900,13.0,12.9375,11.252691268920898
06-08-1998,12.6875,13.0,37800,13.0,12.6875,11.035244941711426
07-08-1998,11.625,12.8125,71400,12.8125,11.6875,10.165474891662598
10-08-1998,11.25,11.8125,54500,11.875,11.25,9.784948348999023
11-08-1998,10.25,11.125,68700,11.125,10.5,9.13261890411377
12-08-1998,10.5,10.625,78500,10.75,10.75,9.35006332397461
13-08-1998,10.0,10.625,25000,10.625,10.25,8.915176391601562
14-08-1998,9.25,10.3125,82500,10.3125,9.25,8.045404434204102
17-08-1998,8.1875,9.375,583000,9.4375,8.75,7.6105170249938965
18-08-1998,9.0,9.0,544600,9.9375,9.75,8.480289459228516
19-08-1998,10.0,10.0,118900,10.75,10.625,9.241340637207031
20-08-1998,10.125,10.75,53600,10.9375,10.1875,8.860815048217773
21-08-1998,10.125,10.75,86900,10.75,10.625,9.241340637207031
24-08-1998,10.25,10.75,57700,10.9375,10.25,8.915176391601562
25-08-1998,10.25,10.4375,81300,10.5,10.375,9.023897171020508
26-08-1998,10.25,10.625,16400,10.625,10.375,9.023897171020508
27-08-1998,9.25,10.4375,58100,10.4375,9.6875,8.425930976867676
28-08-1998,9.5625,9.9375,121700,10.0625,9.5625,8.317208290100098
31-08-1998,9.0,9.625,199600,9.625,9.0,7.827956676483154
01-09-1998,8.25,9.5,2017400,9.625,8.5,7.393072605133057
02-09-1998,8.3125,8.375,130200,8.9375,8.375,7.284351348876953
03-09-1998,8.375,8.4375,93500,9.0,8.625,7.501794338226318
04-09-1998,8.5,8.5,36200,8.875,8.5625,7.447432994842529
08-09-1998,8.8125,8.9375,176000,10.0,9.75,8.480289459228516
09-09-1998,9.1875,9.875,63400,9.875,9.1875,7.991042137145996
10-09-1998,8.1875,8.5,56900,8.5,8.375,7.284351348876953
11-09-1998,8.3125,8.3125,58900,8.625,8.4375,7.338712692260742
14-09-1998,8.625,8.6875,170800,9.0625,8.75,7.6105170249938965
15-09-1998,8.625,8.625,87300,9.0,9.0,7.827956676483154
16-09-1998,9.125,9.125,148800,9.5625,9.5,8.262845993041992
17-09-1998,9.25,9.5625,158000,9.75,9.75,8.480289459228516
18-09-1998,9.75,9.875,55300,9.9375,9.9375,8.643369674682617
21-09-1998,9.0,9.0625,76500,9.875,9.875,8.589012145996094
22-09-1998,9.8125,9.8125,101200,10.0,9.875,8.589012145996094
23-09-1998,9.875,10.125,611000,10.25,10.25,8.915176391601562
24-09-1998,10.0,10.125,298500,10.4375,10.125,8.806455612182617
25-09-1998,9.8125,9.9375,848700,11.125,11.0,9.567506790161133
28-09-1998,11.0625,11.25,311600,12.0,11.375,9.893670082092285
29-09-1998,11.1875,11.25,217700,11.6875,11.6875,10.165474891662598
30-09-1998,11.25,11.6875,95700,11.6875,11.3125,9.839308738708496
01-10-1998,10.25,11.0625,90300,11.0625,10.5,9.13261890411377
02-10-1998,10.1875,10.375,65600,11.25,11.125,9.676227569580078
05-10-1998,10.0,11.0625,98300,11.0625,10.25,8.915176391601562
06-10-1998,10.0,10.125,131500,10.875,10.0625,8.752092361450195
07-10-1998,9.5625,10.125,284100,10.25,9.5625,8.317208290100098
08-10-1998,8.75,9.4375,85700,9.5,8.875,7.719236850738525
09-10-1998,8.75,8.75,81700,9.25,9.125,7.9366841316223145
12-10-1998,9.25,9.25,209600,10.1875,10.0,8.697734832763672
13-10-1998,10.125,10.5625,79100,10.75,10.125,8.806455612182617
14-10-1998,10.0,10.25,39100,10.3125,10.25,8.915176391601562
15-10-1998,10.0625,10.25,90500,10.4375,10.4375,9.078258514404297
16-10-1998,10.375,10.375,116200,11.0,10.9375,9.513145446777344
19-10-1998,11.0,11.0625,58700,11.75,11.75,10.219837188720703
20-10-1998,11.0625,12.0,256100,12.125,11.125,9.676227569580078
21-10-1998,11.125,11.125,65900,11.625,11.5,10.002392768859863
22-10-1998,11.25,11.375,39800,11.5,11.3125,9.839308738708496
23-10-1998,11.4375,11.4375,86800,11.75,11.75,10.219837188720703
26-10-1998,11.25,11.625,67100,11.6875,11.6875,10.165474891662598
27-10-1998,11.75,11.75,191100,12.9375,12.5,10.87216567993164
28-10-1998,12.375,12.375,51000,13.0,13.0,11.307052612304688
29-10-1998,12.25,13.1875,129500,13.1875,12.375,10.763445854187012
30-10-1998,12.375,12.375,232700,13.0,13.0,11.307052612304688
02-11-1998,12.5,12.875,52500,12.875,12.6875,11.035244941711426
03-11-1998,12.25,12.6875,61500,12.6875,12.5625,10.92652702331543
04-11-1998,12.3125,12.625,281600,13.1875,12.3125,10.709084510803223
05-11-1998,12.3125,12.375,117400,13.125,13.125,11.41577434539795
06-11-1998,13.1875,13.4375,118900,13.5625,13.25,11.524495124816895
09-11-1998,13.3125,13.625,52600,13.75,13.6875,11.905020713806152
10-11-1998,13.3125,13.4375,149500,14.1875,14.0,12.176825523376465
11-11-1998,13.6875,14.0,94400,14.125,13.6875,11.905020713806152
12-11-1998,13.75,14.25,642000,14.5,13.875,12.068103790283203
13-11-1998,12.875,13.875,93400,13.875,13.125,11.41577434539795
16-11-1998,12.5625,13.25,57400,13.5,12.75,11.089611053466797
17-11-1998,12.4375,12.8125,113700,13.0,13.0,11.307052612304688
18-11-1998,12.8125,13.0,15100,13.0625,12.875,11.198330879211426
19-11-1998,12.5,12.8125,51300,13.0,12.8125,11.14396858215332
20-11-1998,12.8125,12.8125,114300,13.6875,13.625,11.850661277770996
23-11-1998,13.625,13.625,105600,14.0625,13.875,12.068103790283203
24-11-1998,13.875,14.0,320800,14.0625,14.0625,12.231186866760254
25-11-1998,13.8125,14.0,293700,14.25,14.125,12.285550117492676
27-11-1998,14.125,14.125,181500,14.4375,14.25,12.394271850585938
30-11-1998,14.5,15.125,643200,15.375,15.375,13.372763633728027
01-12-1998,15.0625,15.375,274500,15.625,15.125,13.15532112121582
02-12-1998,15.0625,15.0625,113500,15.75,15.625,13.5902099609375
03-12-1998,15.5,15.5625,90300,15.625,15.5625,13.535848617553711
04-12-1998,15.5,15.5,261900,15.875,15.875,13.807647705078125
07-12-1998,15.9375,15.9375,102700,16.375,16.3125,14.188178062438965
08-12-1998,16.5625,16.5625,356500,17.5,17.125,14.894865989685059
09-12-1998,16.6875,17.25,153100,17.25,16.6875,14.514337539672852
10-12-1998,16.0,16.5,71900,16.5,16.0625,13.970733642578125
11-12-1998,15.5625,16.0,61500,16.0625,15.5625,13.535848617553711
14-12-1998,15.0,15.5,58200,15.5,15.0625,13.100956916809082
15-12-1998,15.0625,15.0625,150800,16.125,15.75,13.698930740356445
16-12-1998,15.75,16.0,3000,16.25,15.875,13.807647705078125
17-12-1998,15.5625,15.625,13200,15.875,15.8125,13.753289222717285
18-12-1998,15.9375,15.9375,104300,16.3125,16.1875,14.07945728302002
21-12-1998,16.25,16.25,93700,17.0,17.0,14.786145210266113
22-12-1998,16.9375,17.0,66300,17.25,17.25,15.003588676452637
23-12-1998,16.625,17.125,79300,17.1875,16.8125,14.623064041137695
24-12-1998,16.75,16.9375,10400,16.9375,16.8125,14.623064041137695
28-12-1998,16.4375,17.0,33600,17.0,16.6875,14.514337539672852
29-12-1998,15.75,16.625,46100,16.625,15.8125,13.753289222717285
30-12-1998,15.6875,15.8125,85900,15.9375,15.9375,13.862011909484863
31-12-1998,16.0625,16.0625,67400,17.25,17.125,14.894865989685059
04-01-1999,17.0,17.0625,53200,18.0,17.375,15.112306594848633
05-01-1999,16.5,17.5,101500,17.5,16.5,14.351259231567383
06-01-1999,16.625,16.6875,71700,17.0625,16.875,14.677425384521484
07-01-1999,16.625,16.9375,47000,16.9375,16.625,14.459980964660645
08-01-1999,16.625,16.625,106100,17.25,16.75,14.568702697753906
11-01-1999,15.875,16.6875,79900,16.875,15.875,13.807647705078125
12-01-1999,15.625,15.9375,84700,16.25,15.625,13.5902099609375
13-01-1999,15.25,15.25,148700,15.75,15.5,13.481483459472656
14-01-1999,15.0625,15.5,123800,15.875,15.0625,13.100956916809082
