Date,Low,Open,Volume,High,Close,Adjusted Close
18-03-1980,0.25,0.0,1200,0.34375,0.25,0.0892353281378746
19-03-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
20-03-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
21-03-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
24-03-1980,0.25,0.0,20000,0.34375,0.25,0.0892353281378746
25-03-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
26-03-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
27-03-1980,0.25,0.0,400,0.34375,0.25,0.0892353281378746
28-03-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
31-03-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
01-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
02-04-1980,0.25,0.0,12000,0.34375,0.25,0.0892353281378746
03-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
07-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
08-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
09-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
10-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
11-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
14-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
15-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
16-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
17-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
18-04-1980,0.25,0.0,6000,0.34375,0.25,0.0892353281378746
21-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
22-04-1980,0.25,0.0,2000,0.34375,0.25,0.0892353281378746
23-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
24-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
25-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
28-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
29-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
30-04-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
01-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
02-05-1980,0.25,0.0,800,0.34375,0.25,0.0892353281378746
05-05-1980,0.25,0.0,2000,0.34375,0.25,0.0892353281378746
06-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
07-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
08-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
09-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
12-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
13-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
14-05-1980,0.25,0.0,6000,0.34375,0.25,0.0892353281378746
15-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
16-05-1980,0.25,0.0,4000,0.34375,0.25,0.0892353281378746
19-05-1980,0.25,0.0,1600,0.34375,0.25,0.0892353281378746
20-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
21-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
22-05-1980,0.25,0.0,800,0.34375,0.25,0.0892353281378746
23-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
27-05-1980,0.25,0.0,8800,0.34375,0.25,0.0892353281378746
28-05-1980,0.25,0.0,400,0.34375,0.25,0.0892353281378746
29-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
30-05-1980,0.25,0.25,0,0.25,0.25,0.0892353281378746
02-06-1980,0.21875,0.0,800,0.3125,0.21875,0.07808094471693039
03-06-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
04-06-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
05-06-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
06-06-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
09-06-1980,0.1875,0.0,8000,0.28125,0.1875,0.0669264867901802
10-06-1980,0.1875,0.0,400,0.28125,0.1875,0.0669264867901802
11-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
12-06-1980,0.1875,0.0,800,0.28125,0.1875,0.0669264867901802
13-06-1980,0.1875,0.0,800,0.28125,0.1875,0.0669264867901802
16-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
17-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
18-06-1980,0.1875,0.0,800,0.28125,0.1875,0.0669264867901802
19-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
20-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
23-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
24-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
25-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
26-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
27-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
30-06-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
01-07-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
02-07-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
03-07-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
07-07-1980,0.21875,0.0,400,0.28125,0.21875,0.07808094471693039
08-07-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
09-07-1980,0.21875,0.0,2000,0.28125,0.21875,0.07808094471693039
10-07-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
11-07-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
14-07-1980,0.21875,0.0,2000,0.28125,0.21875,0.07808094471693039
15-07-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
16-07-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
17-07-1980,0.21875,0.21875,0,0.21875,0.21875,0.07808094471693039
18-07-1980,0.1875,0.0,1200,0.28125,0.1875,0.0669264867901802
21-07-1980,0.1875,0.0,12400,0.28125,0.1875,0.0669264867901802
22-07-1980,0.203125,0.0,8000,0.28125,0.203125,0.07250373065471649
23-07-1980,0.203125,0.0,12000,0.28125,0.203125,0.07250373065471649
24-07-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
25-07-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
28-07-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
29-07-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
30-07-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
31-07-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
01-08-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
04-08-1980,0.203125,0.0,400,0.28125,0.203125,0.07250373065471649
05-08-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
06-08-1980,0.203125,0.0,800,0.28125,0.203125,0.07250373065471649
07-08-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
08-08-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
11-08-1980,0.203125,0.203125,0,0.203125,0.203125,0.07250373065471649
12-08-1980,0.1875,0.0,16800,0.28125,0.1875,0.0669264867901802
13-08-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
14-08-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
15-08-1980,0.1875,0.0,400,0.28125,0.1875,0.0669264867901802
18-08-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
19-08-1980,0.1875,0.1875,0,0.1875,0.1875,0.0669264867901802
