Date,Low,Open,Volume,High,Close,Adjusted Close
18-07-2000,10.375,14.5,82800,14.5,12.25,12.25
19-07-2000,11.625,12.375,13800,12.375,11.8125,11.8125
20-07-2000,11.75,12.25,12400,12.25,12.0,12.0
21-07-2000,10.875,12.125,5600,12.125,11.125,11.125
24-07-2000,10.875,11.375,19100,11.375,11.0,11.0
25-07-2000,10.875,11.0,12300,11.0,10.9375,10.9375
26-07-2000,10.375,11.0625,18500,11.109375,10.4375,10.4375
27-07-2000,8.9375,10.5,26300,10.5,9.5,9.5
28-07-2000,7.8125,9.75,63900,9.75,8.34375,8.34375
31-07-2000,8.25,8.25,35300,8.625,8.5,8.5
01-08-2000,8.5,8.5,12700,8.75,8.5,8.5
02-08-2000,7.875,8.375,23300,8.875,7.875,7.875
03-08-2000,7.5,8.25,9600,8.25,7.75,7.75
04-08-2000,7.5,7.875,8400,7.875,7.625,7.625
07-08-2000,7.5,7.5,39400,8.1875,8.0,8.0
08-08-2000,7.9375,8.3125,22800,8.546875,8.125,8.125
09-08-2000,8.0625,8.25,32500,8.5625,8.0625,8.0625
10-08-2000,7.8125,8.0,58700,8.125,7.8125,7.8125
11-08-2000,7.75,7.75,37900,7.9375,7.8125,7.8125
14-08-2000,7.75,7.90625,56900,8.125,7.75,7.75
15-08-2000,7.625,7.625,13300,7.75,7.625,7.625
16-08-2000,7.5,7.625,33100,7.75,7.75,7.75
17-08-2000,7.6875,7.75,13200,7.75,7.6875,7.6875
18-08-2000,6.875,7.6875,769600,7.75,7.0,7.0
21-08-2000,6.9375,7.25,83200,7.25,7.1875,7.1875
22-08-2000,7.0,7.15625,29100,7.15625,7.0625,7.0625
23-08-2000,6.9375,7.0625,51900,7.25,7.1875,7.1875
24-08-2000,7.125,7.25,31600,7.3125,7.125,7.125
25-08-2000,7.0,7.0,8700,7.125,7.0625,7.0625
28-08-2000,7.0,7.1875,9800,7.1875,7.0,7.0
29-08-2000,6.375,7.0,54100,7.125,6.375,6.375
30-08-2000,6.375,6.40625,77000,6.5,6.5,6.5
31-08-2000,5.0,6.5625,134500,6.5625,5.125,5.125
01-09-2000,5.5625,5.625,141700,6.5625,6.5,6.5
05-09-2000,5.75,6.4375,103300,6.4375,6.25,6.25
06-09-2000,5.75,6.125,10700,6.125,5.75,5.75
07-09-2000,5.875,6.0,102300,6.25,6.1875,6.1875
08-09-2000,6.25,6.375,68300,7.0,7.0,7.0
11-09-2000,6.84375,6.9375,245400,8.25,7.75,7.75
12-09-2000,7.875,8.25,383600,8.75,8.75,8.75
13-09-2000,8.375,8.71875,12800,8.75,8.375,8.375
14-09-2000,8.125,8.375,15900,8.5,8.125,8.125
15-09-2000,7.875,8.21875,35300,8.21875,8.0625,8.0625
18-09-2000,7.9375,8.34375,19500,8.375,8.0,8.0
19-09-2000,6.8125,7.9375,125400,8.0,6.8125,6.8125
20-09-2000,6.8125,6.8125,48300,7.875,7.875,7.875
21-09-2000,7.625,7.8125,14000,8.0625,8.0,8.0
22-09-2000,7.75,7.75,23500,8.0,8.0,8.0
25-09-2000,7.75,7.875,141600,8.625,8.375,8.375
26-09-2000,8.25,8.375,12100,8.4375,8.25,8.25
27-09-2000,7.75,8.125,37000,8.3125,8.125,8.125
28-09-2000,7.8125,7.8125,61000,8.75,8.375,8.375
29-09-2000,8.125,8.125,201800,10.125,9.8125,9.8125
02-10-2000,8.25,10.125,56600,10.125,8.25,8.25
03-10-2000,8.25,8.25,26600,8.875,8.8125,8.8125
