Date,Low,Open,Volume,High,Close,Adjusted Close
20-10-1997,34.5,34.5,1400,36.5,36.5,12.032427787780762
21-10-1997,32.0,33.0,13300,33.375,33.375,11.0022554397583
22-10-1997,33.75,33.75,13100,34.625,34.0,11.208291053771973
23-10-1997,32.0,32.25,16300,33.5,33.0,10.878634452819824
24-10-1997,32.75,34.25,34300,35.25,32.75,10.796220779418945
27-10-1997,29.25,31.25,18100,31.25,29.25,9.642424583435059
28-10-1997,26.0,26.25,22900,29.25,27.625,9.106736183166504
29-10-1997,29.125,29.125,23800,32.0,30.625,10.095703125
30-10-1997,30.0,30.25,3900,30.75,30.25,9.972082138061523
31-10-1997,30.75,31.0,10100,32.0,32.0,10.548980712890625
03-11-1997,33.625,33.625,4000,36.25,34.75,11.455530166625977
04-11-1997,33.5,33.5,13500,34.625,34.625,11.414322853088379
05-11-1997,33.375,34.625,6900,34.75,33.5,11.043460845947266
06-11-1997,32.75,33.125,1100,33.375,32.75,10.796220779418945
07-11-1997,31.25,32.125,5900,32.375,31.25,10.301734924316406
10-11-1997,30.0,31.0,2000,31.0,30.0,9.889667510986328
11-11-1997,30.0,30.0,0,30.0,30.0,9.889667510986328
12-11-1997,27.875,29.625,1800,29.625,27.875,9.18914794921875
13-11-1997,26.5,27.625,2300,27.75,26.5,8.735872268676758
14-11-1997,25.875,26.5,7100,27.75,27.75,9.147943496704102
17-11-1997,29.5,29.5,1800,29.5,29.5,9.72484016418457
18-11-1997,29.5,29.5,500,29.5,29.5,9.72484016418457
19-11-1997,31.25,34.75,4500,34.75,32.0,10.548980712890625
20-11-1997,33.25,33.25,4900,35.0,34.625,11.414322853088379
21-11-1997,33.375,34.25,4900,34.625,33.375,11.0022554397583
24-11-1997,31.75,32.25,2600,33.25,31.75,10.466564178466797
25-11-1997,31.25,32.5,1200,32.5,32.5,10.713807106018066
26-11-1997,33.375,33.375,200,33.375,33.375,11.0022554397583
28-11-1997,33.375,33.375,0,33.375,33.375,11.0022554397583
01-12-1997,33.75,33.875,3900,34.375,34.25,11.290702819824219
02-12-1997,33.0,33.0,700,33.0,33.0,10.878634452819824
03-12-1997,33.0,33.0,0,33.0,33.0,10.878634452819824
04-12-1997,33.0,33.0,0,33.0,33.0,10.878634452819824
05-12-1997,33.0,33.0,0,33.0,33.0,10.878634452819824
08-12-1997,33.0,33.0,0,33.0,33.0,10.878634452819824
09-12-1997,33.375,33.375,6100,34.5,33.625,11.08466911315918
10-12-1997,33.0,33.25,22700,33.75,33.0,10.878634452819824
11-12-1997,31.0,31.5,3600,32.0,32.0,10.548980712890625
12-12-1997,31.0,31.25,1900,31.25,31.0,10.219324111938477
15-12-1997,30.5,31.0,1300,31.0,30.5,10.054494857788086
16-12-1997,28.0,29.75,1900,29.75,28.0,9.23035717010498
17-12-1997,28.0,28.0,0,28.0,28.0,9.23035717010498
18-12-1997,28.0,28.0,0,28.0,28.0,9.23035717010498
19-12-1997,27.0,27.25,900,28.0,28.0,9.23035717010498
22-12-1997,26.25,26.75,5100,28.25,28.25,9.31277084350586
23-12-1997,27.75,28.25,3200,28.25,27.75,9.147943496704102
24-12-1997,27.75,27.75,0,27.75,27.75,9.147943496704102
26-12-1997,27.0,27.0,1200,28.0,27.0,8.900701522827148
29-12-1997,28.5,28.5,700,29.0,29.0,9.560011863708496
30-12-1997,29.0,29.0,1200,29.5,29.5,9.72484016418457
31-12-1997,30.5,30.5,1000,30.5,30.5,10.054494857788086
02-01-1998,32.0,32.0,1700,33.0,33.0,10.878634452819824
05-01-1998,32.5,33.0,2000,33.0,32.5,10.713807106018066
06-01-1998,32.0,32.0,1800,33.0,33.0,10.878634452819824
07-01-1998,31.5,31.5,2500,31.5,31.5,10.384151458740234
08-01-1998,30.0,30.625,1900,30.625,30.0,9.889667510986328
09-01-1998,30.0,30.0,200,30.0,30.0,9.889667510986328
12-01-1998,27.25,29.625,14400,29.75,28.4375,9.374579429626465
13-01-1998,29.0,29.875,6300,30.25,29.5,9.72484016418457
14-01-1998,27.5,30.0,14600,30.0,28.0,9.23035717010498
15-01-1998,25.5,27.5,9400,27.5,27.5,9.06552791595459
16-01-1998,28.0,28.25,9800,28.75,28.5,9.395185470581055
20-01-1998,29.0,29.625,2000,29.625,29.625,9.766046524047852
21-01-1998,28.0,29.125,4600,29.125,28.25,9.31277084350586
22-01-1998,27.5,28.625,2000,28.625,28.5,9.395185470581055
23-01-1998,26.75,28.5,2400,28.5,27.5,9.06552791595459
26-01-1998,25.5,26.0,3900,27.25,25.5,8.406217575073242
27-01-1998,25.5,25.5,0,25.5,25.5,8.406217575073242
28-01-1998,26.0,26.0,500,26.75,26.75,8.818285942077637
29-01-1998,26.25,26.5,1400,27.25,27.25,8.983114242553711
30-01-1998,26.25,26.75,3400,26.75,26.25,8.653460502624512
02-02-1998,27.875,28.0,3500,28.0,27.875,9.18914794921875
03-02-1998,27.5,28.0,9200,28.125,28.125,9.271563529968262
04-02-1998,27.0,27.0,13200,27.5,27.125,8.941905975341797
05-02-1998,26.5,26.75,3900,27.0,26.5,8.735872268676758
06-02-1998,26.5,26.5,2100,26.625,26.625,8.777080535888672
09-02-1998,26.0,26.0,9100,27.125,26.0625,8.59164810180664
10-02-1998,25.4375,26.75,1300,26.75,25.4375,8.385612487792969
11-02-1998,26.25,26.25,2500,27.0,27.0,8.900701522827148
12-02-1998,27.75,28.0,2600,28.0,28.0,9.23035717010498
13-02-1998,28.0,28.0,5000,28.25,28.25,9.31277084350586
17-02-1998,27.75,27.75,2800,27.875,27.875,9.18914794921875
18-02-1998,27.5,28.125,2000,28.125,27.875,9.18914794921875
19-02-1998,27.875,27.875,0,27.875,27.875,9.18914794921875
20-02-1998,26.5,27.875,1800,27.875,27.5,9.06552791595459
23-02-1998,29.5,31.25,11600,31.5,31.375,10.342940330505371
24-02-1998,30.0,31.0,10100,31.5,30.5,10.054494857788086
25-02-1998,30.0,30.5,8900,30.5,30.5,10.054494857788086
26-02-1998,30.0,30.0,4700,32.0,31.875,10.507770538330078
27-02-1998,31.5,32.0,3500,32.0,31.5,10.384151458740234
02-03-1998,32.0,32.0,1500,32.5,32.0625,10.569580078125
03-03-1998,31.75,33.0,600,33.0,31.75,10.466564178466797
04-03-1998,32.75,32.75,3600,32.875,32.8125,10.81682014465332
05-03-1998,31.625,32.0,2200,32.0,31.625,10.42535400390625
06-03-1998,31.0,31.0,1500,32.25,32.25,10.631393432617188
09-03-1998,32.0,32.375,9200,34.125,33.0,10.878634452819824
10-03-1998,33.75,34.5,7300,35.0,34.375,11.3319091796875
11-03-1998,33.875,34.25,4700,34.5,34.375,11.3319091796875
12-03-1998,33.4375,33.875,700,33.875,33.4375,11.022857666015625
13-03-1998,34.125,34.125,500,34.125,34.125,11.249496459960938
16-03-1998,33.25,33.75,21000,34.625,33.75,11.125875473022461
17-03-1998,33.5,34.5,1700,34.5,33.5,11.043460845947266
18-03-1998,32.0,34.25,7900,34.25,33.25,10.96104907989502
19-03-1998,33.0,34.0,500,34.0,34.0,11.208291053771973
20-03-1998,33.6875,34.0,9500,34.375,34.125,11.249496459960938
23-03-1998,35.875,37.5,24600,37.5,36.0,11.86760139465332
24-03-1998,36.375,36.375,6900,37.0625,36.625,12.073636054992676
25-03-1998,38.375,39.0,59000,39.5,38.5,12.691739082336426
26-03-1998,39.625,40.0,14600,40.75,40.0,13.186223983764648
27-03-1998,39.375,40.3125,12900,40.3125,40.0,13.186223983764648
30-03-1998,39.625,40.5,9600,40.75,40.4375,13.330448150634766
31-03-1998,40.5,41.1875,6500,41.1875,40.5,13.35105037689209
01-04-1998,44.0,44.0,4000,45.375,44.75,14.752087593078613
02-04-1998,44.0,46.0,25300,46.75,46.75,15.411396980285645
03-04-1998,44.9375,47.25,26900,47.25,45.25,14.916913986206055
06-04-1998,42.0,44.0625,19300,44.125,43.25,14.257600784301758
