Date,Low,Open,Volume,High,Close,Adjusted Close
05-02-2014,88.0,93.5999984741211,263313,94.0,88.0,88.0
06-02-2014,88.0,88.08000183105469,22513,91.19999694824219,88.0,88.0
07-02-2014,87.19999694824219,88.0,10813,90.08000183105469,88.31999969482422,88.31999969482422
10-02-2014,88.0,88.0,6800,91.5199966430664,91.12000274658203,91.12000274658203
11-02-2014,89.19999694824219,89.27999877929688,4738,91.12000274658203,91.12000274658203,91.12000274658203
12-02-2014,90.72000122070312,95.19999694824219,14975,99.12000274658203,94.16000366210938,94.16000366210938
13-02-2014,90.0,93.44000244140625,6700,94.31999969482422,92.72000122070312,92.72000122070312
14-02-2014,90.4000015258789,91.83999633789062,1625,92.80000305175781,91.95999908447266,91.95999908447266
18-02-2014,92.16000366210938,92.16000366210938,5775,98.63999938964844,95.91999816894531,95.91999816894531
19-02-2014,94.55999755859375,99.91999816894531,3900,99.91999816894531,96.80000305175781,96.80000305175781
20-02-2014,95.12000274658203,95.12000274658203,3863,97.98400115966797,96.80000305175781,96.80000305175781
21-02-2014,95.27999877929688,97.5199966430664,5925,97.5999984741211,96.4000015258789,96.4000015258789
24-02-2014,96.0,98.08000183105469,9963,102.72000122070312,100.31999969482422,100.31999969482422
25-02-2014,100.4000015258789,100.4000015258789,16025,124.0,121.44000244140625,121.44000244140625
26-02-2014,117.8239974975586,132.47999572753906,11925,132.47999572753906,120.0,120.0
27-02-2014,119.36000061035156,120.23999786376953,10425,135.63999938964844,120.0,120.0
28-02-2014,104.72000122070312,120.72000122070312,9025,130.80799865722656,117.36000061035156,117.36000061035156
03-03-2014,108.87999725341797,120.0,20200,121.99199676513672,120.0,120.0
04-03-2014,118.4000015258789,121.5999984741211,11925,128.0,119.4000015258789,119.4000015258789
05-03-2014,122.0,127.19999694824219,11575,133.9199981689453,130.9600067138672,130.9600067138672
06-03-2014,126.08000183105469,131.44000244140625,20000,152.0,145.67999267578125,145.67999267578125
07-03-2014,147.60000610351562,147.60000610351562,16450,181.75999450683594,179.60000610351562,179.60000610351562
10-03-2014,169.60800170898438,184.0,14875,191.9199981689453,174.9600067138672,174.9600067138672
11-03-2014,156.0,178.32000732421875,10475,179.60000610351562,158.16000366210938,158.16000366210938
12-03-2014,136.8800048828125,155.0399932861328,11025,155.0399932861328,145.27999877929688,145.27999877929688
13-03-2014,141.1999969482422,146.72000122070312,9250,151.36000061035156,147.9199981689453,147.9199981689453
14-03-2014,140.32000732421875,153.44000244140625,7625,153.44000244140625,140.8800048828125,140.8800048828125
17-03-2014,130.0,141.9199981689453,12388,144.5760040283203,135.75999450683594,135.75999450683594
18-03-2014,132.0800018310547,140.24000549316406,15000,140.24000549316406,136.0,136.0
