Date,Low,Open,Volume,High,Close,Adjusted Close
29-02-1984,3.0,0.0,35800,3.375,3.0,2.3069956302642822
01-03-1984,3.0,0.0,112000,3.5,3.0,2.3069956302642822
02-03-1984,3.125,0.0,113000,3.5,3.125,2.4031200408935547
05-03-1984,3.25,0.0,12500,3.5,3.25,2.499244451522827
06-03-1984,3.25,0.0,68600,3.5,3.25,2.499244451522827
07-03-1984,3.375,0.0,7300,3.5,3.375,2.595369338989258
08-03-1984,3.375,0.0,1900,3.5,3.375,2.595369338989258
09-03-1984,3.375,3.375,0,3.375,3.375,2.595369338989258
12-03-1984,3.25,0.0,4000,3.5,3.25,2.499244451522827
13-03-1984,3.25,0.0,12600,3.375,3.25,2.499244451522827
14-03-1984,3.125,0.0,5000,3.25,3.125,2.4031200408935547
15-03-1984,3.0,0.0,7500,3.25,3.0,2.3069956302642822
16-03-1984,3.0,0.0,700,3.25,3.0,2.3069956302642822
19-03-1984,3.0,0.0,8600,3.25,3.0,2.3069956302642822
20-03-1984,2.875,0.0,18200,3.125,2.875,2.210871458053589
21-03-1984,2.875,0.0,51800,3.125,2.875,2.210871458053589
22-03-1984,2.875,0.0,10500,3.125,2.875,2.210871458053589
23-03-1984,2.875,0.0,300,3.125,2.875,2.210871458053589
26-03-1984,2.875,0.0,100,3.125,2.875,2.210871458053589
27-03-1984,2.875,2.875,0,2.875,2.875,2.210871458053589
28-03-1984,2.875,0.0,800,3.125,2.875,2.210871458053589
29-03-1984,2.875,0.0,600,3.0,2.875,2.210871458053589
30-03-1984,3.0,0.0,9100,3.25,3.0,2.3069956302642822
02-04-1984,3.0,0.0,21900,3.375,3.0,2.3069956302642822
03-04-1984,3.0,3.0,0,3.0,3.0,2.3069956302642822
04-04-1984,3.0,0.0,600,3.375,3.0,2.3069956302642822
05-04-1984,3.125,0.0,1500,3.375,3.125,2.4031200408935547
06-04-1984,3.125,3.125,0,3.125,3.125,2.4031200408935547
09-04-1984,3.0,0.0,4100,3.25,3.0,2.3069956302642822
10-04-1984,3.0,0.0,11100,3.25,3.0,2.3069956302642822
11-04-1984,3.0,0.0,1900,3.25,3.0,2.3069956302642822
12-04-1984,3.0,0.0,16000,3.5,3.0,2.3069956302642822
13-04-1984,3.0,0.0,23900,3.5,3.0,2.3069956302642822
16-04-1984,3.0,0.0,300,3.5,3.0,2.3069956302642822
