Date,Low,Open,Volume,High,Close,Adjusted Close
07-04-1999,35.0,37.5,197120,38.125,35.625,35.625
08-04-1999,35.3125,35.625,86460,40.0,40.0,40.0
09-04-1999,36.25,41.25,43000,42.34375,36.875,36.875
12-04-1999,35.0,37.1875,203920,37.5,35.078125,35.078125
13-04-1999,35.625,36.25,17480,36.25,35.625,35.625
14-04-1999,35.0,35.625,181980,38.75,37.8125,37.8125
15-04-1999,36.25,38.125,20540,38.4375,36.25,36.25
16-04-1999,35.3125,36.875,32580,38.4375,38.125,38.125
19-04-1999,35.0,38.125,50100,39.375,35.0,35.0
20-04-1999,34.375,35.0,57460,35.625,35.0,35.0
21-04-1999,35.0,35.625,6660,36.875,35.0,35.0
22-04-1999,35.0,35.0,6100,35.3125,35.0,35.0
23-04-1999,35.0,35.3125,11020,36.875,35.625,35.625
26-04-1999,35.0,36.875,9040,37.5,35.0,35.0
27-04-1999,35.0,35.0,4280,35.3125,35.0,35.0
28-04-1999,34.375,35.0,6080,35.3125,34.6875,34.6875
29-04-1999,35.0,35.3125,8080,35.3125,35.15625,35.15625
30-04-1999,35.0,35.0,8660,35.15625,35.0,35.0
03-05-1999,35.0,35.0,101800,35.3125,35.3125,35.3125
04-05-1999,35.0,35.15625,29600,37.8125,35.625,35.625
05-05-1999,35.0,36.25,6820,36.25,35.3125,35.3125
06-05-1999,35.0,35.0,4800,36.25,35.0,35.0
07-05-1999,35.0,35.625,5100,36.25,35.0,35.0
10-05-1999,35.0,35.0,9380,35.625,35.078125,35.078125
11-05-1999,35.0,35.0,17500,35.9375,35.0,35.0
12-05-1999,35.0,35.625,19420,36.25,35.625,35.625
13-05-1999,35.0,36.25,12660,36.25,35.3125,35.3125
14-05-1999,35.0,35.3125,3080,35.625,35.0,35.0
17-05-1999,35.0,35.3125,2580,35.3125,35.0,35.0
18-05-1999,35.0,35.0,1300,35.0,35.0,35.0
19-05-1999,35.0,35.3125,43940,36.09375,35.0,35.0
20-05-1999,35.0,35.0,3720,36.25,35.0,35.0
21-05-1999,35.0,35.0,3720,35.15625,35.0,35.0
24-05-1999,35.0,35.625,22640,35.625,35.0,35.0
25-05-1999,35.0,35.3125,13580,35.625,35.0,35.0
26-05-1999,27.8125,35.15625,16360,35.15625,31.875,31.875
27-05-1999,27.5,31.875,28060,31.875,27.8125,27.8125
28-05-1999,27.5,27.8125,6540,27.8125,27.8125,27.8125
01-06-1999,27.5,27.5,9020,30.625,28.125,28.125
02-06-1999,25.0,28.75,17100,28.75,25.3125,25.3125
03-06-1999,25.625,25.625,6300,26.875,26.5625,26.5625
04-06-1999,25.3125,26.25,10620,26.5625,25.625,25.625
07-06-1999,25.0,25.9375,5860,25.9375,25.15625,25.15625
08-06-1999,25.3125,25.78125,15580,28.125,26.5625,26.5625
09-06-1999,26.25,26.875,4440,28.4375,27.1875,27.1875
10-06-1999,25.3125,27.5,3680,28.75,25.625,25.625
11-06-1999,25.0,27.5,5020,27.5,26.09375,26.09375
14-06-1999,25.3125,26.25,8280,26.875,26.25,26.25
15-06-1999,25.0,26.25,8280,26.25,25.0,25.0
16-06-1999,24.375,25.0,4780,25.625,24.375,24.375
17-06-1999,25.0,25.0,8880,25.78125,25.3125,25.3125
18-06-1999,25.0,26.25,15500,30.0,29.0625,29.0625
21-06-1999,28.125,29.0625,1500,29.375,28.4375,28.4375
22-06-1999,28.75,29.375,2860,30.0,28.75,28.75
23-06-1999,29.375,29.375,4460,30.625,30.0,30.0
24-06-1999,28.75,31.5625,5060,31.5625,28.75,28.75
25-06-1999,28.125,28.75,2900,28.75,28.75,28.75
28-06-1999,28.75,29.375,52600,35.0,33.125,33.125
29-06-1999,33.125,33.75,41880,37.8125,36.875,36.875
30-06-1999,36.25,38.4375,63480,40.3125,38.4375,38.4375
01-07-1999,35.0,38.75,34720,38.75,35.9375,35.9375
02-07-1999,35.9375,35.9375,13320,37.5,36.5625,36.5625
06-07-1999,37.1875,37.34375,56000,41.875,40.625,40.625
07-07-1999,40.0,41.875,30860,43.125,40.3125,40.3125
08-07-1999,40.625,41.875,95660,44.375,43.125,43.125
09-07-1999,40.0,44.0625,21720,44.375,41.875,41.875
12-07-1999,41.25,41.953125,6920,44.0625,42.5,42.5
13-07-1999,35.625,43.125,9620,43.125,38.125,38.125
14-07-1999,38.125,38.4375,16040,40.625,39.375,39.375
15-07-1999,39.375,40.0,10520,40.625,39.6875,39.6875
16-07-1999,39.375,40.3125,8780,41.25,40.9375,40.9375
19-07-1999,39.6875,41.875,10460,41.875,39.6875,39.6875
20-07-1999,36.5625,40.0,14880,40.625,37.5,37.5
21-07-1999,37.5,38.125,7080,38.75,37.5,37.5
22-07-1999,34.375,39.0625,14420,39.0625,35.3125,35.3125
23-07-1999,34.6875,35.0,2940,35.625,35.0,35.0
26-07-1999,35.0,36.25,22120,37.5,36.875,36.875
27-07-1999,36.25,36.875,45680,38.75,37.34375,37.34375
28-07-1999,35.9375,38.125,9960,38.75,36.875,36.875
29-07-1999,36.25,36.875,3260,37.1875,36.25,36.25
30-07-1999,33.125,36.25,22700,36.25,34.375,34.375
02-08-1999,34.375,34.6875,3200,35.625,34.375,34.375
03-08-1999,30.0,34.84375,15800,34.84375,30.625,30.625
04-08-1999,26.25,30.15625,31200,31.25,27.1875,27.1875
05-08-1999,25.625,25.625,56820,27.1875,26.25,26.25
06-08-1999,26.25,26.25,26680,28.125,27.5,27.5
09-08-1999,26.875,27.96875,11160,28.4375,27.5,27.5
10-08-1999,27.1875,27.8125,10800,28.125,27.5,27.5
11-08-1999,27.5,27.8125,15460,30.0,29.375,29.375
12-08-1999,29.6875,30.0,10480,32.5,31.25,31.25
13-08-1999,30.0,31.875,11420,31.875,30.9375,30.9375
16-08-1999,30.0,31.25,5080,31.25,30.3125,30.3125
17-08-1999,30.0,30.15625,8700,32.1875,30.0,30.0
18-08-1999,28.75,30.9375,2900,31.5625,30.3125,30.3125
19-08-1999,28.75,30.0,2960,30.3125,29.6875,29.6875
20-08-1999,29.0625,30.0,11280,30.9375,30.3125,30.3125
23-08-1999,28.75,30.3125,9780,30.9375,29.375,29.375
24-08-1999,27.5,28.59375,13200,29.375,27.8125,27.8125
25-08-1999,27.8125,28.125,11600,30.625,30.625,30.625
26-08-1999,30.3125,30.625,34280,34.375,32.5,32.5
27-08-1999,33.125,33.75,92320,37.34375,34.375,34.375
30-08-1999,34.21875,34.296875,22580,38.125,35.3125,35.3125
31-08-1999,35.0,35.46875,28740,38.75,36.40625,36.40625
01-09-1999,36.5625,37.65625,44020,37.8125,37.03125,37.03125
02-09-1999,35.625,36.875,22540,37.1875,35.9375,35.9375
03-09-1999,36.875,37.8125,20320,38.125,36.875,36.875
07-09-1999,35.9375,36.875,420080,45.9375,39.375,39.375
08-09-1999,38.125,40.3125,113380,43.125,40.15625,40.15625
09-09-1999,37.1875,40.9375,103680,41.875,38.125,38.125
10-09-1999,33.75,39.375,84580,39.6875,36.25,36.25
13-09-1999,34.375,37.109375,48060,39.6875,35.625,35.625
14-09-1999,35.0,35.625,20420,36.5625,35.625,35.625
15-09-1999,35.0,36.25,15220,36.875,36.875,36.875
16-09-1999,34.0625,36.5625,32500,36.875,35.0,35.0
17-09-1999,34.375,35.15625,13380,35.9375,34.375,34.375
20-09-1999,33.75,34.375,13620,35.0,33.75,33.75
21-09-1999,30.0,33.90625,38720,34.375,30.625,30.625
22-09-1999,30.78125,31.09375,44260,31.875,31.25,31.25
23-09-1999,30.9375,31.5625,21460,34.0625,31.875,31.875
24-09-1999,30.3125,31.875,10700,31.875,31.25,31.25
27-09-1999,30.0,31.875,16720,31.875,31.25,31.25
28-09-1999,29.375,31.40625,18760,31.5625,30.3125,30.3125
29-09-1999,30.3125,30.625,19680,33.75,31.25,31.25
30-09-1999,30.9375,31.875,16760,35.0,35.0,35.0
01-10-1999,32.8125,35.0,6020,35.0,34.375,34.375
04-10-1999,33.75,34.6875,21520,39.375,36.25,36.25
05-10-1999,33.75,36.25,15780,36.875,33.75,33.75
06-10-1999,33.75,35.3125,25620,36.25,36.25,36.25
07-10-1999,35.625,36.875,23180,38.75,36.875,36.875
08-10-1999,36.5625,38.75,50940,39.375,37.5,37.5
11-10-1999,35.9375,38.4375,12480,38.75,37.1875,37.1875
12-10-1999,35.0,36.796875,20340,37.8125,35.3125,35.3125
13-10-1999,33.125,35.46875,8660,35.46875,34.6875,34.6875
14-10-1999,33.75,34.375,6380,35.0,34.0625,34.0625
15-10-1999,31.875,35.0,7640,35.0,31.875,31.875
18-10-1999,30.9375,31.25,6720,32.5,31.875,31.875
19-10-1999,30.625,32.8125,11220,33.75,30.625,30.625
20-10-1999,30.625,33.4375,22020,33.4375,31.40625,31.40625
21-10-1999,31.5625,31.5625,29060,34.375,34.0625,34.0625
22-10-1999,30.625,34.375,32280,34.6875,31.5625,31.5625
25-10-1999,31.25,31.71875,13120,33.125,31.25,31.25
26-10-1999,30.0,31.25,26720,31.5625,30.3125,30.3125
27-10-1999,30.3125,31.875,23240,32.5,30.9375,30.9375
28-10-1999,29.375,31.5625,21580,31.5625,29.6875,29.6875
29-10-1999,28.75,29.0625,28640,31.875,30.9375,30.9375
01-11-1999,30.0,30.9375,12840,31.40625,30.625,30.625
02-11-1999,30.3125,31.09375,15700,31.25,30.9375,30.9375
03-11-1999,28.75,30.3125,26600,31.875,29.6875,29.6875
04-11-1999,28.75,30.0,23860,31.25,29.375,29.375
05-11-1999,25.9375,29.84375,29460,30.0,28.75,28.75
08-11-1999,28.75,29.0625,67000,36.875,35.0,35.0
09-11-1999,35.0,35.625,131800,40.9375,38.75,38.75
10-11-1999,34.375,39.375,69220,40.3125,36.875,36.875
11-11-1999,34.375,36.875,32660,37.5,35.625,35.625
12-11-1999,34.6875,36.25,26920,37.5,35.625,35.625
15-11-1999,39.375,40.3125,1068400,76.25,74.375,74.375
16-11-1999,53.125,67.5,513400,67.5,56.875,56.875
