Date,Low,Open,Volume,High,Close,Adjusted Close
25-08-1998,21.25,21.25,400,21.75,21.75,9.710891723632812
26-08-1998,21.75,21.75,0,21.75,21.75,9.710891723632812
27-08-1998,20.875,21.5,1000,21.5,20.875,9.320225715637207
28-08-1998,20.375,20.625,500,20.625,20.375,9.09698486328125
31-08-1998,20.0,20.25,700,20.25,20.0,8.929557800292969
01-09-1998,20.0,20.0,0,20.0,20.0,8.929557800292969
02-09-1998,19.625,19.75,400,19.75,19.625,8.762129783630371
03-09-1998,19.375,19.625,500,19.625,19.375,8.650508880615234
04-09-1998,19.0,19.25,400,19.25,19.0,8.483077049255371
08-09-1998,19.25,19.25,200,19.25,19.25,8.59470272064209
09-09-1998,19.0,19.0,200,19.0,19.0,8.483077049255371
10-09-1998,19.0,19.0,0,19.0,19.0,8.483077049255371
11-09-1998,19.125,19.125,700,19.375,19.375,8.650508880615234
14-09-1998,19.5,19.5,100,19.5,19.5,8.706317901611328
15-09-1998,19.5,19.5,0,19.5,19.5,8.706317901611328
16-09-1998,19.5,19.5,0,19.5,19.5,8.706317901611328
17-09-1998,19.0,19.25,700,19.25,19.25,8.59470272064209
18-09-1998,19.25,19.25,0,19.25,19.25,8.59470272064209
21-09-1998,19.25,19.25,0,19.25,19.25,8.59470272064209
22-09-1998,19.0,19.0,300,19.0,19.0,8.483077049255371
23-09-1998,19.0,19.0,0,19.0,19.0,8.483077049255371
24-09-1998,19.0,19.25,300,19.25,19.0,8.483077049255371
25-09-1998,19.0,19.0,0,19.0,19.0,8.483077049255371
28-09-1998,18.875,18.875,0,18.875,18.875,8.476343154907227
29-09-1998,19.0,19.0,500,19.25,19.25,8.644750595092773
30-09-1998,19.0,19.0,200,19.0,19.0,8.532478332519531
01-10-1998,19.0,19.0,0,19.0,19.0,8.532478332519531
02-10-1998,19.0,19.0,0,19.0,19.0,8.532478332519531
05-10-1998,18.75,18.75,200,18.75,18.75,8.420211791992188
06-10-1998,18.75,18.75,0,18.75,18.75,8.420211791992188
07-10-1998,18.5,18.5,400,18.5,18.5,8.30793571472168
08-10-1998,18.0,18.25,700,18.25,18.0,8.08340072631836
09-10-1998,17.75,18.0,800,18.0,17.75,7.971132278442383
12-10-1998,17.75,17.75,0,17.75,17.75,7.971132278442383
13-10-1998,17.75,18.0,1200,18.0,17.75,7.971132278442383
14-10-1998,17.75,17.75,0,17.75,17.75,7.971132278442383
15-10-1998,17.5,17.9375,900,17.9375,17.5,7.858864784240723
16-10-1998,17.75,17.75,500,17.75,17.75,7.971132278442383
19-10-1998,17.75,17.75,500,17.75,17.75,7.971132278442383
20-10-1998,17.75,17.75,900,18.0,18.0,8.08340072631836
21-10-1998,17.5,17.75,2300,17.875,17.5,7.858864784240723
22-10-1998,17.5,17.5,0,17.5,17.5,7.858864784240723
23-10-1998,17.75,17.75,700,18.0,18.0,8.08340072631836
26-10-1998,18.0,18.0,900,18.0,18.0,8.08340072631836
27-10-1998,18.0,18.0,0,18.0,18.0,8.08340072631836
28-10-1998,17.875,17.875,500,18.125,18.125,8.139535903930664
29-10-1998,18.125,18.125,0,18.125,18.125,8.139535903930664
30-10-1998,18.125,18.125,0,18.125,18.125,8.139535903930664
02-11-1998,18.125,18.125,0,18.125,18.125,8.139535903930664
03-11-1998,17.875,17.875,300,17.875,17.875,8.02726936340332
04-11-1998,17.875,17.875,0,17.875,17.875,8.02726936340332
05-11-1998,18.125,18.125,200,18.125,18.125,8.139535903930664
06-11-1998,18.125,18.125,0,18.125,18.125,8.139535903930664
09-11-1998,18.375,18.375,1500,18.75,18.75,8.420211791992188
10-11-1998,19.0,19.0,200,19.0,19.0,8.532478332519531
