Date,Low,Open,Volume,High,Close,Adjusted Close
12-03-1984,15.0,0.0,580,16.25,15.0,12.630447387695312
13-03-1984,13.75,0.0,760,15.0,13.75,11.577910423278809
14-03-1984,13.75,0.0,180,14.375,13.75,11.577910423278809
15-03-1984,12.5,0.0,800,13.125,12.5,10.525375366210938
16-03-1984,11.25,0.0,1080,12.5,11.25,9.472835540771484
19-03-1984,11.25,0.0,240,12.5,11.25,9.472835540771484
20-03-1984,11.875,0.0,1280,13.125,11.875,9.999105453491211
21-03-1984,12.5,0.0,280,13.125,12.5,10.525375366210938
22-03-1984,12.5,0.0,520,13.125,12.5,10.525375366210938
23-03-1984,11.875,0.0,200,12.5,11.875,9.999105453491211
26-03-1984,11.875,0.0,340,13.125,11.875,9.999105453491211
27-03-1984,11.875,0.0,920,12.5,11.875,9.999105453491211
28-03-1984,11.875,0.0,740,12.5,11.875,9.999105453491211
29-03-1984,11.875,0.0,740,12.5,11.875,9.999105453491211
30-03-1984,11.875,0.0,20,12.5,11.875,9.999105453491211
02-04-1984,12.5,0.0,540,13.125,12.5,10.525375366210938
03-04-1984,12.5,0.0,540,13.125,12.5,10.525375366210938
04-04-1984,12.5,0.0,500,13.125,12.5,10.525375366210938
05-04-1984,12.5,0.0,200,13.125,12.5,10.525375366210938
06-04-1984,12.5,0.0,500,13.125,12.5,10.525375366210938
09-04-1984,12.5,0.0,280,13.125,12.5,10.525375366210938
10-04-1984,11.875,0.0,840,12.5,11.875,9.999105453491211
11-04-1984,11.875,0.0,640,12.5,11.875,9.999105453491211
12-04-1984,11.875,0.0,440,12.5,11.875,9.999105453491211
13-04-1984,11.875,0.0,1120,12.5,11.875,9.999105453491211
16-04-1984,11.875,0.0,500,12.5,11.875,9.999105453491211
17-04-1984,11.875,0.0,900,12.5,11.875,9.999105453491211
18-04-1984,11.875,0.0,200,12.5,11.875,9.999105453491211
19-04-1984,11.25,0.0,720,11.875,11.25,9.472835540771484
23-04-1984,11.25,0.0,320,11.875,11.25,9.472835540771484
24-04-1984,11.25,0.0,1300,11.875,11.25,9.472835540771484
25-04-1984,11.25,0.0,140,11.875,11.25,9.472835540771484
26-04-1984,11.25,0.0,80,11.875,11.25,9.472835540771484
27-04-1984,11.25,0.0,380,12.5,11.25,9.472835540771484
30-04-1984,11.25,0.0,40,12.5,11.25,9.472835540771484
01-05-1984,11.25,0.0,760,11.875,11.25,9.472835540771484
02-05-1984,11.25,0.0,420,11.875,11.25,9.472835540771484
03-05-1984,10.625,0.0,400,11.875,10.625,8.946566581726074
04-05-1984,10.625,0.0,100,11.875,10.625,8.946566581726074
07-05-1984,10.625,0.0,960,11.25,10.625,8.946566581726074
08-05-1984,10.625,0.0,520,11.25,10.625,8.946566581726074
09-05-1984,10.625,0.0,980,11.25,10.625,8.946566581726074
10-05-1984,10.625,0.0,220,11.25,10.625,8.946566581726074
11-05-1984,10.625,0.0,240,11.25,10.625,8.946566581726074
14-05-1984,10.625,0.0,460,11.25,10.625,8.946566581726074
15-05-1984,10.625,0.0,220,11.25,10.625,8.946566581726074
16-05-1984,10.625,0.0,1440,11.25,10.625,8.946566581726074
17-05-1984,10.625,0.0,40,11.25,10.625,8.946566581726074
18-05-1984,10.625,0.0,680,11.25,10.625,8.946566581726074
21-05-1984,10.625,0.0,740,11.25,10.625,8.946566581726074
22-05-1984,10.625,0.0,440,11.25,10.625,8.946566581726074
23-05-1984,9.375,0.0,1660,10.625,9.375,7.8940300941467285
24-05-1984,9.375,0.0,460,10.625,9.375,7.8940300941467285
25-05-1984,10.625,0.0,740,11.25,10.625,8.946566581726074
29-05-1984,10.0,0.0,400,11.25,10.0,8.42029857635498
30-05-1984,10.0,0.0,300,10.625,10.0,8.42029857635498
31-05-1984,10.0,0.0,380,10.625,10.0,8.42029857635498
01-06-1984,10.625,0.0,560,11.25,10.625,8.946566581726074
04-06-1984,10.625,0.0,680,11.25,10.625,8.946566581726074
05-06-1984,10.625,0.0,120,11.25,10.625,8.946566581726074
06-06-1984,10.0,0.0,20,11.25,10.0,8.42029857635498
07-06-1984,10.0,0.0,280,11.25,10.0,8.42029857635498
08-06-1984,10.0,0.0,200,10.625,10.0,8.42029857635498
11-06-1984,10.0,0.0,720,10.625,10.0,8.42029857635498
12-06-1984,10.0,10.0,0,10.0,10.0,8.42029857635498
13-06-1984,10.0,0.0,120,10.625,10.0,8.42029857635498
14-06-1984,9.375,0.0,400,10.625,9.375,7.8940300941467285
15-06-1984,9.375,0.0,240,10.625,9.375,7.8940300941467285
18-06-1984,9.375,0.0,180,10.0,9.375,7.8940300941467285
19-06-1984,9.375,9.375,0,9.375,9.375,7.8940300941467285
20-06-1984,9.375,0.0,180,10.0,9.375,7.8940300941467285
21-06-1984,9.375,0.0,140,10.0,9.375,7.8940300941467285
22-06-1984,8.75,0.0,400,10.0,8.75,7.36776065826416
25-06-1984,8.75,0.0,400,9.375,8.75,7.36776065826416
26-06-1984,8.125,0.0,280,9.375,8.125,6.841492652893066
27-06-1984,8.125,0.0,220,8.75,8.125,6.841492652893066
28-06-1984,7.5,0.0,860,8.125,7.5,6.315223693847656
29-06-1984,7.5,7.5,0,7.5,7.5,6.315223693847656
02-07-1984,7.5,0.0,40,8.75,7.5,6.315223693847656
03-07-1984,7.5,0.0,200,8.125,7.5,6.315223693847656
05-07-1984,6.875,0.0,940,7.5,6.875,5.788955211639404
06-07-1984,6.25,0.0,660,6.875,6.25,5.262687683105469
09-07-1984,5.625,0.0,160,6.875,5.625,4.736417770385742
10-07-1984,6.25,0.0,360,6.875,6.25,5.262687683105469
11-07-1984,6.25,0.0,820,6.875,6.25,5.262687683105469
12-07-1984,5.625,0.0,160,6.875,5.625,4.736417770385742
13-07-1984,6.25,0.0,940,6.875,6.25,5.262687683105469
16-07-1984,6.25,0.0,620,6.875,6.25,5.262687683105469
17-07-1984,6.875,0.0,1040,7.5,6.875,5.788955211639404
18-07-1984,6.25,0.0,280,7.5,6.25,5.262687683105469
19-07-1984,6.25,6.25,0,6.25,6.25,5.262687683105469
