Date,Low,Open,Volume,High,Close,Adjusted Close
19-03-1992,7.0,7.5,1256400,7.5,7.125,7.125
20-03-1992,7.125,7.375,262800,7.625,7.25,7.25
23-03-1992,7.25,7.25,43800,7.625,7.25,7.25
24-03-1992,7.25,7.5,73600,7.625,7.5,7.5
25-03-1992,7.25,7.625,28000,7.625,7.625,7.625
26-03-1992,7.25,7.625,187800,8.25,7.75,7.75
27-03-1992,7.625,7.75,24400,8.0,7.875,7.875
30-03-1992,7.625,7.875,45800,8.0,8.0,8.0
31-03-1992,7.5,8.0,39600,8.0,7.75,7.75
01-04-1992,7.375,7.75,40000,7.8125,7.8125,7.8125
02-04-1992,7.5625,7.8125,27600,8.0,7.75,7.75
03-04-1992,7.375,7.5,48200,7.75,7.5,7.5
06-04-1992,7.375,7.375,10400,7.625,7.375,7.375
07-04-1992,7.375,7.375,9600,7.75,7.5,7.5
08-04-1992,7.0,7.375,56800,7.375,7.375,7.375
09-04-1992,7.25,7.25,4400,7.625,7.25,7.25
10-04-1992,7.375,7.625,26000,7.625,7.625,7.625
13-04-1992,7.375,7.375,6200,7.625,7.375,7.375
14-04-1992,7.625,7.75,1200,7.75,7.625,7.625
15-04-1992,7.5,7.5,11800,7.75,7.75,7.75
16-04-1992,7.5,7.5,17000,7.875,7.5,7.5
20-04-1992,7.375,7.5,31400,7.875,7.5,7.5
21-04-1992,7.25,7.625,4000,7.625,7.25,7.25
22-04-1992,7.375,7.625,7600,7.625,7.5,7.5
23-04-1992,7.375,7.625,2000,7.625,7.375,7.375
24-04-1992,7.25,7.25,6200,7.625,7.625,7.625
27-04-1992,7.25,7.375,33800,7.625,7.5,7.5
28-04-1992,7.25,7.25,44600,7.5,7.25,7.25
29-04-1992,7.25,7.25,5600,7.5,7.25,7.25
30-04-1992,7.25,7.25,85000,7.4375,7.25,7.25
01-05-1992,7.25,7.75,26600,7.75,7.625,7.625
04-05-1992,7.25,7.25,1400,7.375,7.375,7.375
05-05-1992,7.25,7.75,3600,7.75,7.25,7.25
06-05-1992,7.25,7.5,10400,7.75,7.5,7.5
07-05-1992,7.25,7.25,4600,7.625,7.625,7.625
08-05-1992,7.25,7.25,17000,7.625,7.625,7.625
11-05-1992,7.5,7.5,56200,8.125,7.75,7.75
12-05-1992,7.75,7.75,64200,8.25,8.25,8.25
13-05-1992,7.75,7.875,7600,8.25,7.75,7.75
14-05-1992,7.75,8.125,11400,8.125,8.125,8.125
15-05-1992,7.625,8.0,17800,8.0,8.0,8.0
18-05-1992,7.625,8.0,1200,8.0,8.0,8.0
19-05-1992,7.625,7.625,3000,7.875,7.625,7.625
20-05-1992,7.875,8.0,4200,8.0,8.0,8.0
21-05-1992,7.625,7.625,200,7.625,7.625,7.625
22-05-1992,7.625,7.625,26000,7.75,7.6875,7.6875
26-05-1992,7.875,8.0,2400,8.0,8.0,8.0
27-05-1992,7.5,7.875,10400,7.875,7.5,7.5
28-05-1992,7.3125,7.875,119600,7.875,7.375,7.375
29-05-1992,7.25,7.25,6000,7.3125,7.25,7.25
01-06-1992,7.25,7.625,1600,7.625,7.625,7.625
02-06-1992,7.25,7.25,800,7.25,7.25,7.25
03-06-1992,7.25,7.25,35600,7.5,7.5,7.5
04-06-1992,7.375,7.5,6400,7.75,7.75,7.75
05-06-1992,7.375,7.75,40200,7.75,7.375,7.375
08-06-1992,7.25,7.25,1400,7.75,7.75,7.75
09-06-1992,7.25,7.5,3600,7.75,7.375,7.375
10-06-1992,7.75,7.75,1800,7.75,7.75,7.75
11-06-1992,7.375,7.375,3400,7.75,7.75,7.75
12-06-1992,7.5,7.75,13400,7.75,7.75,7.75
15-06-1992,7.5,7.75,4400,7.75,7.5,7.5
16-06-1992,7.75,7.75,800,7.75,7.75,7.75
17-06-1992,7.375,7.75,2400,7.75,7.375,7.375
18-06-1992,7.375,7.375,6400,7.75,7.375,7.375
19-06-1992,7.375,7.375,5200,7.375,7.375,7.375
22-06-1992,7.375,7.375,4800,7.625,7.375,7.375
23-06-1992,7.375,7.5,12400,7.75,7.75,7.75
24-06-1992,7.75,7.75,6200,7.75,7.75,7.75
25-06-1992,7.375,7.5,2600,7.5,7.375,7.375
26-06-1992,7.375,7.375,600,7.375,7.375,7.375
29-06-1992,7.375,7.375,200,7.375,7.375,7.375
30-06-1992,7.375,7.375,6200,7.5,7.5,7.5
01-07-1992,7.375,7.5,3200,7.75,7.75,7.75
02-07-1992,7.375,7.375,15600,7.625,7.625,7.625
06-07-1992,7.375,7.375,31200,7.625,7.625,7.625
07-07-1992,7.375,7.375,6200,7.625,7.5,7.5
08-07-1992,7.375,7.375,9400,7.625,7.625,7.625
09-07-1992,7.5,7.625,18200,7.875,7.5,7.5
10-07-1992,7.5,7.625,3200,7.875,7.875,7.875
13-07-1992,7.5,7.875,3400,7.875,7.875,7.875
14-07-1992,7.625,7.875,47000,8.125,7.75,7.75
15-07-1992,7.75,7.75,2400,7.75,7.75,7.75
16-07-1992,7.75,7.75,3600,8.125,8.0,8.0
17-07-1992,7.75,8.125,2000,8.125,7.75,7.75
20-07-1992,7.75,7.75,2800,8.0,7.75,7.75
21-07-1992,7.75,8.0,2000,8.0,7.8125,7.8125
22-07-1992,7.75,7.75,33400,8.125,7.75,7.75
23-07-1992,7.75,8.125,1200,8.125,7.75,7.75
24-07-1992,7.75,7.75,8000,8.0,7.75,7.75
27-07-1992,7.75,7.75,5000,8.125,7.875,7.875
28-07-1992,7.75,8.125,3200,8.125,7.75,7.75
29-07-1992,7.75,8.125,6600,8.125,8.125,8.125
30-07-1992,7.75,7.75,7600,8.125,8.0,8.0
31-07-1992,7.75,7.75,7400,8.0,7.75,7.75
03-08-1992,7.75,8.125,2400,8.125,7.75,7.75
04-08-1992,7.875,8.125,4400,8.125,8.125,8.125
05-08-1992,7.875,7.875,6800,8.0,7.875,7.875
06-08-1992,7.875,7.875,2000,7.875,7.875,7.875
07-08-1992,7.75,7.75,1400,8.125,8.125,8.125
10-08-1992,7.75,8.125,29800,8.125,8.0,8.0
11-08-1992,7.9375,8.0,16000,8.125,8.125,8.125
12-08-1992,7.875,8.125,2400,8.125,8.125,8.125
13-08-1992,7.75,7.75,3600,8.125,7.75,7.75
14-08-1992,8.0,8.125,4000,8.125,8.0625,8.0625
17-08-1992,7.75,7.75,17600,8.0,8.0,8.0
18-08-1992,7.875,8.125,15800,8.25,8.25,8.25
19-08-1992,7.875,7.875,800,8.25,8.25,8.25
20-08-1992,7.75,7.875,10200,8.25,7.75,7.75
21-08-1992,7.75,8.25,8200,8.25,7.75,7.75
24-08-1992,7.75,8.0,1400,8.0,8.0,8.0
25-08-1992,7.75,8.0,1600,8.0,8.0,8.0
26-08-1992,7.75,8.0,1200,8.0,7.75,7.75
27-08-1992,7.75,8.0,3200,8.0,7.75,7.75
