Date,Low,Open,Volume,High,Close,Adjusted Close
30-07-1982,3.4375,3.4375,50400.0,3.5,3.4375,1.4489141702651978
02-08-1982,3.375,3.375,122000.0,3.5,3.375,1.4225702285766602
03-08-1982,3.5,3.5,121600.0,3.5625,3.5,1.4752577543258667
04-08-1982,3.5,3.5,95600.0,3.5625,3.5,1.4752577543258667
05-08-1982,3.4375,3.4375,44000.0,3.5625,3.4375,1.4489141702651978
06-08-1982,3.4375,3.4375,17200.0,3.5,3.4375,1.4489141702651978
09-08-1982,3.4375,3.4375,20800.0,3.5,3.4375,1.4489141702651978
10-08-1982,3.4375,3.4375,6400.0,3.5,3.4375,1.4489141702651978
11-08-1982,3.4375,3.4375,18400.0,3.625,3.4375,1.4489141702651978
12-08-1982,3.5,3.5,6800.0,3.625,3.5,1.4752577543258667
13-08-1982,3.5,3.5,4000.0,3.6875,3.5,1.4752577543258667
16-08-1982,3.5,3.5,19200.0,3.625,3.5,1.4752577543258667
17-08-1982,3.5625,3.5625,11600.0,3.6875,3.5625,1.5016025304794312
18-08-1982,3.6875,3.6875,61600.0,3.8125,3.6875,1.554289698600769
19-08-1982,3.6875,3.6875,12800.0,3.8125,3.6875,1.554289698600769
20-08-1982,3.6875,3.6875,83200.0,3.8125,3.6875,1.554289698600769
23-08-1982,3.75,3.75,11600.0,3.875,3.75,1.5806328058242798
24-08-1982,3.75,3.75,57600.0,3.9375,3.75,1.5806328058242798
25-08-1982,4.0,4.0,91200.0,4.1875,4.0,1.686009407043457
26-08-1982,4.125,4.125,70000.0,4.25,4.125,1.7386969327926636
27-08-1982,4.0,4.0,28400.0,4.125,4.0,1.686009407043457
30-08-1982,4.0625,4.0625,15200.0,4.1875,4.0625,1.7123523950576782
31-08-1982,4.125,4.125,16000.0,4.25,4.125,1.7386969327926636
01-09-1982,4.25,4.25,32000.0,4.3125,4.25,1.7913843393325806
02-09-1982,4.25,4.25,19600.0,4.3125,4.25,1.7913843393325806
03-09-1982,4.4375,4.4375,20800.0,4.5625,4.4375,1.8704159259796143
07-09-1982,4.4375,4.4375,12400.0,4.625,4.4375,1.8704159259796143
08-09-1982,4.4375,4.4375,800.0,4.625,4.4375,1.8704159259796143
09-09-1982,4.4375,4.4375,12800.0,4.625,4.4375,1.8704159259796143
10-09-1982,4.5,4.5,5200.0,4.625,4.5,1.89676034450531
13-09-1982,4.5,4.5,9600.0,4.6875,4.5,1.89676034450531
14-09-1982,4.5,4.5,70000.0,4.6875,4.5,1.89676034450531
15-09-1982,4.5,4.5,2000.0,4.6875,4.5,1.89676034450531
16-09-1982,4.5625,4.5625,6800.0,4.6875,4.5625,1.923103928565979
17-09-1982,4.5625,4.5625,4400.0,4.6875,4.5625,1.923103928565979
20-09-1982,4.5625,4.5625,2400.0,4.6875,4.5625,1.923103928565979
21-09-1982,4.5625,4.5625,23200.0,4.6875,4.5625,1.923103928565979
22-09-1982,4.625,4.625,12800.0,4.8125,4.625,1.949447512626648
23-09-1982,4.625,4.625,31600.0,4.8125,4.625,1.949447512626648
24-09-1982,4.625,4.625,8400.0,4.8125,4.625,1.949447512626648
27-09-1982,4.625,4.625,10800.0,4.8125,4.625,1.949447512626648
28-09-1982,4.6875,4.6875,13600.0,4.8125,4.6875,1.975791096687317
29-09-1982,4.6875,4.6875,1600.0,4.8125,4.6875,1.975791096687317
30-09-1982,4.6875,4.6875,800.0,4.875,4.6875,1.975791096687317
01-10-1982,4.75,4.75,4400.0,4.875,4.75,2.002135753631592
04-10-1982,4.8125,4.8125,9200.0,4.9375,4.8125,2.02847957611084
05-10-1982,4.875,4.875,7600.0,5.0,4.875,2.054824113845825
06-10-1982,5.4375,5.4375,47600.0,5.5,5.4375,2.291918992996216
07-10-1982,6.0625,6.0625,52000.0,6.1875,6.0625,2.5553579330444336
08-10-1982,6.0,6.0,42400.0,6.1875,6.0,2.529013156890869
11-10-1982,6.1875,6.1875,33600.0,6.3125,6.1875,2.6080446243286133
12-10-1982,6.1875,6.1875,29600.0,6.3125,6.1875,2.6080446243286133
13-10-1982,6.1875,6.1875,16800.0,6.375,6.1875,2.6080446243286133
14-10-1982,6.3125,6.3125,16400.0,6.4375,6.3125,2.6607327461242676
15-10-1982,6.3125,6.3125,8800.0,6.4375,6.3125,2.6607327461242676
18-10-1982,6.5,6.5,17200.0,6.625,6.5,2.739764451980591
19-10-1982,6.75,6.75,15600.0,6.875,6.75,2.8451404571533203
20-10-1982,7.3125,7.3125,21200.0,7.4375,7.3125,3.0822348594665527
21-10-1982,7.5,7.5,64400.0,7.5625,7.5,3.1612656116485596
22-10-1982,7.5,7.5,30400.0,7.5625,7.5,3.1612656116485596
25-10-1982,7.375,7.375,39200.0,7.5,7.375,3.108579397201538
26-10-1982,7.0,7.0,56000.0,7.1875,7.0,2.9505155086517334
27-10-1982,6.3125,6.3125,171200.0,6.375,6.3125,2.6607327461242676
28-10-1982,6.5,6.5,169600.0,6.625,6.5,2.739764451980591
29-10-1982,6.625,6.625,20400.0,6.75,6.625,2.7924516201019287
01-11-1982,6.625,6.625,180400.0,6.6875,6.625,2.7924516201019287
02-11-1982,6.625,6.625,234800.0,6.6875,6.625,2.7924516201019287
03-11-1982,6.9375,6.9375,139600.0,7.0,6.9375,2.92417049407959
04-11-1982,7.25,7.25,137200.0,7.375,7.25,3.055891752243042
05-11-1982,7.125,7.125,32400.0,7.25,7.125,3.0032050609588623
08-11-1982,7.125,7.125,7200.0,7.25,7.125,3.0032050609588623
09-11-1982,7.125,7.125,66400.0,7.3125,7.125,3.0032050609588623
10-11-1982,7.125,7.125,14000.0,7.3125,7.125,3.0032050609588623
11-11-1982,7.1875,7.1875,24800.0,7.3125,7.1875,3.0295474529266357
12-11-1982,7.1875,7.1875,21200.0,7.3125,7.1875,3.0295474529266357
15-11-1982,7.1875,7.1875,10400.0,7.25,7.1875,3.0295474529266357
16-11-1982,7.1875,7.1875,37600.0,7.3125,7.1875,3.0295474529266357
17-11-1982,7.1875,7.1875,29600.0,7.3125,7.1875,3.0295474529266357
18-11-1982,7.25,7.25,8800.0,7.375,7.25,3.055891752243042
19-11-1982,7.875,7.875,72400.0,8.0625,7.875,3.319331169128418
22-11-1982,7.8125,7.8125,53200.0,8.0,7.8125,3.292985439300537
23-11-1982,7.5625,7.5625,84400.0,7.6875,7.5625,3.187610149383545
24-11-1982,7.8125,7.8125,91600.0,7.9375,7.8125,3.292985439300537
26-11-1982,7.875,7.875,15600.0,8.0,7.875,3.319331169128418
29-11-1982,8.125,8.125,218000.0,8.3125,8.125,3.4247047901153564
30-11-1982,8.5,8.5,46000.0,8.6875,8.5,3.582768678665161
01-12-1982,8.875,8.875,54400.0,9.0,8.875,3.7408318519592285
02-12-1982,8.875,8.875,37600.0,9.0,8.875,3.7408318519592285
03-12-1982,9.125,9.125,296000.0,9.25,9.125,3.846207857131958
06-12-1982,9.1875,9.1875,71200.0,9.375,9.1875,3.8725521564483643
07-12-1982,9.4375,9.4375,23200.0,9.625,9.4375,3.9779274463653564
08-12-1982,9.8125,9.8125,60800.0,10.0,9.8125,4.135992050170898
09-12-1982,9.5,9.5,72000.0,9.625,9.5,4.004271507263184
10-12-1982,9.25,9.25,54800.0,9.375,9.25,3.898895025253296
13-12-1982,9.3125,9.3125,56400.0,9.4375,9.3125,3.9252395629882812
14-12-1982,9.375,9.375,24800.0,9.5,9.375,3.951582193374634
15-12-1982,9.1875,9.1875,145200.0,9.3125,9.1875,3.8725521564483643
16-12-1982,9.125,9.125,116800.0,9.25,9.125,3.846207857131958
17-12-1982,9.125,9.125,70800.0,9.3125,9.125,3.846207857131958
20-12-1982,9.125,9.125,38800.0,9.25,9.125,3.846207857131958
21-12-1982,9.25,9.25,56000.0,9.375,9.25,3.898895025253296
