Date,Low,Open,Volume,High,Close,Adjusted Close
08-08-1997,36.4375,37.6875,245500,37.6875,37.0,32.80257034301758
11-08-1997,36.125,37.0,243600,37.25,36.8125,32.636322021484375
12-08-1997,36.6875,36.75,405500,37.0,36.9375,32.74713897705078
13-08-1997,35.75,37.0,405700,37.5,37.5,33.24583435058594
14-08-1997,36.375,37.25,195600,37.375,36.875,32.69173812866211
15-08-1997,35.75,36.625,260500,36.75,36.0625,31.97140121459961
18-08-1997,35.625,36.1875,180600,36.25,36.0625,31.97140121459961
19-08-1997,34.75,36.0,703300,36.125,36.125,32.026817321777344
20-08-1997,35.25,36.0,1029500,36.25,35.5625,31.52811622619629
21-08-1997,35.125,35.5,1406500,35.75,35.3125,31.30649757385254
22-08-1997,34.75,34.875,157300,35.3125,35.3125,31.30649757385254
25-08-1997,35.9375,36.0,1698400,36.875,36.75,32.58092498779297
26-08-1997,37.0,37.0,589700,38.375,38.0,33.689117431640625
27-08-1997,37.625,38.0,716300,38.3125,37.6875,33.41205978393555
28-08-1997,37.4375,37.75,1333100,39.1875,39.125,34.686485290527344
29-08-1997,39.25,39.25,1840400,40.0,39.9375,35.40682601928711
02-09-1997,39.75,39.9375,1023700,42.0,41.75,37.013694763183594
03-09-1997,42.0,42.0,788200,42.75,42.5625,37.7340087890625
04-09-1997,41.5,42.0,3477000,44.375,44.0,39.00843811035156
05-09-1997,43.75,44.0,907200,44.25,44.0625,39.06385040283203
08-09-1997,43.625,44.0,728300,44.0,43.75,38.78679656982422
09-09-1997,42.75,43.75,669300,43.75,42.875,38.01106262207031
10-09-1997,42.1875,42.625,329500,42.8125,42.3125,37.51238250732422
11-09-1997,41.6875,42.1875,221600,42.25,41.75,37.013694763183594
12-09-1997,41.4375,41.6875,85400,41.75,41.625,36.94710922241211
15-09-1997,41.0,41.875,228600,42.0,41.25,36.6142578125
16-09-1997,41.125,41.5,348400,41.6875,41.25,36.6142578125
17-09-1997,40.0625,41.25,285100,41.25,40.3125,35.7821159362793
18-09-1997,40.1875,40.3125,459400,40.875,40.6875,36.11498260498047
