Date,Low,Open,Volume,High,Close,Adjusted Close
06-11-1986,6.875,7.0625,17902800,7.15625,7.0,3.221389055252075
07-11-1986,6.84375,7.0,6288000,7.0,6.96875,3.2070066928863525
10-11-1986,6.75,6.90625,3060000,6.90625,6.78125,3.1207194328308105
11-11-1986,6.78125,6.78125,1130000,6.875,6.875,3.163863182067871
12-11-1986,6.8125,6.875,2082800,6.9375,6.875,3.163863182067871
13-11-1986,6.8125,6.84375,891200,6.84375,6.8125,3.135101318359375
14-11-1986,6.78125,6.8125,952000,6.875,6.875,3.163863182067871
17-11-1986,6.75,6.8125,1055200,6.84375,6.75,3.1063387393951416
18-11-1986,6.59375,6.75,2426400,6.78125,6.625,3.048811435699463
19-11-1986,6.5,6.625,2026000,6.625,6.53125,3.0056681632995605
20-11-1986,6.53125,6.59375,3253600,6.65625,6.625,3.048811435699463
21-11-1986,6.65625,6.71875,639600,6.71875,6.71875,3.0919559001922607
24-11-1986,6.65625,6.6875,660000,6.71875,6.65625,3.063194990158081
25-11-1986,6.5625,6.65625,1080000,6.71875,6.6875,3.0775763988494873
26-11-1986,6.5625,6.6875,963200,6.75,6.6875,3.0775763988494873
28-11-1986,6.65625,6.6875,521600,6.71875,6.71875,3.0919559001922607
01-12-1986,6.6875,6.6875,662000,6.75,6.75,3.1063387393951416
02-12-1986,6.75,6.75,1161200,6.875,6.875,3.163863182067871
03-12-1986,6.875,6.875,1210400,7.0625,6.96875,3.2070066928863525
04-12-1986,6.875,6.96875,1446400,6.96875,6.90625,3.1782431602478027
05-12-1986,6.84375,6.875,737600,6.90625,6.84375,3.1494810581207275
08-12-1986,6.75,6.8125,703600,6.84375,6.75,3.1063387393951416
09-12-1986,6.75,6.75,444800,6.78125,6.75,3.1063387393951416
10-12-1986,6.71875,6.75,902400,6.78125,6.71875,3.0919559001922607
11-12-1986,6.59375,6.75,550400,6.78125,6.6875,3.0775763988494873
12-12-1986,6.65625,6.6875,356800,6.75,6.75,3.1063387393951416
15-12-1986,6.65625,6.71875,521200,6.75,6.71875,3.0919559001922607
16-12-1986,6.625,6.6875,835600,6.71875,6.65625,3.063194990158081
17-12-1986,6.625,6.65625,803600,6.65625,6.625,3.048811435699463
18-12-1986,6.53125,6.625,1108000,6.65625,6.59375,3.0344314575195312
19-12-1986,6.5,6.5,556000,6.625,6.625,3.048811435699463
22-12-1986,6.5,6.5625,1456000,6.5625,6.5625,3.020049810409546
23-12-1986,6.5,6.53125,574000,6.5625,6.5625,3.020049810409546
24-12-1986,6.5,6.6875,322400,6.6875,6.53125,3.0056681632995605
26-12-1986,6.5,6.5,486000,6.5625,6.5625,3.020049810409546
29-12-1986,6.46875,6.53125,693200,6.53125,6.53125,3.0056681632995605
30-12-1986,6.4375,6.53125,910000,6.5625,6.5625,3.020049810409546
31-12-1986,6.5,6.5,841600,6.71875,6.71875,3.0919559001922607
02-01-1987,6.625,6.6875,264800,6.8125,6.8125,3.135101318359375
05-01-1987,6.8125,6.8125,668400,6.96875,6.9375,3.1926255226135254
06-01-1987,6.84375,6.875,554400,6.96875,6.96875,3.2070066928863525
07-01-1987,6.9375,6.9375,748400,7.15625,7.15625,3.2932939529418945
08-01-1987,7.09375,7.125,596800,7.5625,7.5625,3.4802489280700684
09-01-1987,7.40625,7.53125,759600,7.75,7.625,3.5090110301971436
12-01-1987,7.5625,7.5625,1196800,7.78125,7.625,3.5090110301971436
13-01-1987,7.34375,7.5625,504800,7.59375,7.40625,3.4083409309387207
14-01-1987,7.4375,7.46875,611600,7.59375,7.5,3.451486825942993
15-01-1987,7.46875,7.46875,463200,7.59375,7.5,3.451486825942993
16-01-1987,7.4375,7.53125,412800,7.65625,7.625,3.5090110301971436
19-01-1987,7.5,7.5625,161600,7.625,7.5625,3.4802489280700684
20-01-1987,7.53125,7.59375,642000,7.625,7.59375,3.506221294403076
21-01-1987,7.53125,7.5625,505200,7.625,7.53125,3.4773623943328857
22-01-1987,7.375,7.53125,618000,7.53125,7.4375,3.4340763092041016
23-01-1987,7.4375,7.46875,573200,7.625,7.625,3.5206499099731445
26-01-1987,7.375,7.5,594800,7.5,7.375,3.4052176475524902
27-01-1987,7.28125,7.3125,488400,7.5,7.46875,3.4485061168670654
28-01-1987,7.4375,7.4375,462000,7.53125,7.4375,3.4340763092041016
29-01-1987,7.375,7.40625,574000,7.5,7.375,3.4052176475524902
30-01-1987,7.34375,7.375,265600,7.46875,7.375,3.4052176475524902
02-02-1987,7.34375,7.5,900000,7.53125,7.53125,3.4773623943328857
03-02-1987,7.5,7.5625,1131600,7.625,7.53125,3.4773623943328857
04-02-1987,7.40625,7.5,498800,7.5,7.46875,3.4485061168670654
05-02-1987,7.3125,7.34375,1638800,7.53125,7.40625,3.419647455215454
06-02-1987,7.40625,7.4375,673600,7.53125,7.53125,3.4773623943328857
09-02-1987,7.40625,7.46875,487600,7.5625,7.5,3.462932586669922
10-02-1987,7.4375,7.46875,300800,7.5,7.46875,3.4485061168670654
11-02-1987,7.46875,7.46875,228000,7.53125,7.5,3.462932586669922
12-02-1987,7.5,7.53125,324800,7.59375,7.53125,3.4773623943328857
13-02-1987,7.53125,7.53125,402800,7.75,7.75,3.578366994857788
17-02-1987,7.5,7.75,933200,7.8125,7.5,3.462932586669922
18-02-1987,7.34375,7.5625,702400,7.5625,7.375,3.4052176475524902
19-02-1987,7.09375,7.3125,1086400,7.84375,7.75,3.578366994857788
20-02-1987,7.1875,7.75,3002000,7.75,7.25,3.3475053310394287
23-02-1987,7.0,7.15625,1918000,7.15625,7.0,3.2320733070373535
24-02-1987,6.9375,7.03125,962400,7.03125,6.96875,3.2176434993743896
25-02-1987,6.9375,6.96875,559200,7.0,7.0,3.2320733070373535
26-02-1987,6.90625,7.03125,506800,7.03125,6.9375,3.2032151222229004
27-02-1987,6.8125,6.96875,1080400,7.0,6.90625,3.1887853145599365
02-03-1987,6.875,6.875,962800,6.9375,6.9375,3.2032151222229004
03-03-1987,6.75,6.875,1147600,6.875,6.875,3.1743574142456055
04-03-1987,6.78125,6.875,1585200,6.875,6.875,3.1743574142456055
05-03-1987,6.75,6.84375,1385200,6.875,6.875,3.1743574142456055
06-03-1987,6.84375,6.875,925600,6.96875,6.96875,3.2176434993743896
09-03-1987,6.78125,6.9375,308800,6.9375,6.875,3.1743574142456055
10-03-1987,6.8125,6.875,274800,6.875,6.875,3.1743574142456055
11-03-1987,6.71875,6.875,606800,6.875,6.75,3.116641044616699
12-03-1987,6.53125,6.75,1380000,6.75,6.75,3.116641044616699
13-03-1987,6.5,6.6875,2095200,6.71875,6.5625,3.030066728591919
16-03-1987,6.375,6.5,633200,6.53125,6.4375,2.972351312637329
17-03-1987,6.15625,6.375,5080000,6.40625,6.25,2.8857781887054443
18-03-1987,6.21875,6.28125,1716000,6.28125,6.25,2.8857781887054443
19-03-1987,6.1875,6.21875,1080800,6.25,6.21875,2.8713490962982178
20-03-1987,6.1875,6.25,2166000,6.28125,6.1875,2.856921434402466
23-03-1987,6.0625,6.21875,1253200,6.40625,6.34375,2.929065227508545
24-03-1987,6.15625,6.34375,989200,6.34375,6.15625,2.8424932956695557
25-03-1987,5.96875,6.1875,4800000,6.1875,6.0,2.77034854888916
26-03-1987,6.0625,6.0625,2068400,6.4375,6.3125,2.914635419845581
27-03-1987,6.3125,6.375,1125200,6.4375,6.3125,2.914635419845581
30-03-1987,6.125,6.125,1591200,6.3125,6.15625,2.8424932956695557
31-03-1987,6.125,6.15625,2194800,6.25,6.1875,2.856921434402466
01-04-1987,6.03125,6.09375,507600,6.21875,6.0625,2.7992055416107178
02-04-1987,6.125,6.25,2248400,6.25,6.25,2.8857781887054443
03-04-1987,6.25,6.25,1008000,6.4375,6.375,2.943493604660034
06-04-1987,6.21875,6.4375,526400,6.4375,6.21875,2.8713490962982178
07-04-1987,6.09375,6.21875,485200,6.25,6.1875,2.856921434402466
08-04-1987,6.125,6.21875,373200,6.21875,6.125,2.8280625343322754
09-04-1987,6.125,6.15625,819200,6.21875,6.1875,2.856921434402466
10-04-1987,6.125,6.125,434800,6.15625,6.15625,2.8424932956695557
13-04-1987,5.9375,6.125,1598400,6.125,5.9375,2.7414896488189697
14-04-1987,5.46875,5.875,554400,5.875,5.75,2.6549172401428223
15-04-1987,5.8125,5.84375,293200,5.84375,5.84375,2.6982028484344482
16-04-1987,5.8125,5.875,418800,5.875,5.84375,2.6982028484344482
20-04-1987,5.78125,5.78125,255600,5.90625,5.875,2.7126314640045166
21-04-1987,5.75,5.78125,228800,5.84375,5.78125,2.680753469467163
22-04-1987,5.5,5.5,1181600,5.59375,5.5,2.5503385066986084
23-04-1987,5.40625,5.53125,474800,5.5625,5.4375,2.521355628967285
24-04-1987,5.34375,5.40625,985200,5.4375,5.40625,2.5068652629852295
27-04-1987,5.375,5.375,1000000,5.53125,5.46875,2.53584623336792
28-04-1987,5.3125,5.46875,379600,5.5,5.34375,2.47788405418396
29-04-1987,5.34375,5.34375,794000,5.4375,5.4375,2.521355628967285
