Date,Low,Open,Volume,High,Close,Adjusted Close
09-07-1986,10.5625,10.6875,1116800,11.0625,11.0,7.720572471618652
10-07-1986,10.6875,11.0625,595600,11.125,10.9375,7.676701068878174
11-07-1986,10.5625,10.875,800400,10.9375,10.5625,7.413501739501953
14-07-1986,10.125,10.625,738000,10.625,10.25,7.1941657066345215
15-07-1986,9.3125,10.1875,2059200,10.1875,9.9375,6.97483491897583
16-07-1986,9.9375,9.9375,1160400,10.5,10.125,7.1064372062683105
17-07-1986,10.0,10.125,1046000,10.25,10.1875,7.150300979614258
18-07-1986,10.0,10.1875,1420000,10.34375,10.25,7.1941657066345215
21-07-1986,10.1875,10.25,322800,10.3125,10.25,7.1941657066345215
22-07-1986,10.1875,10.25,390800,10.28125,10.1875,7.150300979614258
23-07-1986,10.0,10.25,1004000,10.25,10.0625,7.062567234039307
24-07-1986,9.8125,10.0625,1071600,10.125,9.9375,6.97483491897583
25-07-1986,9.875,9.9375,688400,10.125,10.0625,7.062567234039307
28-07-1986,9.96875,10.0625,414800,10.25,10.125,7.1064372062683105
29-07-1986,10.0,10.0,278400,10.1875,10.1875,7.150300979614258
30-07-1986,9.875,10.0625,459200,10.125,10.125,7.1064372062683105
31-07-1986,10.0,10.125,1213600,10.25,10.0625,7.062567234039307
01-08-1986,9.75,10.0,1118000,10.125,9.75,6.843231201171875
04-08-1986,9.53125,9.8125,892400,9.8125,9.75,6.843231201171875
05-08-1986,9.5,9.75,868800,9.75,9.5625,6.7116312980651855
06-08-1986,9.125,9.5625,550400,9.625,9.125,6.404566287994385
07-08-1986,8.125,9.0,7560000,9.0625,8.375,5.878159999847412
08-08-1986,8.375,8.4375,2802000,8.9375,8.875,6.229094982147217
11-08-1986,8.875,9.0,1428000,9.125,9.125,6.404566287994385
12-08-1986,9.125,9.125,1155200,9.4375,9.375,6.580031394958496
13-08-1986,9.375,9.4375,865600,10.09375,9.6875,6.799366474151611
14-08-1986,9.375,9.75,762000,9.8125,9.5,6.6677656173706055
15-08-1986,9.1875,9.5,654400,9.5,9.375,6.580031394958496
18-08-1986,9.25,9.4375,606800,9.875,9.6875,6.799366474151611
19-08-1986,9.5,9.75,2744000,9.75,9.5625,6.7116312980651855
20-08-1986,9.375,9.5625,500000,9.5625,9.5,6.6677656173706055
21-08-1986,9.4375,9.5,353200,9.5625,9.4375,6.623898029327393
22-08-1986,9.375,9.5,286000,9.5625,9.375,6.580031394958496
25-08-1986,9.125,9.5,766400,9.5,9.25,6.492297172546387
26-08-1986,9.1875,9.1875,408800,9.375,9.375,6.580031394958496
27-08-1986,9.1875,9.375,686400,9.375,9.3125,6.536164283752441
28-08-1986,9.125,9.3125,286000,9.3125,9.1875,6.448428630828857
29-08-1986,9.0625,9.125,1128800,9.25,9.125,6.404566287994385
02-09-1986,8.6875,9.1875,916800,9.1875,8.75,6.141361236572266
03-09-1986,8.6875,8.75,684400,8.9375,8.9375,6.27296257019043
04-09-1986,8.875,9.0,576800,9.3125,9.3125,6.536164283752441
05-09-1986,9.0,9.3125,961600,9.4375,9.0,6.316828727722168
08-09-1986,8.625,9.125,1793200,9.125,8.75,6.141361236572266
09-09-1986,8.5,8.6875,388000,8.75,8.625,6.0536298751831055
10-09-1986,8.5,8.625,802400,8.625,8.5,5.96589469909668
11-09-1986,7.75,8.5625,6240000,8.5625,7.9375,5.5710930824279785
12-09-1986,7.5625,7.875,2066800,7.9375,7.625,5.351759433746338
15-09-1986,7.4375,7.625,1746800,7.75,7.625,5.351759433746338
16-09-1986,7.3125,7.5625,1547200,7.625,7.4375,5.220158576965332
17-09-1986,7.0625,7.5,997600,7.5,7.375,5.176289081573486
18-09-1986,7.375,7.375,833200,8.75,8.75,6.141361236572266
19-09-1986,8.1875,8.75,928000,8.75,8.5625,6.009760856628418
22-09-1986,8.375,8.5625,464000,8.6875,8.5,5.96589469909668
23-09-1986,8.0625,8.5625,436400,8.5625,8.25,5.7904276847839355
24-09-1986,8.125,8.25,649600,8.5625,8.5,5.96589469909668
25-09-1986,8.3125,8.5,305600,8.5,8.3125,5.834293842315674
26-09-1986,8.25,8.3125,278400,8.4375,8.3125,5.834293842315674
29-09-1986,8.0625,8.375,724800,8.375,8.25,5.7904276847839355
30-09-1986,8.1875,8.1875,773200,8.75,8.5625,6.009760856628418
01-10-1986,8.5625,8.6875,668400,8.75,8.5625,6.009760856628418
02-10-1986,8.5625,8.5625,592000,8.625,8.5625,6.009760856628418
03-10-1986,8.25,8.625,228000,8.625,8.375,5.878159999847412
06-10-1986,8.3125,8.5,467600,8.5,8.4375,5.922029495239258
07-10-1986,8.375,8.375,176000,8.5,8.4375,5.922029495239258
08-10-1986,8.4375,8.5,558800,8.625,8.625,6.0536298751831055
09-10-1986,8.375,8.625,243200,8.625,8.4375,5.922029495239258
10-10-1986,8.25,8.4375,238400,8.4375,8.3125,5.834293842315674
13-10-1986,8.0625,8.375,362800,8.375,8.0625,5.658827781677246
14-10-1986,8.0625,8.0625,612000,8.625,8.5,5.96589469909668
15-10-1986,8.5,8.5625,606800,8.8125,8.75,6.141361236572266
16-10-1986,8.6875,8.75,269200,8.8125,8.6875,6.097496509552002
17-10-1986,8.4375,8.75,216000,8.75,8.5,5.96589469909668
20-10-1986,8.0625,8.4375,595200,8.5,8.3125,5.834293842315674
21-10-1986,8.1875,8.3125,327200,8.3125,8.1875,5.7465596199035645
22-10-1986,8.1875,8.3125,396000,8.3125,8.25,5.7904276847839355
23-10-1986,8.25,8.3125,1358400,8.3125,8.28125,5.812360763549805
24-10-1986,8.25,8.3125,809600,8.375,8.3125,5.834293842315674
27-10-1986,8.25,8.375,305200,8.375,8.3125,5.834293842315674
28-10-1986,8.25,8.25,329200,8.5,8.5,5.96589469909668
29-10-1986,8.5,8.5,835600,9.0,8.875,6.229094982147217
