Date,Low,Open,Volume,High,Close,Adjusted Close
22-10-1986,35.0,0.0,400,37.0,35.0,25.296897888183594
23-10-1986,35.0,35.0,0,35.0,35.0,25.296897888183594
24-10-1986,35.0,35.0,0,35.0,35.0,25.296897888183594
27-10-1986,35.0,35.0,0,35.0,35.0,25.296897888183594
28-10-1986,35.0,35.0,0,35.0,35.0,25.296897888183594
29-10-1986,35.5,0.0,700,37.0,35.5,25.658287048339844
30-10-1986,35.5,0.0,200,37.5,35.5,25.658287048339844
31-10-1986,37.0,0.0,500,38.5,37.0,26.742441177368164
03-11-1986,37.0,0.0,300,38.0,37.0,26.742441177368164
04-11-1986,38.0,0.0,4000,39.0,38.0,27.465206146240234
05-11-1986,38.0,0.0,400,39.5,38.0,27.465206146240234
06-11-1986,38.5,0.0,700,39.5,38.5,27.82660484313965
07-11-1986,38.5,38.5,0,38.5,38.5,27.82660484313965
10-11-1986,38.5,38.5,0,38.5,38.5,27.82660484313965
11-11-1986,37.0,0.0,500,38.5,37.0,26.742441177368164
12-11-1986,36.5,0.0,1700,37.5,36.5,26.38103675842285
13-11-1986,34.5,0.0,500,36.0,34.5,24.935514450073242
14-11-1986,34.5,0.0,200,36.0,34.5,24.935514450073242
17-11-1986,34.0,0.0,1000,35.5,34.0,24.57413673400879
18-11-1986,34.0,34.0,0,34.0,34.0,24.57413673400879
19-11-1986,33.5,0.0,200,34.5,33.5,24.212751388549805
20-11-1986,33.0,0.0,3100,34.5,33.0,23.85135841369629
21-11-1986,33.0,33.0,0,33.0,33.0,23.85135841369629
24-11-1986,33.0,0.0,400,34.5,33.0,23.85135841369629
25-11-1986,33.0,33.0,0,33.0,33.0,23.85135841369629
26-11-1986,33.0,33.0,0,33.0,33.0,23.85135841369629
28-11-1986,33.0,33.0,0,33.0,33.0,23.85135841369629
01-12-1986,32.0,0.0,700,33.5,32.0,23.12859535217285
02-12-1986,31.0,0.0,2500,33.5,31.0,22.40581703186035
03-12-1986,29.5,0.0,3700,31.5,29.5,21.321664810180664
04-12-1986,27.5,0.0,1200,28.5,27.5,19.87613868713379
05-12-1986,27.5,0.0,1400,29.5,29.5,21.321664810180664
08-12-1986,27.5,0.0,72200,29.0,29.0,20.960290908813477
09-12-1986,27.0,0.0,400,29.25,27.0,19.514751434326172
10-12-1986,27.0,0.0,3400,29.0,29.0,20.960290908813477
11-12-1986,27.5,0.0,1300,29.0,27.5,19.87613868713379
12-12-1986,29.5,0.0,1200,29.75,29.5,21.321664810180664
15-12-1986,28.0,0.0,2500,29.5,29.5,21.321664810180664
16-12-1986,28.0,0.0,2700,29.5,29.5,21.321664810180664
17-12-1986,28.0,0.0,5900,29.5,28.0,20.237512588500977
18-12-1986,27.5,0.0,3200,29.5,28.5,20.59890365600586
19-12-1986,27.0,0.0,7700,29.0,28.0,20.237512588500977
22-12-1986,26.5,0.0,2600,27.5,27.5,19.87613868713379
23-12-1986,26.75,0.0,14600,28.25,26.75,19.334068298339844
24-12-1986,28.0,0.0,1200,28.5,28.5,20.59890365600586
26-12-1986,28.5,28.5,0,28.5,28.5,20.64236068725586
29-12-1986,29.0,0.0,300,29.0,29.0,21.004520416259766
30-12-1986,27.625,0.0,2000,29.0,28.0,20.280216217041016
31-12-1986,28.0,0.0,3100,29.5,29.5,21.36665153503418
02-01-1987,28.0,0.0,5700,30.0,30.0,21.728801727294922
05-01-1987,30.0,0.0,100,30.0,30.0,21.728801727294922
06-01-1987,30.0,30.0,0,30.0,30.0,21.728801727294922
07-01-1987,29.0,0.0,3500,31.5,31.5,22.81524085998535
08-01-1987,32.0,0.0,2600,32.0,32.0,23.177383422851562
09-01-1987,30.5,0.0,1100,32.5,30.5,22.090946197509766
12-01-1987,30.5,0.0,1200,32.5,32.5,23.539533615112305
13-01-1987,32.5,0.0,100,32.5,32.5,23.539533615112305
14-01-1987,30.5,0.0,1100,32.5,32.5,23.539533615112305
15-01-1987,31.0,0.0,200,32.5,31.0,22.45308494567871
16-01-1987,31.5,0.0,600,33.0,33.0,23.901676177978516
19-01-1987,33.0,33.0,0,33.0,33.0,23.901676177978516
20-01-1987,32.25,0.0,1600,33.5,32.25,23.358461380004883
21-01-1987,33.5,0.0,200,33.5,33.5,24.263835906982422
22-01-1987,33.5,0.0,500,33.5,33.5,24.263835906982422
23-01-1987,32.5,0.0,1200,34.0,32.5,23.539533615112305
26-01-1987,34.0,0.0,200,34.0,34.0,24.6259822845459
27-01-1987,32.5,0.0,500,33.0,33.0,23.901676177978516
28-01-1987,34.0,0.0,100,34.0,34.0,24.6259822845459
29-01-1987,34.0,34.0,0,34.0,34.0,24.6259822845459
30-01-1987,34.0,34.0,0,34.0,34.0,24.6259822845459
02-02-1987,32.5,0.0,1400,34.0,32.5,23.539533615112305
03-02-1987,33.25,0.0,1500,33.25,33.25,24.082759857177734
04-02-1987,32.5,0.0,400,32.5,32.5,23.539533615112305
05-02-1987,31.5,0.0,2500,32.0,31.5,22.81524085998535
06-02-1987,31.0,0.0,100,31.0,31.0,22.45308494567871
09-02-1987,31.0,31.0,0,31.0,31.0,22.45308494567871
10-02-1987,32.0,0.0,500,32.0,32.0,23.177383422851562
11-02-1987,31.0,0.0,300,31.0,31.0,22.45308494567871
12-02-1987,31.0,31.0,0,31.0,31.0,22.45308494567871
13-02-1987,32.0,0.0,100,32.0,32.0,23.177383422851562
17-02-1987,32.0,0.0,300,32.0,32.0,23.177383422851562
18-02-1987,30.5,0.0,3200,31.5,30.5,22.090946197509766
19-02-1987,31.0,0.0,7200,32.0,31.0,22.45308494567871
20-02-1987,31.0,31.0,0,31.0,31.0,22.45308494567871
23-02-1987,31.0,31.0,0,31.0,31.0,22.45308494567871
24-02-1987,32.0,0.0,100,32.0,32.0,23.177383422851562
25-02-1987,31.0,0.0,4700,32.5,32.5,23.539533615112305
26-02-1987,32.5,32.5,0,32.5,32.5,23.539533615112305
27-02-1987,32.5,0.0,300,32.5,32.5,23.539533615112305
02-03-1987,33.0,0.0,300,33.0,33.0,23.901676177978516
03-03-1987,31.0,0.0,900,33.0,33.0,23.901676177978516
04-03-1987,33.0,33.0,0,33.0,33.0,23.901676177978516
05-03-1987,33.0,33.0,0,33.0,33.0,23.901676177978516
06-03-1987,32.0,0.0,1100,33.0,33.0,23.901676177978516
09-03-1987,31.0,0.0,200,33.0,33.0,23.901676177978516
10-03-1987,33.0,33.0,0,33.0,33.0,23.901676177978516
11-03-1987,31.5,0.0,200,31.5,31.5,22.81524085998535
12-03-1987,31.0,0.0,800,33.0,33.0,23.901676177978516
13-03-1987,32.0,0.0,600,33.0,32.0,23.177383422851562
16-03-1987,32.0,0.0,100,32.0,32.0,23.177383422851562
17-03-1987,32.0,0.0,300,33.5,32.0,23.22092628479004
18-03-1987,32.0,0.0,200,32.0,32.0,23.22092628479004
19-03-1987,32.0,32.0,0,32.0,32.0,23.22092628479004
20-03-1987,33.0,0.0,900,33.5,33.0,23.94658660888672
23-03-1987,33.0,0.0,1400,34.5,34.5,25.035064697265625
24-03-1987,33.0,0.0,100,33.0,33.0,23.94658660888672
25-03-1987,33.0,0.0,300,34.5,33.0,23.94658660888672
26-03-1987,33.0,33.0,0,33.0,33.0,23.94658660888672
27-03-1987,34.0,0.0,700,35.0,35.0,25.39788246154785
30-03-1987,33.0,0.0,800,34.0,34.0,24.6722412109375
31-03-1987,35.0,0.0,1200,35.0,35.0,25.39788246154785
01-04-1987,35.0,0.0,200,35.0,35.0,25.39788246154785
02-04-1987,34.5,0.0,100,34.5,34.5,25.035064697265625
03-04-1987,35.0,0.0,400,35.0,35.0,25.39788246154785
06-04-1987,34.0,0.0,2900,36.0,34.0,24.6722412109375
07-04-1987,34.0,0.0,2200,36.0,36.0,26.12354278564453
08-04-1987,35.0,0.0,700,36.5,35.0,25.39788246154785
09-04-1987,35.0,35.0,0,35.0,35.0,25.39788246154785
10-04-1987,35.0,0.0,100,35.0,35.0,25.39788246154785
13-04-1987,37.0,0.0,200,37.0,37.0,26.849191665649414
14-04-1987,35.0,0.0,1700,37.0,35.0,25.39788246154785
15-04-1987,35.5,0.0,500,35.5,35.5,25.760723114013672
16-04-1987,37.0,0.0,600,37.0,37.0,26.849191665649414
20-04-1987,37.0,0.0,200,37.0,37.0,26.849191665649414
21-04-1987,37.0,0.0,100,37.0,37.0,26.849191665649414
22-04-1987,37.5,0.0,400,37.5,37.5,27.21202278137207
23-04-1987,37.5,37.5,0,37.5,37.5,27.21202278137207
24-04-1987,37.5,37.5,0,37.5,37.5,27.21202278137207
27-04-1987,35.5,0.0,500,37.0,37.0,26.849191665649414
28-04-1987,35.5,0.0,1100,35.75,35.5,25.760723114013672
29-04-1987,35.5,35.5,0,35.5,35.5,25.760723114013672
30-04-1987,35.5,0.0,200,37.0,37.0,26.849191665649414
01-05-1987,37.0,0.0,200,37.0,37.0,26.849191665649414
04-05-1987,37.0,37.0,0,37.0,37.0,26.849191665649414
05-05-1987,37.0,0.0,100,37.0,37.0,26.849191665649414
06-05-1987,36.5,0.0,900,38.0,38.0,27.574853897094727
07-05-1987,37.5,0.0,700,38.0,38.0,27.574853897094727
08-05-1987,37.0,0.0,700,38.0,38.0,27.574853897094727
11-05-1987,38.0,38.0,0,38.0,38.0,27.574853897094727
12-05-1987,36.5,0.0,400,36.5,36.5,26.486356735229492
13-05-1987,36.5,0.0,100,36.5,36.5,26.486356735229492
14-05-1987,36.5,36.5,0,36.5,36.5,26.486356735229492
15-05-1987,37.0,0.0,800,38.0,37.0,26.849191665649414
18-05-1987,37.0,37.0,0,37.0,37.0,26.849191665649414
19-05-1987,37.0,37.0,0,37.0,37.0,26.849191665649414
20-05-1987,36.0,0.0,3200,37.5,37.5,27.21202278137207
21-05-1987,37.5,0.0,500,37.5,37.5,27.21202278137207
22-05-1987,37.5,0.0,300,37.5,37.5,27.21202278137207
26-05-1987,37.5,37.5,0,37.5,37.5,27.21202278137207
27-05-1987,36.0,0.0,100,36.0,36.0,26.12354278564453
