Date,Low,Open,Volume,High,Close,Adjusted Close
22-02-2012,10.0,10.0,0,10.0,10.0,10.0
23-02-2012,5.5,15.0,690,17.5,9.0,9.0
24-02-2012,9.0,9.0,632,34.5,15.5,15.5
27-02-2012,16.0,16.0,128,31.0,31.0,31.0
28-02-2012,4.5,31.0,12970,31.0,6.5,6.5
29-02-2012,2.0,8.0,33592,8.0,2.5,2.5
01-03-2012,1.5,3.0,12134,3.0,2.0,2.0
02-03-2012,1.5,2.5,9902,3.5,2.5,2.5
05-03-2012,2.5,2.5,10724,3.0,2.5,2.5
06-03-2012,2.0,3.0,5064,3.0,2.0,2.0
07-03-2012,2.0,2.5,2044,2.5,2.0,2.0
08-03-2012,2.5,2.5,3246,2.5,2.5,2.5
09-03-2012,2.5,2.5,32114,3.0,2.5,2.5
12-03-2012,2.5,2.5,6450,3.0,2.5,2.5
13-03-2012,1.5,1.5,8286,2.5,2.0,2.0
14-03-2012,2.0,2.0,7002,3.0,3.0,3.0
15-03-2012,2.5,2.5,1684,3.0,3.0,3.0
16-03-2012,2.5,2.5,3896,3.0,3.0,3.0
19-03-2012,2.5,3.0,948,3.0,3.0,3.0
20-03-2012,2.5,3.0,832,3.0,3.0,3.0
21-03-2012,2.5,3.0,290,3.0,2.5,2.5
22-03-2012,2.5,2.5,134,3.0,3.0,3.0
23-03-2012,2.5,3.0,128,3.0,3.0,3.0
26-03-2012,2.5,3.0,4278,3.0,2.5,2.5
27-03-2012,2.5,2.5,344,2.5,2.5,2.5
28-03-2012,2.5,2.5,82,2.5,2.5,2.5
29-03-2012,2.5,2.5,420,2.5,2.5,2.5
30-03-2012,2.5,2.5,684,2.5,2.5,2.5
02-04-2012,2.5,2.5,1502,2.5,2.5,2.5
03-04-2012,2.5,2.5,5340,2.5,2.5,2.5
04-04-2012,2.5,2.5,402,2.5,2.5,2.5
05-04-2012,3.0,3.0,4,3.0,3.0,3.0
09-04-2012,3.0,3.0,140,3.0,3.0,3.0
10-04-2012,3.0,3.0,1442,3.0,3.0,3.0
11-04-2012,3.5,3.5,360,3.5,3.5,3.5
12-04-2012,3.5,3.5,1720,4.5,4.0,4.0
13-04-2012,4.0,4.0,1020,4.0,4.0,4.0
16-04-2012,4.0,4.0,988,4.0,4.0,4.0
17-04-2012,3.0,4.5,1718,4.5,4.0,4.0
18-04-2012,3.5,3.5,406,4.5,4.5,4.5
19-04-2012,4.5,4.5,140,4.5,4.5,4.5
20-04-2012,4.0,4.5,684,4.5,4.0,4.0
23-04-2012,3.5,3.5,836,4.0,3.5,3.5
24-04-2012,3.5,4.0,3936,4.0,3.5,3.5
25-04-2012,3.0,3.5,1220,4.0,3.5,3.5
26-04-2012,3.5,3.5,554,3.5,3.5,3.5
27-04-2012,3.5,3.5,1020,3.5,3.5,3.5
30-04-2012,3.5,3.5,652,4.0,3.5,3.5
01-05-2012,3.0,3.5,1240,3.5,3.5,3.5
