Date,Low,Open,Volume,High,Close,Adjusted Close
15-02-1996,12.0,13.0,1507100,13.25,12.75,12.75
16-02-1996,12.25,12.5,421000,12.75,12.75,12.75
20-02-1996,12.5,12.5,129200,12.75,12.5,12.5
21-02-1996,12.5,12.5,94000,12.875,12.5,12.5
22-02-1996,12.5,12.5,158200,13.25,12.875,12.875
23-02-1996,12.75,12.75,174700,15.375,13.625,13.625
26-02-1996,12.5,13.625,395300,13.625,13.25,13.25
27-02-1996,12.625,12.625,87900,13.25,13.0,13.0
28-02-1996,12.625,13.25,68400,13.5,13.5,13.5
29-02-1996,13.0,13.5,224600,13.5,13.0,13.0
01-03-1996,13.0,13.5,114200,13.5,13.5,13.5
04-03-1996,13.0,13.0,102500,13.5,13.375,13.375
05-03-1996,13.25,13.5,67400,13.5,13.25,13.25
06-03-1996,13.1875,13.25,56000,13.5,13.375,13.375
07-03-1996,13.25,13.25,31700,13.5,13.5,13.5
08-03-1996,12.75,12.75,114000,14.125,13.25,13.25
11-03-1996,13.25,13.25,12200,14.0,13.25,13.25
12-03-1996,13.25,13.25,18200,14.0,14.0,14.0
13-03-1996,13.625,14.0,69400,14.25,14.25,14.25
14-03-1996,14.5,14.75,115000,15.5,15.0,15.0
15-03-1996,15.0,15.75,79900,15.75,15.5,15.5
18-03-1996,15.0,15.0,73300,16.0,16.0,16.0
19-03-1996,15.25,15.25,27200,16.0,15.5,15.5
20-03-1996,15.25,15.25,61300,16.5,15.75,15.75
21-03-1996,16.0,16.5,56900,17.0,16.75,16.75
22-03-1996,16.25,17.0,10000,17.0,16.5,16.5
25-03-1996,16.5,16.5,26700,17.5,17.0,17.0
26-03-1996,17.0,17.5,77700,17.5,17.0,17.0
27-03-1996,16.5,17.5,42500,17.5,16.5,16.5
28-03-1996,16.0,16.0,54700,17.0,16.0,16.0
29-03-1996,15.5,16.0,47800,16.25,16.25,16.25
01-04-1996,15.5,16.25,72800,16.25,16.25,16.25
02-04-1996,15.5,15.5,26700,16.25,16.0,16.0
03-04-1996,15.5,15.5,25200,16.25,15.5,15.5
04-04-1996,15.5,15.5,39600,16.25,16.0,16.0
08-04-1996,15.0,15.5,19100,16.0,15.0,15.0
09-04-1996,15.0,16.0,1400,16.0,15.0,15.0
10-04-1996,15.0,15.0,125400,16.0,15.375,15.375
11-04-1996,15.0,15.375,30100,16.0,15.375,15.375
12-04-1996,15.0,15.5,253100,16.0,15.375,15.375
15-04-1996,14.75,15.5,94100,15.5,15.375,15.375
16-04-1996,15.5,15.5,12300,15.75,15.5,15.5
17-04-1996,15.0,15.5,40100,17.75,17.75,17.75
18-04-1996,17.0,17.75,43200,17.75,17.25,17.25
19-04-1996,17.0,17.0,27900,17.75,17.75,17.75
22-04-1996,17.0,17.75,16500,18.0,17.5,17.5
23-04-1996,17.5,18.0,32800,18.5,17.75,17.75
24-04-1996,17.5,17.5,13400,18.25,18.25,18.25
25-04-1996,17.5,18.25,6400,18.25,18.25,18.25
26-04-1996,17.5,18.25,4300,18.25,18.0,18.0
29-04-1996,17.5,17.875,17200,19.0,19.0,19.0
30-04-1996,18.375,19.0,37700,19.0,19.0,19.0
01-05-1996,18.5,19.5,7100,19.5,19.0,19.0
02-05-1996,18.5,19.5,18200,19.5,19.0,19.0
03-05-1996,18.5,18.5,5900,19.5,19.5,19.5
06-05-1996,18.5,18.5,20400,19.5,19.5,19.5
07-05-1996,18.5,18.5,4800,19.5,18.5,18.5
08-05-1996,17.75,18.5,25800,19.5,18.75,18.75
09-05-1996,17.75,17.75,7300,18.75,18.75,18.75
10-05-1996,17.75,18.75,32200,18.75,18.0,18.0
13-05-1996,18.0,18.0,2700,18.75,18.75,18.75
14-05-1996,17.75,18.75,28400,19.0,19.0,19.0
15-05-1996,18.5,18.5,26600,19.5,19.5,19.5
16-05-1996,18.5,19.5,9400,19.5,19.5,19.5
17-05-1996,19.0,19.0,3000,19.5,19.5,19.5
20-05-1996,19.0,19.0,2700,20.0,19.0,19.0
21-05-1996,19.0,19.0,24800,20.0,20.0,20.0
22-05-1996,19.0,20.0,11100,20.75,19.75,19.75
23-05-1996,19.75,20.75,8600,20.75,19.75,19.75
24-05-1996,19.75,19.75,17500,20.75,19.75,19.75
28-05-1996,19.75,20.75,34700,20.75,20.375,20.375
29-05-1996,20.75,20.75,6200,20.75,20.75,20.75
30-05-1996,19.75,19.75,16100,20.75,20.25,20.25
31-05-1996,19.75,20.75,5900,20.75,20.75,20.75
03-06-1996,19.75,20.75,9400,20.75,20.0,20.0
04-06-1996,19.75,20.75,16800,20.75,20.0,20.0
05-06-1996,19.75,20.75,900,20.75,20.75,20.75
06-06-1996,19.75,20.75,11900,20.75,19.75,19.75
07-06-1996,19.75,19.75,13500,20.75,20.75,20.75
10-06-1996,19.75,20.75,226500,20.75,19.75,19.75
11-06-1996,19.75,19.75,6200,20.75,20.5,20.5
12-06-1996,19.75,19.75,1200,20.75,20.75,20.75
13-06-1996,19.75,19.875,3300,20.75,20.5,20.5
14-06-1996,19.75,20.375,11800,20.75,19.75,19.75
17-06-1996,19.75,19.75,7600,20.75,19.75,19.75
18-06-1996,19.75,19.75,5400,19.875,19.75,19.75
19-06-1996,19.75,19.75,12900,19.75,19.75,19.75
20-06-1996,19.25,19.75,13600,20.75,19.25,19.25
21-06-1996,18.5,19.25,35700,19.5,18.5,18.5
24-06-1996,18.0,18.5,16200,19.5,18.0,18.0
25-06-1996,16.25,17.25,35100,17.75,16.25,16.25
26-06-1996,16.25,16.25,38600,17.25,16.375,16.375
27-06-1996,16.25,16.25,73100,17.5,17.25,17.25
28-06-1996,17.625,18.0,14900,19.0,19.0,19.0
01-07-1996,20.0,20.0,36000,20.75,20.25,20.25
02-07-1996,20.0,20.0,12600,20.75,20.0,20.0
03-07-1996,19.25,20.0,7800,20.375,19.25,19.25
05-07-1996,19.25,19.25,6500,19.25,19.25,19.25
08-07-1996,18.25,19.25,17900,19.5,18.25,18.25
09-07-1996,17.75,18.5,3100,18.5,17.75,17.75
10-07-1996,17.75,17.75,300,17.75,17.75,17.75
11-07-1996,16.0,17.75,24400,17.75,16.5,16.5
12-07-1996,16.25,16.5,15600,16.5,16.25,16.25
15-07-1996,16.25,17.0,7200,17.75,17.75,17.75
16-07-1996,15.0,17.5,116100,17.5,15.0,15.0
17-07-1996,15.25,15.5,4700,15.625,15.375,15.375
18-07-1996,15.25,15.25,5100,16.5,15.625,15.625
19-07-1996,15.625,15.625,0,15.625,15.625,15.625
22-07-1996,15.625,15.625,0,15.625,15.625,15.625
23-07-1996,14.875,15.25,102600,15.25,15.0,15.0
24-07-1996,15.0,15.0,12500,16.0,15.0,15.0
25-07-1996,15.0,15.5,1000,15.5,15.0,15.0
26-07-1996,15.0,15.0,2700,16.0,16.0,16.0
29-07-1996,15.375,15.5,4200,16.0,16.0,16.0
30-07-1996,16.0,16.0,300,16.0,16.0,16.0
31-07-1996,15.0,15.0,1500,15.0,15.0,15.0
01-08-1996,15.5,16.0,800,16.0,15.5,15.5
02-08-1996,15.5,15.5,0,15.5,15.5,15.5
05-08-1996,15.5,15.5,0,15.5,15.5,15.5
06-08-1996,15.0,15.0,1500,15.0,15.0,15.0
07-08-1996,15.0,16.0,1900,16.0,16.0,16.0
08-08-1996,15.0,16.0,4800,16.0,15.75,15.75
09-08-1996,15.75,15.75,0,15.75,15.75,15.75
12-08-1996,15.75,15.75,0,15.75,15.75,15.75
13-08-1996,15.0,15.0,500,15.0,15.0,15.0
14-08-1996,15.125,15.125,57200,15.375,15.125,15.125
15-08-1996,15.0,15.25,36600,16.0,15.0,15.0
16-08-1996,15.0,15.0,18900,16.0,15.0,15.0
19-08-1996,14.75,15.25,30900,15.25,14.75,14.75
20-08-1996,14.75,14.75,3300,15.0,15.0,15.0
21-08-1996,14.5,14.75,56900,15.5,15.5,15.5
22-08-1996,15.5,15.5,0,15.5,15.5,15.5
23-08-1996,14.0,14.5,7400,15.0,14.625,14.625
26-08-1996,14.0,15.0,6100,15.0,14.0,14.0
27-08-1996,14.0,14.5,36400,14.625,14.0,14.0
28-08-1996,14.0,14.75,1500,14.75,14.0,14.0
29-08-1996,14.0,14.0,160400,14.25,14.0,14.0
30-08-1996,14.0,15.0,5000,15.0,14.0,14.0
03-09-1996,14.0,14.0,1400,14.0,14.0,14.0
04-09-1996,13.75,13.75,4700,14.5,13.75,13.75
05-09-1996,9.875,12.5,324800,12.5,10.0,10.0
06-09-1996,8.5,10.0,86600,10.0,8.75,8.75
09-09-1996,8.625,9.5625,712200,9.625,9.0,9.0
10-09-1996,8.625,9.625,85600,9.625,8.625,8.625
11-09-1996,9.5,9.625,4900,9.625,9.625,9.625
12-09-1996,8.625,8.625,19900,9.625,8.875,8.875
13-09-1996,8.625,8.625,3900,9.625,9.625,9.625
16-09-1996,8.625,8.625,11600,9.0,8.75,8.75
17-09-1996,8.625,9.0,56500,9.0,8.875,8.875
18-09-1996,8.375,8.875,7700,8.875,8.75,8.75
19-09-1996,8.375,8.75,85800,8.75,8.75,8.75
20-09-1996,8.375,8.75,7400,8.75,8.75,8.75
23-09-1996,8.5,8.75,1500,8.75,8.5,8.5
24-09-1996,8.625,8.625,6900,8.625,8.625,8.625
25-09-1996,8.5,8.625,149100,9.125,9.125,9.125
26-09-1996,8.5,8.75,97500,9.125,9.125,9.125
27-09-1996,8.5,8.5,102600,9.75,9.75,9.75
30-09-1996,9.0,9.75,65000,9.75,9.75,9.75
01-10-1996,9.0,9.0,14200,9.75,9.75,9.75
02-10-1996,9.0,9.0,11900,9.75,9.75,9.75
03-10-1996,9.375,9.75,40700,9.75,9.375,9.375
04-10-1996,9.375,9.75,6600,9.75,9.75,9.75
07-10-1996,9.375,9.5,11800,9.75,9.375,9.375
08-10-1996,9.125,9.75,56000,9.75,9.5,9.5
09-10-1996,9.25,9.75,203400,10.5,10.25,10.25
10-10-1996,9.625,10.25,10300,10.25,10.0,10.0
11-10-1996,9.5,9.5,9200,10.0,9.5,9.5
14-10-1996,9.5,9.5,200,9.5,9.5,9.5
15-10-1996,9.25,9.5,13700,10.25,9.5,9.5
16-10-1996,8.75,9.875,23500,9.875,8.75,8.75
17-10-1996,8.5,8.75,10300,9.25,8.875,8.875
18-10-1996,8.5,8.5,5200,8.5,8.5,8.5
21-10-1996,8.5,9.0,4200,9.0,8.5,8.5
