Date,Low,Open,Volume,High,Close,Adjusted Close
24-01-2006,8.47665786743164,8.599509239196777,533089,8.746929168701172,8.722358703613281,8.633051872253418
25-01-2006,8.607699394226074,8.804259300231934,62393,8.804259300231934,8.722358703613281,8.633051872253418
26-01-2006,8.681408882141113,8.722358703613281,50061,8.779688835144043,8.722358703613281,8.633051872253418
27-01-2006,8.501229286193848,8.632268905639648,44078,8.722358703613281,8.640459060668945,8.551990509033203
30-01-2006,8.599509239196777,8.640459060668945,63736,8.681408882141113,8.599509239196777,8.511460304260254
31-01-2006,8.599509239196777,8.640459060668945,31136,8.673218727111816,8.640459060668945,8.551990509033203
01-02-2006,8.599509239196777,8.640459060668945,31624,8.640459060668945,8.599509239196777,8.511460304260254
02-02-2006,8.55855941772461,8.615888595581055,74603,8.615888595581055,8.56674861907959,8.479034423828125
03-02-2006,8.550369262695312,8.55855941772461,52137,8.632268905639648,8.624078750610352,8.535778045654297
06-02-2006,8.607699394226074,8.640459060668945,35043,8.640459060668945,8.640459060668945,8.551990509033203
07-02-2006,8.533988952636719,8.615888595581055,5495,8.615888595581055,8.56674861907959,8.479034423828125
08-02-2006,8.607699394226074,8.624078750610352,1832,8.624078750610352,8.607699394226074,8.519566535949707
09-02-2006,8.599509239196777,8.599509239196777,7937,8.656839370727539,8.656839370727539,8.56820297241211
10-02-2006,8.599509239196777,8.599509239196777,6471,8.624078750610352,8.615888595581055,8.527671813964844
13-02-2006,8.599509239196777,8.599509239196777,16117,8.656839370727539,8.656839370727539,8.56820297241211
14-02-2006,8.509419441223145,8.656839370727539,8059,8.656839370727539,8.599509239196777,8.511460304260254
15-02-2006,8.640459060668945,8.640459060668945,4762,8.681408882141113,8.681408882141113,8.592520713806152
16-02-2006,8.648649215698242,8.648649215698242,5128,8.681408882141113,8.656839370727539,8.56820297241211
17-02-2006,8.599509239196777,8.599509239196777,19658,8.681408882141113,8.599509239196777,8.511460304260254
21-02-2006,8.599509239196777,8.640459060668945,4762,8.681408882141113,8.681408882141113,8.592520713806152
22-02-2006,8.599509239196777,8.599509239196777,1832,8.640459060668945,8.640459060668945,8.551990509033203
23-02-2006,8.681408882141113,8.681408882141113,30159,8.714168548583984,8.681408882141113,8.592520713806152
24-02-2006,8.681408882141113,8.681408882141113,8425,8.681408882141113,8.681408882141113,8.592520713806152
27-02-2006,8.648649215698242,8.681408882141113,10134,8.76330852508545,8.648649215698242,8.560096740722656
28-02-2006,8.66502857208252,8.681408882141113,37485,8.76330852508545,8.66502857208252,8.576308250427246
01-03-2006,8.648649215698242,8.648649215698242,3175,8.66502857208252,8.648649215698242,8.560096740722656
02-03-2006,8.681408882141113,8.76330852508545,3785,8.76330852508545,8.681408882141113,8.592520713806152
