Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1975,7.5,0.0,1300,7.5,7.5,2.427299737930298
18-11-1975,7.5,0.0,200,7.5,7.5,2.427299737930298
19-11-1975,7.5,0.0,1100,7.5,7.5,2.427299737930298
20-11-1975,7.5,0.0,900,7.5,7.5,2.427299737930298
21-11-1975,7.5,0.0,400,7.5,7.5,2.427299737930298
24-11-1975,7.5,0.0,2700,7.5,7.5,2.427299737930298
25-11-1975,7.5,0.0,5100,7.5,7.5,2.427299737930298
26-11-1975,7.5,0.0,900,7.5,7.5,2.427299737930298
28-11-1975,7.5,0.0,800,7.5,7.5,2.427299737930298
01-12-1975,7.375,0.0,15400,7.375,7.375,2.386845588684082
02-12-1975,7.375,0.0,8200,7.375,7.375,2.386845588684082
03-12-1975,7.375,0.0,6300,7.375,7.375,2.386845588684082
04-12-1975,7.375,0.0,400,7.375,7.375,2.386845588684082
05-12-1975,7.375,0.0,3100,7.375,7.375,2.386845588684082
08-12-1975,7.375,0.0,2600,7.375,7.375,2.386845588684082
09-12-1975,7.375,0.0,11200,7.375,7.375,2.386845588684082
10-12-1975,7.375,0.0,1800,7.375,7.375,2.386845588684082
11-12-1975,7.375,0.0,700,7.375,7.375,2.386845588684082
12-12-1975,7.375,0.0,1100,7.375,7.375,2.386845588684082
15-12-1975,7.375,0.0,5000,7.375,7.375,2.386845588684082
16-12-1975,7.5,0.0,3100,7.5,7.5,2.427299737930298
17-12-1975,7.375,0.0,1200,7.375,7.375,2.386845588684082
18-12-1975,7.375,0.0,4600,7.375,7.375,2.386845588684082
19-12-1975,7.25,0.0,1300,7.25,7.25,2.34639048576355
22-12-1975,7.25,0.0,1200,7.25,7.25,2.34639048576355
23-12-1975,7.25,0.0,9100,7.25,7.25,2.34639048576355
24-12-1975,7.25,7.25,0,7.25,7.25,2.34639048576355
26-12-1975,7.25,0.0,1900,7.25,7.25,2.34639048576355
29-12-1975,7.25,0.0,8700,7.25,7.25,2.34639048576355
30-12-1975,7.125,0.0,200,7.125,7.125,2.3059351444244385
31-12-1975,7.125,0.0,3400,7.125,7.125,2.3059351444244385
02-01-1976,7.125,0.0,700,7.125,7.125,2.3059351444244385
05-01-1976,7.125,0.0,600,7.125,7.125,2.3059351444244385
06-01-1976,7.125,7.125,0,7.125,7.125,2.3059351444244385
07-01-1976,7.25,0.0,2000,7.25,7.25,2.34639048576355
08-01-1976,7.25,0.0,600,7.25,7.25,2.34639048576355
09-01-1976,7.25,0.0,100,7.25,7.25,2.34639048576355
12-01-1976,7.375,0.0,7000,7.375,7.375,2.386845588684082
13-01-1976,7.5,0.0,1400,7.5,7.5,2.427299737930298
14-01-1976,7.375,0.0,2000,7.375,7.375,2.386845588684082
15-01-1976,7.375,0.0,800,7.375,7.375,2.386845588684082
16-01-1976,7.375,0.0,2100,7.375,7.375,2.386845588684082
19-01-1976,7.375,0.0,900,7.375,7.375,2.386845588684082
20-01-1976,7.375,0.0,2700,7.375,7.375,2.386845588684082
21-01-1976,7.5,0.0,10300,7.5,7.5,2.427299737930298
22-01-1976,7.5,0.0,6700,7.5,7.5,2.427299737930298
23-01-1976,7.5,0.0,2700,7.5,7.5,2.427299737930298
26-01-1976,7.5,0.0,8000,7.5,7.5,2.427299737930298
27-01-1976,7.5,0.0,4100,7.5,7.5,2.427299737930298
28-01-1976,7.625,0.0,900,7.625,7.625,2.4677555561065674
29-01-1976,8.25,0.0,8800,8.625,8.25,2.670029401779175
30-01-1976,8.25,0.0,3900,8.625,8.25,2.670029401779175
02-02-1976,9.125,0.0,9100,9.5,9.125,2.953214645385742
03-02-1976,9.375,0.0,19900,9.75,9.375,3.034126043319702
04-02-1976,9.375,0.0,10000,9.75,9.375,3.034126043319702
05-02-1976,9.5,0.0,16300,9.875,9.5,3.074580430984497
06-02-1976,9.25,0.0,6300,9.625,9.25,2.993670701980591
09-02-1976,9.125,0.0,2900,9.5,9.125,2.953214645385742
10-02-1976,9.0,0.0,1700,9.375,9.0,2.9127602577209473
11-02-1976,8.875,0.0,3200,9.25,8.875,2.872305154800415
12-02-1976,8.875,0.0,3000,9.25,8.875,2.872305154800415
13-02-1976,9.0,0.0,8400,9.375,9.0,2.9127602577209473
17-02-1976,9.25,0.0,7200,9.625,9.25,2.993670701980591
18-02-1976,9.25,0.0,1100,9.625,9.25,2.993670701980591
19-02-1976,9.625,0.0,8300,10.0,9.625,3.1150355339050293
20-02-1976,10.625,0.0,15700,11.0,10.625,3.4386744499206543
23-02-1976,11.0,0.0,27600,11.375,11.0,3.5600409507751465
24-02-1976,11.625,0.0,23200,12.0,11.625,3.762317180633545
25-02-1976,11.875,0.0,22700,12.25,11.875,3.8432257175445557
26-02-1976,11.625,0.0,29200,12.0,11.625,3.762317180633545
27-02-1976,10.625,0.0,20900,11.0,10.625,3.4386744499206543
01-03-1976,11.25,0.0,11400,11.625,11.25,3.6409528255462646
02-03-1976,11.75,0.0,25900,12.125,11.75,3.8027703762054443
03-03-1976,11.625,0.0,12400,12.0,11.625,3.762317180633545
04-03-1976,11.625,0.0,14200,12.0,11.625,3.762317180633545
05-03-1976,11.625,0.0,4900,12.0,11.625,3.762317180633545
08-03-1976,11.625,0.0,4300,12.0,11.625,3.762317180633545
09-03-1976,11.75,0.0,4400,12.125,11.75,3.8027703762054443
10-03-1976,11.375,0.0,12800,11.75,11.375,3.681405544281006
11-03-1976,11.375,0.0,3400,11.75,11.375,3.681405544281006
12-03-1976,11.25,0.0,1600,11.625,11.25,3.6409528255462646
15-03-1976,10.75,0.0,4000,11.125,10.75,3.479130983352661
16-03-1976,11.375,0.0,7900,11.75,11.375,3.681405544281006
17-03-1976,11.375,0.0,10000,11.75,11.375,3.681405544281006
18-03-1976,11.25,0.0,12700,11.625,11.25,3.6409528255462646
19-03-1976,11.25,0.0,6700,11.625,11.25,3.6409528255462646
22-03-1976,11.125,0.0,5900,11.5,11.125,3.6004979610443115
23-03-1976,11.0,0.0,3500,11.375,11.0,3.5600409507751465
24-03-1976,11.0,0.0,4900,11.375,11.0,3.5600409507751465
25-03-1976,11.625,0.0,22600,12.0,11.625,3.762317180633545
26-03-1976,12.5,0.0,39800,12.875,12.5,4.045500755310059
29-03-1976,12.875,0.0,20600,13.25,12.875,4.166867256164551
30-03-1976,13.125,0.0,49700,13.5,13.125,4.247775554656982
31-03-1976,13.25,0.0,21000,13.625,13.25,4.288230895996094
01-04-1976,12.75,0.0,8100,13.125,12.75,4.126407623291016
02-04-1976,12.625,0.0,7800,13.0,12.625,4.0859551429748535
05-04-1976,12.625,0.0,1100,13.0,12.625,4.0859551429748535
06-04-1976,12.5,0.0,1900,12.875,12.5,4.045500755310059
07-04-1976,11.75,0.0,3100,12.125,11.75,3.8027703762054443
08-04-1976,11.625,0.0,3000,12.0,11.625,3.762317180633545
09-04-1976,11.25,0.0,8600,11.625,11.25,3.6409528255462646
12-04-1976,11.25,0.0,1200,11.625,11.25,3.6409528255462646
13-04-1976,10.5,0.0,5800,10.875,10.5,3.3982200622558594
14-04-1976,10.625,0.0,4200,11.0,10.625,3.4386744499206543
15-04-1976,10.375,0.0,2000,10.75,10.375,3.3577659130096436
19-04-1976,10.375,10.375,0,10.375,10.375,3.3577659130096436
20-04-1976,10.25,0.0,2700,10.625,10.25,3.3173110485076904
21-04-1976,10.125,0.0,1600,10.5,10.125,3.276855707168579
22-04-1976,10.125,0.0,100,10.5,10.125,3.276855707168579
23-04-1976,9.375,0.0,7600,9.875,9.375,3.034126043319702
26-04-1976,9.5,0.0,700,10.0,9.5,3.074580430984497
27-04-1976,9.5,0.0,200,10.0,9.5,3.074580430984497
28-04-1976,9.5,0.0,2000,10.0,9.5,3.074580430984497
29-04-1976,9.5,0.0,200,10.0,9.5,3.074580430984497
30-04-1976,9.5,0.0,800,10.0,9.5,3.074580430984497
03-05-1976,9.5,9.5,0,9.5,9.5,3.074580430984497
04-05-1976,9.375,0.0,1700,9.875,9.375,3.034126043319702
05-05-1976,8.875,0.0,4000,9.375,8.875,2.872305154800415
06-05-1976,8.75,0.0,1800,9.25,8.75,2.83185076713562
07-05-1976,8.75,0.0,1300,9.25,8.75,2.83185076713562
10-05-1976,8.75,0.0,3000,9.25,8.75,2.83185076713562
11-05-1976,8.5,0.0,2500,9.0,8.5,2.7509400844573975
12-05-1976,8.5,0.0,300,9.0,8.5,2.7509400844573975
13-05-1976,8.5,0.0,100,9.0,8.5,2.7509400844573975
14-05-1976,8.0,0.0,3500,8.5,8.0,2.589120388031006
17-05-1976,8.0,0.0,800,8.5,8.0,2.589120388031006
18-05-1976,8.375,0.0,2700,8.75,8.375,2.7104852199554443
