Date,Low,Open,Volume,High,Close,Adjusted Close
17-12-1993,225.0,225.0,84180,225.0,225.0,5.073721408843994
20-12-1993,225.0,225.0,1067,228.75,228.75,5.158285617828369
21-12-1993,225.0,226.875,2187,228.75,225.0,5.073721408843994
22-12-1993,225.0,225.0,1340,228.75,225.0,5.073721408843994
23-12-1993,225.0,226.875,127,228.75,228.75,5.158285617828369
27-12-1993,225.0,225.0,2233,225.0,225.0,5.073721408843994
28-12-1993,225.0,225.0,680,228.75,225.0,5.073721408843994
29-12-1993,225.0,225.0,1207,228.75,225.0,5.073721408843994
30-12-1993,225.0,225.0,1093,228.75,225.0,5.073721408843994
31-12-1993,225.0,225.0,1287,226.875,225.0,5.073721408843994
03-01-1994,221.25,225.0,1433,228.75,221.25,4.989160060882568
04-01-1994,217.5,221.25,2980,225.0,217.5,4.904600143432617
05-01-1994,217.5,217.5,3120,221.25,217.5,4.904600143432617
06-01-1994,217.5,217.5,1647,221.25,217.5,4.904600143432617
07-01-1994,217.5,217.5,413,221.25,219.375,4.94688081741333
10-01-1994,217.5,217.5,1807,221.25,217.5,4.904600143432617
11-01-1994,217.5,217.5,7,217.5,217.5,4.904600143432617
12-01-1994,217.5,225.0,1720,225.0,217.5,4.904600143432617
13-01-1994,217.5,225.0,273,225.0,225.0,5.073721408843994
14-01-1994,217.5,225.0,1240,225.0,217.5,4.904600143432617
17-01-1994,217.5,225.0,807,225.0,221.25,4.989160060882568
18-01-1994,217.5,217.5,1540,225.0,217.5,4.904600143432617
19-01-1994,210.0,217.5,2627,221.25,210.0,4.735476493835449
20-01-1994,210.0,211.875,973,217.5,213.75,4.820039749145508
21-01-1994,210.0,217.5,940,217.5,213.75,4.820039749145508
24-01-1994,210.0,210.0,593,213.75,210.0,4.735476493835449
25-01-1994,206.25,210.0,1453,213.75,213.75,4.820039749145508
26-01-1994,206.25,213.75,1747,215.625,213.75,4.820039749145508
27-01-1994,213.75,213.75,2440,225.0,217.5,4.904600143432617
28-01-1994,217.5,225.0,700,225.0,219.375,4.94688081741333
31-01-1994,217.5,228.75,2227,228.75,221.25,4.989160060882568
01-02-1994,217.5,225.0,420,225.0,217.5,4.904600143432617
02-02-1994,217.5,217.5,693,225.0,217.5,4.904600143432617
03-02-1994,217.5,225.0,613,225.0,217.5,4.904600143432617
04-02-1994,217.5,225.0,433,225.0,217.5,4.904600143432617
07-02-1994,217.5,217.5,447,225.0,221.25,4.989160060882568
08-02-1994,217.5,221.25,1267,225.0,217.5,4.904600143432617
09-02-1994,225.0,225.0,113,225.0,225.0,5.073721408843994
10-02-1994,217.5,217.5,73,217.5,217.5,4.904600143432617
