Date,Low,Open,Volume,High,Close,Adjusted Close
28-09-2000,13.5,16.75,9400400,18.5,14.40625,14.40625
29-09-2000,12.0,13.0625,3769500,15.125,15.0,15.0
02-10-2000,13.875,14.375,589500,15.25,14.625,14.625
03-10-2000,14.0,14.6875,713400,14.875,14.1875,14.1875
04-10-2000,13.4375,14.1875,751500,14.1875,13.6875,13.6875
05-10-2000,13.0,13.6875,386000,15.125,14.9375,14.9375
06-10-2000,13.625,14.0,443300,15.75,15.75,15.75
09-10-2000,13.5625,14.5,221000,14.9375,14.125,14.125
10-10-2000,13.0,13.5,190200,15.0,13.0,13.0
11-10-2000,12.0,13.0,341000,13.25,12.0,12.0
12-10-2000,11.875,12.75,223900,12.75,12.0,12.0
13-10-2000,11.875,12.0,152000,12.375,12.0625,12.0625
16-10-2000,12.0,12.0,224900,12.375,12.0,12.0
17-10-2000,10.0,12.0,654800,12.359375,12.0,12.0
18-10-2000,12.0,12.0,104500,13.0,12.625,12.625
19-10-2000,12.375,13.0,48300,13.125,13.0,13.0
20-10-2000,12.5,12.765625,60400,13.0,12.875,12.875
23-10-2000,12.5,12.765625,162300,13.0625,12.5,12.5
24-10-2000,12.5625,13.0,87400,13.125,12.8125,12.8125
25-10-2000,12.25,12.625,317100,13.125,12.75,12.75
26-10-2000,12.125,12.5,133000,13.0,13.0,13.0
27-10-2000,12.0,12.5,118300,12.625,12.0,12.0
30-10-2000,12.0,12.25,305100,16.3125,14.125,14.125
31-10-2000,13.5,13.5,318400,15.625,14.9375,14.9375
01-11-2000,13.125,15.375,78300,15.5,13.9375,13.9375
02-11-2000,13.5,13.8125,41400,14.375,13.625,13.625
03-11-2000,13.625,13.625,85200,15.6875,15.0625,15.0625
06-11-2000,14.375,15.0625,126100,16.0,15.8125,15.8125
07-11-2000,14.4375,15.75,107200,16.375,14.875,14.875
08-11-2000,13.0,14.375,15200,14.75,13.0,13.0
09-11-2000,12.375,13.5,39500,13.625,12.6875,12.6875
10-11-2000,11.9375,12.6875,174200,12.6875,12.1875,12.1875
13-11-2000,11.9375,12.875,51700,12.875,12.0625,12.0625
14-11-2000,11.75,12.0,65000,12.5,12.25,12.25
15-11-2000,11.75,12.0,21600,12.625,12.0,12.0
16-11-2000,10.0,11.875,76400,13.0,12.3125,12.3125
17-11-2000,12.375,12.5625,61000,14.375,14.0,14.0
20-11-2000,13.0,14.0,22200,14.25,13.5,13.5
21-11-2000,12.875,13.0,49800,14.5,14.5,14.5
22-11-2000,14.125,15.0,91900,16.0625,15.375,15.375
24-11-2000,15.25,15.390625,11300,15.5,15.4375,15.4375
27-11-2000,13.625,15.125,26500,15.484375,13.9375,13.9375
28-11-2000,13.125,13.625,54500,13.625,13.125,13.125
29-11-2000,12.875,13.125,58900,13.25,13.25,13.25
30-11-2000,12.625,12.625,37600,13.5,13.5,13.5
01-12-2000,12.625,12.625,19500,13.6875,13.25,13.25
04-12-2000,12.625,13.0,50700,13.625,13.625,13.625
05-12-2000,10.75,12.75,87400,14.6875,12.75,12.75
06-12-2000,11.125,11.875,20800,13.0,12.625,12.625
07-12-2000,11.875,13.0,21200,13.0,12.0,12.0
