Date,Low,Open,Volume,High,Close,Adjusted Close
12-02-1999,14.0,19.0,4515400,25.5,20.46875,20.46875
16-02-1999,21.125,25.625,1998900,25.625,23.125,23.125
17-02-1999,20.5,23.375,586000,23.375,21.0,21.0
18-02-1999,19.0,21.25,514800,21.5,19.875,19.875
19-02-1999,19.375,19.875,183100,20.5,19.6875,19.6875
22-02-1999,19.5,20.0,222600,22.0,20.75,20.75
23-02-1999,20.5625,21.375,196900,22.0,21.625,21.625
24-02-1999,21.625,22.125,239900,23.125,21.625,21.625
25-02-1999,19.75,21.625,191900,21.75,21.0,21.0
26-02-1999,20.625,22.0,239800,23.0,21.0,21.0
01-03-1999,19.875,21.3125,94100,21.625,20.75,20.75
02-03-1999,21.0,21.0,361300,23.0,21.375,21.375
03-03-1999,20.875,21.625,136300,22.625,22.0,22.0
04-03-1999,21.875,22.125,277400,24.0,22.8125,22.8125
05-03-1999,23.0,23.125,332600,24.5,23.4375,23.4375
08-03-1999,23.625,23.9375,886300,29.75,29.0,29.0
09-03-1999,26.5,29.625,656800,30.75,28.0,28.0
10-03-1999,26.5,29.0625,613900,29.875,29.75,29.75
11-03-1999,31.25,31.25,4188300,47.25,37.625,37.625
12-03-1999,41.0,42.5,9950900,60.75,57.859375,57.859375
15-03-1999,65.0,66.0,7038500,94.0,92.25,92.25
16-03-1999,65.0,96.0,9604700,98.0,68.5,68.5
17-03-1999,70.0,74.0,4704300,79.5625,77.625,77.625
18-03-1999,71.0,71.5,2160900,79.375,72.0,72.0
19-03-1999,63.5,72.0,2073600,74.25,66.0,66.0
22-03-1999,55.0,66.25,1898500,66.25,56.5,56.5
23-03-1999,47.0,52.375,1851100,56.0,52.5,52.5
24-03-1999,52.75,52.875,5182000,72.5,71.5,71.5
25-03-1999,64.75,77.5,3560300,79.125,67.4375,67.4375
26-03-1999,62.25,62.625,1047600,71.0,66.0,66.0
29-03-1999,63.75,67.0,755100,70.0,64.5,64.5
30-03-1999,60.125,64.0,622400,64.125,60.875,60.875
31-03-1999,60.25,61.75,676400,65.0,63.8125,63.8125
01-04-1999,62.625,66.0,549000,67.25,64.5,64.5
05-04-1999,60.25,64.75,503600,66.0,61.5,61.5
06-04-1999,57.0,60.75,990200,65.25,61.0,61.0
07-04-1999,60.0625,63.375,351900,63.5,60.375,60.375
08-04-1999,57.0,61.0,265900,62.875,60.75,60.75
09-04-1999,61.125,61.875,1639700,71.0,64.5,64.5
12-04-1999,63.0,64.0,606600,69.5,64.625,64.625
13-04-1999,66.0,68.5,969500,73.25,68.8125,68.8125
14-04-1999,60.9375,73.75,802400,75.5,62.25,62.25
15-04-1999,50.0,64.125,610000,64.375,60.0,60.0
16-04-1999,58.625,60.5,208800,62.125,61.0,61.0
19-04-1999,46.125,61.0,667200,61.875,47.625,47.625
20-04-1999,42.0,46.0,851100,55.0,49.875,49.875
21-04-1999,50.0,54.875,791200,61.0,60.875,60.875
22-04-1999,55.5,62.5,484700,62.75,59.0,59.0
23-04-1999,60.125,62.0,1130200,66.5,61.0,61.0
26-04-1999,58.0,60.0,380800,60.9375,59.0,59.0
27-04-1999,57.0,61.0,429000,61.75,57.0,57.0
28-04-1999,54.5,57.0,213400,57.75,54.625,54.625
29-04-1999,52.0,54.625,158300,54.75,53.25,53.25
30-04-1999,53.125,54.0,501700,58.75,58.5,58.5
03-05-1999,56.5,59.625,907800,62.875,61.9375,61.9375
04-05-1999,57.6875,63.75,1089100,64.875,57.6875,57.6875
05-05-1999,51.0,57.75,469300,61.375,61.0,61.0
06-05-1999,56.0625,56.125,228000,61.5,56.5,56.5
07-05-1999,53.625,56.5,207100,58.5,55.0,55.0
10-05-1999,54.25,54.625,115300,58.0,56.5,56.5
11-05-1999,55.8125,56.0,151500,58.375,56.625,56.625
12-05-1999,55.75,56.375,99900,57.875,56.0,56.0
13-05-1999,53.0,56.0,198600,57.0,53.125,53.125
14-05-1999,49.75,52.0,255400,52.75,52.25,52.25
17-05-1999,49.5,50.0,90100,52.5,51.0,51.0
18-05-1999,51.0,51.0,118400,52.5,52.375,52.375
19-05-1999,51.25,52.25,76800,54.0,51.5625,51.5625
20-05-1999,48.5,51.625,151300,51.875,48.75,48.75
21-05-1999,45.5,50.25,274300,50.25,45.875,45.875
24-05-1999,39.0,45.0,297100,45.875,41.0,41.0
25-05-1999,36.125,40.875,213600,41.0,37.0,37.0
26-05-1999,32.0,38.25,375700,40.375,40.25,40.25
27-05-1999,35.5,39.75,198200,40.75,40.375,40.375
28-05-1999,40.0,40.125,119300,42.75,41.25,41.25
01-06-1999,38.0,41.125,74000,41.125,38.0625,38.0625
02-06-1999,34.0625,38.0,154400,38.0,37.125,37.125
03-06-1999,33.8125,36.125,106600,38.0,33.8125,33.8125
04-06-1999,32.5625,33.5,139700,35.25,34.5,34.5
07-06-1999,34.5,34.75,186100,39.9375,39.25,39.25
08-06-1999,35.5,39.0,104100,40.0,37.5,37.5
09-06-1999,37.5,38.0,65400,40.0,39.625,39.625
10-06-1999,37.5,38.125,105000,40.875,38.875,38.875
11-06-1999,37.25,39.0,112600,39.875,37.75,37.75
14-06-1999,34.0,37.5,196800,38.875,35.0,35.0
15-06-1999,32.625,33.1875,142800,34.9375,34.5,34.5
16-06-1999,35.0,35.5,215500,38.0,36.125,36.125
17-06-1999,35.5,36.5,145100,37.5,36.875,36.875
18-06-1999,36.125,36.125,54400,38.0,37.25,37.25
21-06-1999,36.9375,36.9375,249600,45.0,41.75,41.75
22-06-1999,39.5,42.0,217000,44.75,40.5,40.5
23-06-1999,39.125,39.6875,94000,43.0,42.5,42.5
24-06-1999,39.875,42.875,84400,42.875,39.875,39.875
25-06-1999,38.5,39.8125,56300,41.5,39.5,39.5
28-06-1999,39.0,39.0,54900,40.75,40.375,40.375
29-06-1999,40.0,40.65625,101700,42.5,41.5625,41.5625
30-06-1999,41.75,42.5,429800,53.375,53.0,53.0
01-07-1999,45.5,50.875,260400,52.0,47.5,47.5
02-07-1999,47.25,47.375,167800,52.75,51.0,51.0
06-07-1999,49.8125,51.8125,159600,53.5,50.625,50.625
07-07-1999,49.0,50.25,62500,50.4375,49.375,49.375
08-07-1999,48.5,49.4375,55100,50.875,50.0,50.0
09-07-1999,48.75,48.75,86700,51.75,49.25,49.25
12-07-1999,49.0,49.0,260800,54.25,52.25,52.25
13-07-1999,50.0,51.5,166000,54.25,53.875,53.875
14-07-1999,52.125,53.375,192800,56.0,55.25,55.25
15-07-1999,52.5,55.9375,92300,56.25,53.375,53.375
16-07-1999,51.125,53.375,116600,54.125,52.125,52.125
19-07-1999,52.0,53.0,155400,55.0,52.5625,52.5625
20-07-1999,47.0,52.125,118300,52.125,47.25,47.25
21-07-1999,46.75,48.0,104000,49.5,47.4375,47.4375
22-07-1999,45.0,47.71875,56000,47.875,45.0,45.0
23-07-1999,42.5,44.0625,82800,45.1875,42.5625,42.5625
26-07-1999,39.625,43.0,88400,43.0,39.625,39.625
27-07-1999,40.25,41.0,70500,42.625,42.125,42.125
28-07-1999,41.0,42.625,53300,42.6875,41.8125,41.8125
29-07-1999,39.9375,41.5,58500,42.0,40.0625,40.0625
30-07-1999,39.5,40.625,33600,42.0,39.75,39.75
02-08-1999,38.5,40.25,58600,40.25,38.5625,38.5625
03-08-1999,33.0,39.5,168000,39.5,33.9375,33.9375
04-08-1999,29.75,35.1875,205500,35.25,30.4375,30.4375
05-08-1999,27.625,30.125,197800,33.625,32.0625,32.0625
06-08-1999,30.0,30.125,120600,34.5,34.0,34.0
09-08-1999,33.75,33.75,178300,36.75,35.0,35.0
10-08-1999,29.5,34.75,261000,35.0625,33.625,33.625
11-08-1999,31.0,34.0,172000,34.5,31.5,31.5
12-08-1999,29.0,31.5625,369300,32.1875,31.25,31.25
13-08-1999,31.25,31.25,177200,34.0,33.3125,33.3125
16-08-1999,32.0,33.25,110700,34.125,33.125,33.125
17-08-1999,32.125,33.625,150900,34.75,34.0,34.0
18-08-1999,33.5,34.25,110300,34.25,33.875,33.875
19-08-1999,31.875,33.75,68700,34.0,31.875,31.875
20-08-1999,31.875,32.75,61200,32.75,32.25,32.25
23-08-1999,31.75,32.875,147000,33.5,31.75,31.75
24-08-1999,31.25,31.625,143500,33.4375,32.375,32.375
25-08-1999,32.0,32.75,146100,33.625,33.0,33.0
26-08-1999,31.5,33.75,93900,33.75,31.5,31.5
27-08-1999,30.5,31.5,133600,31.875,30.5625,30.5625
30-08-1999,28.0,30.6875,169000,30.875,28.0,28.0
31-08-1999,26.5,28.625,152400,29.125,27.75,27.75
01-09-1999,27.375,27.875,101500,29.5,28.25,28.25
02-09-1999,26.5,28.0,163100,28.375,26.75,26.75
03-09-1999,26.5625,27.0,222600,27.75,27.0,27.0
07-09-1999,25.5,25.9375,82000,27.125,26.25,26.25
08-09-1999,23.5,26.5,225200,26.75,23.8125,23.8125
09-09-1999,21.125,23.375,619200,23.75,22.3125,22.3125
10-09-1999,22.5,22.75,821400,26.75,25.1875,25.1875
13-09-1999,25.0625,25.0625,625900,29.125,27.25,27.25
14-09-1999,25.5,27.8125,355500,27.875,26.375,26.375
15-09-1999,24.0,26.5,232000,26.875,25.625,25.625
16-09-1999,25.25,25.8125,108700,27.5,26.5,26.5
17-09-1999,25.25,26.8125,174700,26.9375,26.125,26.125
20-09-1999,25.25,26.1875,87300,26.25,25.6875,25.6875
21-09-1999,24.625,25.53125,82700,26.25,25.0,25.0
22-09-1999,12.625,14.5,4269900,17.75,16.5,16.5
23-09-1999,15.0625,16.5625,694200,17.0,15.375,15.375
24-09-1999,15.0,15.5,238800,16.0,16.0,16.0
27-09-1999,16.125,17.125,198500,17.375,16.25,16.25
28-09-1999,14.75,16.25,137400,16.625,15.5625,15.5625
29-09-1999,14.625,15.5,175700,15.75,14.625,14.625
30-09-1999,14.0,15.0,134200,15.0625,14.75,14.75
01-10-1999,13.75,14.875,131200,14.875,13.875,13.875
04-10-1999,14.0,14.8125,116600,14.8125,14.3125,14.3125
05-10-1999,14.4375,14.46875,168000,15.5,15.4375,15.4375
06-10-1999,15.5,16.0,423600,16.9375,16.625,16.625
07-10-1999,15.8125,17.0625,245700,17.25,15.8125,15.8125
08-10-1999,16.0,16.0625,88200,16.5625,16.5,16.5
11-10-1999,16.0625,16.59375,63800,16.75,16.1875,16.1875
12-10-1999,16.0625,16.25,111100,16.5,16.0625,16.0625
13-10-1999,15.375,15.625,95000,15.75,15.5,15.5
14-10-1999,14.75,15.9375,79900,15.9375,15.1875,15.1875
15-10-1999,14.0625,14.9375,84900,15.3125,14.25,14.25
18-10-1999,13.75,14.40625,96100,14.75,14.1875,14.1875
19-10-1999,14.1875,14.25,121100,15.875,15.25,15.25
20-10-1999,15.125,15.8125,79400,16.0,15.5,15.5
21-10-1999,14.5,15.0625,181500,16.0625,15.125,15.125
22-10-1999,14.6875,15.375,70400,15.9375,15.0,15.0
25-10-1999,14.25,14.875,42700,14.9375,14.75,14.75
26-10-1999,14.8125,14.84375,66800,15.5,15.375,15.375
27-10-1999,15.125,15.4375,358500,18.0,18.0,18.0
28-10-1999,16.25,18.5,298500,18.875,17.0,17.0
29-10-1999,16.3125,17.28125,216600,17.5,16.3125,16.3125
01-11-1999,16.3125,16.59375,96400,17.375,17.0,17.0
02-11-1999,17.25,17.28125,263800,18.0,17.25,17.25
03-11-1999,17.5625,17.625,649500,21.625,20.9375,20.9375
04-11-1999,22.1875,23.125,839600,26.5,25.0,25.0
05-11-1999,27.0,27.375,626700,29.375,27.25,27.25
08-11-1999,23.25,27.3125,360200,27.75,25.625,25.625
09-11-1999,24.0,25.8125,251300,26.0,24.5,24.5
10-11-1999,23.5,24.5,233600,26.4375,24.875,24.875
11-11-1999,25.3125,25.3125,202600,27.25,27.0625,27.0625
12-11-1999,25.375,27.375,200000,28.0,26.375,26.375
