Date,Low,Open,Volume,High,Close,Adjusted Close
10-09-1986,5.75,0.0,656400,5.875,5.75,3.927462100982666
11-09-1986,5.5,0.0,281400,5.625,5.5,3.7567026615142822
12-09-1986,5.5,0.0,136400,5.625,5.5,3.7567026615142822
15-09-1986,5.5,0.0,102400,5.625,5.5,3.7567026615142822
16-09-1986,5.5,0.0,54200,5.75,5.5,3.7567026615142822
17-09-1986,5.5,0.0,71600,5.75,5.5,3.7567026615142822
18-09-1986,5.625,0.0,35600,5.75,5.625,3.8420822620391846
19-09-1986,5.625,0.0,128800,5.875,5.625,3.8420822620391846
22-09-1986,5.625,0.0,95000,5.875,5.625,3.8420822620391846
23-09-1986,5.5,0.0,68600,5.75,5.5,3.7567026615142822
24-09-1986,5.5,0.0,32000,5.875,5.5,3.7567026615142822
25-09-1986,5.5,0.0,38000,5.75,5.5,3.7567026615142822
26-09-1986,5.5,0.0,24200,5.75,5.5,3.7567026615142822
29-09-1986,5.5,0.0,3200,5.75,5.5,3.7567026615142822
30-09-1986,5.5,0.0,14800,5.75,5.5,3.7567026615142822
01-10-1986,5.5,0.0,37400,5.75,5.5,3.7567026615142822
02-10-1986,5.5,0.0,94600,5.625,5.5,3.7567026615142822
03-10-1986,5.5,0.0,62200,5.75,5.5,3.7567026615142822
06-10-1986,5.5,0.0,18200,5.75,5.5,3.7567026615142822
07-10-1986,5.5,0.0,12000,5.75,5.5,3.7567026615142822
08-10-1986,5.5,0.0,40400,5.75,5.5,3.7567026615142822
09-10-1986,5.5,0.0,3000,5.75,5.5,3.7567026615142822
10-10-1986,5.5,0.0,6200,5.625,5.5,3.7567026615142822
13-10-1986,5.5,0.0,7200,5.625,5.5,3.7567026615142822
14-10-1986,5.5,0.0,4600,5.625,5.5,3.7567026615142822
15-10-1986,5.5,0.0,7800,5.625,5.5,3.7567026615142822
16-10-1986,5.5,0.0,7800,5.625,5.5,3.7567026615142822
17-10-1986,5.5,0.0,1800,5.625,5.5,3.7567026615142822
20-10-1986,5.5,0.0,14200,5.75,5.5,3.7567026615142822
21-10-1986,5.5,0.0,4400,5.875,5.5,3.7567026615142822
22-10-1986,5.5,0.0,3800,5.875,5.5,3.7567026615142822
23-10-1986,5.5625,0.0,30400,5.8125,5.5625,3.7993924617767334
24-10-1986,5.75,0.0,27600,6.0,5.75,3.927462100982666
27-10-1986,5.875,0.0,15400,6.125,5.875,4.012841701507568
28-10-1986,6.125,0.0,32400,6.375,6.125,4.183600902557373
29-10-1986,6.125,0.0,35000,6.5,6.125,4.183600902557373
30-10-1986,6.125,0.0,7800,6.5,6.125,4.183600902557373
31-10-1986,6.125,0.0,21400,6.5,6.125,4.183600902557373
03-11-1986,6.25,0.0,124800,6.5,6.25,4.268980503082275
04-11-1986,6.25,0.0,46000,6.625,6.25,4.268980503082275
05-11-1986,6.375,0.0,41600,6.625,6.375,4.354360103607178
06-11-1986,6.375,0.0,17000,6.625,6.375,4.354360103607178
07-11-1986,6.375,0.0,6400,6.75,6.375,4.354360103607178
10-11-1986,6.375,0.0,6600,6.75,6.375,4.354360103607178
11-11-1986,6.375,0.0,32600,6.75,6.375,4.354360103607178
12-11-1986,6.375,0.0,10000,6.75,6.375,4.354360103607178
13-11-1986,6.375,0.0,21000,6.75,6.375,4.354360103607178
14-11-1986,6.375,0.0,14400,6.75,6.375,4.354360103607178
17-11-1986,6.375,0.0,1000,6.75,6.375,4.354360103607178
18-11-1986,6.375,0.0,29800,6.75,6.375,4.354360103607178
19-11-1986,6.375,0.0,28200,6.75,6.375,4.354360103607178
20-11-1986,6.375,0.0,17400,6.75,6.375,4.354360103607178
21-11-1986,6.5,0.0,16800,6.875,6.5,4.43973970413208
24-11-1986,6.5,0.0,44600,6.875,6.5,4.43973970413208
25-11-1986,6.625,0.0,16400,6.875,6.625,4.525119304656982
26-11-1986,6.625,0.0,15200,7.0,6.625,4.525119304656982
28-11-1986,6.625,0.0,1200,7.0,6.625,4.525119304656982
01-12-1986,6.625,0.0,4000,7.0,6.625,4.525119304656982
02-12-1986,6.625,0.0,35000,7.0,6.875,4.695878505706787
03-12-1986,6.75,0.0,10200,7.0,7.0,4.7812581062316895
04-12-1986,6.75,0.0,182800,7.25,7.0,4.7812581062316895
05-12-1986,7.0,0.0,5000,7.375,7.125,4.866637706756592
08-12-1986,7.0,0.0,23400,7.375,7.375,5.0373969078063965
09-12-1986,7.125,0.0,21800,7.5,7.5,5.122776508331299
10-12-1986,7.25,0.0,6000,7.5,7.375,5.0373969078063965
11-12-1986,7.1875,0.0,80400,7.5,7.25,4.952017307281494
12-12-1986,7.25,0.0,67800,7.5,7.5,5.122776508331299
15-12-1986,7.25,0.0,33000,7.5,7.25,4.952017307281494
16-12-1986,7.25,0.0,5200,7.5,7.375,5.0373969078063965
17-12-1986,7.25,0.0,264800,7.5,7.5,5.122776508331299
18-12-1986,7.25,0.0,47200,7.5,7.25,4.952017307281494
19-12-1986,7.25,0.0,45200,7.5,7.375,5.0373969078063965
22-12-1986,7.375,0.0,7000,7.5,7.375,5.0373969078063965
23-12-1986,7.375,0.0,17600,7.625,7.375,5.0373969078063965
24-12-1986,7.375,0.0,6000,7.625,7.375,5.0373969078063965
26-12-1986,7.375,0.0,1600,7.625,7.625,5.208156585693359
29-12-1986,7.375,0.0,11200,7.625,7.375,5.0373969078063965
30-12-1986,7.375,0.0,4800,7.625,7.375,5.0373969078063965
31-12-1986,7.25,0.0,5800,7.5,7.5,5.122776508331299
02-01-1987,7.1875,0.0,4200,7.5,7.5,5.122776508331299
05-01-1987,7.125,0.0,18000,7.5,7.5,5.122776508331299
06-01-1987,7.125,0.0,14000,7.5,7.5,5.122776508331299
07-01-1987,7.0,0.0,524400,7.5,7.25,4.952017307281494
08-01-1987,7.0,0.0,17600,7.375,7.375,5.0373969078063965
09-01-1987,7.0,0.0,68200,7.375,7.25,4.952017307281494
12-01-1987,7.0,0.0,13200,7.375,7.0,4.7812581062316895
13-01-1987,6.75,0.0,18600,7.0,6.75,4.610498905181885
14-01-1987,6.5,0.0,23200,7.0,6.5,4.43973970413208
15-01-1987,6.5,0.0,18200,6.75,6.5,4.43973970413208
16-01-1987,6.5,0.0,64400,6.875,6.875,4.695878505706787
19-01-1987,6.625,0.0,7200,7.125,7.125,4.866637706756592
20-01-1987,6.875,0.0,64600,7.125,6.875,4.695878505706787
21-01-1987,6.875,0.0,21200,7.125,7.0,4.7812581062316895
22-01-1987,6.875,0.0,49400,7.1875,7.1875,4.909327507019043
23-01-1987,7.0,0.0,54400,7.375,7.0,4.7812581062316895
26-01-1987,7.0,0.0,9800,7.375,7.0,4.7812581062316895
27-01-1987,7.0,0.0,11400,7.375,7.0,4.7812581062316895
28-01-1987,7.0,0.0,12600,7.375,7.0,4.7812581062316895
29-01-1987,7.0,0.0,4200,7.0,7.0,4.7812581062316895
30-01-1987,7.0,0.0,2800,7.0,7.0,4.7812581062316895
02-02-1987,7.0,0.0,3800,7.375,7.0,4.7812581062316895
03-02-1987,7.0,0.0,9400,7.375,7.25,4.952017307281494
04-02-1987,6.75,0.0,206600,7.25,6.875,4.695878505706787
05-02-1987,6.875,0.0,64400,7.25,6.875,4.695878505706787
06-02-1987,6.875,0.0,7000,7.25,7.0,4.7812581062316895
09-02-1987,6.875,0.0,6000,7.125,7.125,4.866637706756592
10-02-1987,6.875,0.0,9200,7.125,7.125,4.866637706756592
11-02-1987,6.875,0.0,67200,7.125,7.125,4.866637706756592
12-02-1987,6.875,0.0,5200,7.25,7.0,4.7812581062316895
13-02-1987,7.0,0.0,20800,7.375,7.125,4.866637706756592
17-02-1987,7.125,0.0,25000,7.375,7.375,5.0373969078063965
18-02-1987,7.125,0.0,3800,7.375,7.125,4.866637706756592
19-02-1987,7.125,0.0,9800,7.375,7.125,4.866637706756592
20-02-1987,7.125,0.0,65600,7.5,7.25,4.952017307281494
23-02-1987,7.25,0.0,5800,7.625,7.625,5.208156585693359
24-02-1987,7.25,0.0,3400,7.625,7.25,4.952017307281494
25-02-1987,7.25,0.0,64800,7.625,7.375,5.0373969078063965
26-02-1987,7.5,0.0,65400,7.875,7.5,5.122776508331299
27-02-1987,7.5,0.0,23800,8.0,7.625,5.208156585693359
02-03-1987,7.625,0.0,17600,8.0,7.625,5.208156585693359
03-03-1987,7.75,0.0,30400,8.125,7.75,5.2935357093811035
04-03-1987,7.75,0.0,75400,8.25,8.0,5.464294910430908
05-03-1987,7.875,0.0,249400,8.25,7.875,5.378915309906006
06-03-1987,7.875,0.0,14000,8.25,7.875,5.378915309906006
09-03-1987,7.875,0.0,8400,8.25,8.125,5.5496745109558105
10-03-1987,7.875,0.0,2800,7.875,7.875,5.378915309906006
11-03-1987,7.875,0.0,25600,8.125,8.125,5.5496745109558105
12-03-1987,7.875,0.0,11600,8.125,7.875,5.378915309906006
13-03-1987,7.875,0.0,16000,8.125,8.125,5.5496745109558105
16-03-1987,7.75,0.0,8400,7.875,7.75,5.2935357093811035
17-03-1987,7.75,0.0,3200,8.125,8.125,5.5496745109558105
18-03-1987,7.875,0.0,4200,8.125,8.125,5.5496745109558105
19-03-1987,7.75,0.0,36200,8.125,8.0,5.464294910430908
20-03-1987,7.75,0.0,7200,8.125,7.75,5.2935357093811035
23-03-1987,7.75,0.0,11400,8.125,7.75,5.2935357093811035
24-03-1987,7.625,0.0,3800,8.125,7.625,5.208156585693359
25-03-1987,7.625,0.0,7200,8.0,8.0,5.464294910430908
26-03-1987,7.5,0.0,9000,7.625,7.5,5.122776508331299
27-03-1987,7.5,0.0,48200,7.875,7.5,5.122776508331299
30-03-1987,7.375,0.0,29200,7.75,7.5,5.122776508331299
31-03-1987,7.125,0.0,4800,7.625,7.125,4.866637706756592
01-04-1987,7.0,0.0,5800,7.375,7.0,4.7812581062316895
02-04-1987,6.875,0.0,12000,7.375,6.875,4.695878505706787
03-04-1987,6.875,0.0,2800,7.25,7.25,4.952017307281494
06-04-1987,6.875,0.0,45200,7.25,6.875,4.695878505706787
07-04-1987,6.875,0.0,42000,7.125,6.9375,4.738568305969238
08-04-1987,6.875,0.0,155000,7.125,7.125,4.866637706756592
09-04-1987,7.0,0.0,191000,7.5,7.375,5.0373969078063965
10-04-1987,7.25,0.0,16400,7.625,7.625,5.208156585693359
13-04-1987,7.25,0.0,23000,7.625,7.25,4.952017307281494
14-04-1987,7.25,0.0,24200,7.625,7.25,4.952017307281494
15-04-1987,7.375,0.0,73800,7.6875,7.6875,5.250845909118652
16-04-1987,7.5,0.0,32200,7.875,7.625,5.208156585693359
20-04-1987,7.625,0.0,7600,7.875,7.875,5.378915309906006
21-04-1987,7.625,0.0,5800,7.875,7.625,5.208156585693359
22-04-1987,7.625,0.0,74800,7.875,7.8125,5.336225509643555
23-04-1987,7.625,0.0,10000,7.875,7.625,5.208156585693359
24-04-1987,7.625,0.0,2000,7.875,7.625,5.208156585693359
27-04-1987,7.375,0.0,16800,7.75,7.375,5.0373969078063965
28-04-1987,7.5,0.0,65000,7.625,7.5,5.122776508331299
29-04-1987,7.75,0.0,2200,7.75,7.75,5.2935357093811035
30-04-1987,7.5,0.0,7400,7.75,7.75,5.2935357093811035
01-05-1987,7.625,0.0,10800,7.75,7.625,5.208156585693359
04-05-1987,7.625,0.0,7000,7.875,7.625,5.208156585693359
05-05-1987,7.375,0.0,17800,7.875,7.375,5.0373969078063965
06-05-1987,7.625,0.0,2000,7.625,7.625,5.208156585693359
07-05-1987,7.375,0.0,23200,7.5625,7.375,5.0373969078063965
08-05-1987,7.375,0.0,5800,7.75,7.625,5.208156585693359
11-05-1987,7.375,0.0,6600,7.625,7.375,5.0373969078063965
12-05-1987,7.375,0.0,4800,7.625,7.375,5.0373969078063965
13-05-1987,7.375,0.0,3200,7.375,7.375,5.0373969078063965
14-05-1987,7.375,0.0,3000,7.625,7.375,5.0373969078063965
15-05-1987,7.25,0.0,800,7.625,7.25,4.952017307281494
18-05-1987,7.125,0.0,11200,7.5,7.125,4.866637706756592
19-05-1987,7.0625,0.0,7800,7.5,7.0625,4.823947906494141
20-05-1987,7.0,0.0,1200,7.375,7.375,5.0373969078063965
21-05-1987,7.125,0.0,200,7.125,7.125,4.866637706756592
22-05-1987,7.0,0.0,600,7.0,7.0,4.7812581062316895
26-05-1987,7.0,0.0,600,7.0,7.0,4.7812581062316895
27-05-1987,7.0,0.0,82000,7.375,7.125,4.866637706756592
28-05-1987,7.0,0.0,32600,7.1875,7.0,4.7812581062316895
29-05-1987,7.0,0.0,5400,7.375,7.0,4.7812581062316895
01-06-1987,7.0,0.0,200,7.0,7.0,4.7812581062316895
02-06-1987,7.0,0.0,400,7.0,7.0,4.7812581062316895
03-06-1987,6.875,0.0,1200,6.875,6.875,4.695878505706787
04-06-1987,6.875,0.0,3800,6.875,6.875,4.695878505706787
05-06-1987,6.875,0.0,800,6.875,6.875,4.695878505706787
08-06-1987,6.875,6.875,0,6.875,6.875,4.695878505706787
09-06-1987,6.875,0.0,15000,7.0,6.875,4.695878505706787
10-06-1987,6.875,0.0,12800,7.25,6.875,4.695878505706787
11-06-1987,6.875,0.0,5000,6.875,6.875,4.695878505706787
12-06-1987,6.875,0.0,9800,6.875,6.875,4.695878505706787
15-06-1987,6.875,0.0,39400,7.0,6.875,4.695878505706787
16-06-1987,6.875,0.0,5600,7.25,7.125,4.866637706756592
17-06-1987,6.875,0.0,600,6.875,6.875,4.695878505706787
18-06-1987,7.0,0.0,14000,7.1875,7.125,4.866637706756592
19-06-1987,6.875,0.0,1000,7.25,6.875,4.695878505706787
