Date,Low,Open,Volume,High,Close,Adjusted Close
12-04-1994,2.5,2.5625,326000,2.5625,2.5625,1.221234679222107
13-04-1994,2.5,2.5625,1702400,2.625,2.53125,1.2063417434692383
14-04-1994,2.5,2.625,218000,2.625,2.5625,1.221234679222107
15-04-1994,2.5,2.625,475200,2.625,2.5625,1.221234679222107
18-04-1994,2.5,2.53125,8000,2.53125,2.5,1.1914479732513428
19-04-1994,2.5,2.515625,106000,2.625,2.625,1.251020908355713
20-04-1994,2.5,2.5,46000,2.5,2.5,1.1914479732513428
21-04-1994,2.5,2.5625,145600,2.5625,2.5625,1.221234679222107
22-04-1994,2.5625,2.5625,0,2.5625,2.5625,1.221234679222107
25-04-1994,2.53125,2.53125,2800,2.53125,2.53125,1.2063417434692383
26-04-1994,2.5,2.5625,202400,2.5625,2.5625,1.221234679222107
28-04-1994,2.5,2.5625,44000,2.5625,2.546875,1.2137879133224487
29-04-1994,2.5,2.53125,172000,2.5625,2.53125,1.2063417434692383
02-05-1994,2.5,2.546875,58000,2.5625,2.515625,1.1988939046859741
03-05-1994,2.5,2.5,104400,2.5625,2.5,1.1914479732513428
04-05-1994,2.5,2.5625,86000,2.5625,2.53125,1.2063417434692383
05-05-1994,2.515625,2.5625,17200,2.5625,2.515625,1.1988939046859741
06-05-1994,2.5,2.5,20000,2.5,2.5,1.1914479732513428
09-05-1994,2.5,2.5,76000,2.53125,2.53125,1.2063417434692383
10-05-1994,2.46875,2.5,187200,2.5625,2.53125,1.2063417434692383
11-05-1994,2.53125,2.53125,0,2.53125,2.53125,1.2063417434692383
12-05-1994,2.5625,2.5625,400,2.5625,2.5625,1.221234679222107
13-05-1994,2.5,2.5,14000,2.5625,2.5625,1.221234679222107
16-05-1994,2.53125,2.53125,2000,2.53125,2.53125,1.2063417434692383
17-05-1994,2.5,2.5,48800,2.53125,2.53125,1.2063417434692383
18-05-1994,2.53125,2.53125,6800,2.53125,2.53125,1.2063417434692383
19-05-1994,2.53125,2.53125,37200,2.53125,2.53125,1.2063417434692383
20-05-1994,2.46875,2.53125,47200,2.53125,2.515625,1.1988939046859741
23-05-1994,2.46875,2.515625,306000,2.53125,2.5,1.1914479732513428
24-05-1994,2.484375,2.515625,26000,2.515625,2.484375,1.1840018033981323
25-05-1994,2.46875,2.5,223600,2.53125,2.53125,1.2063417434692383
26-05-1994,2.5,2.515625,601600,2.625,2.59375,1.236127495765686
27-05-1994,2.5625,2.625,256000,2.65625,2.640625,1.258467435836792
31-05-1994,2.59375,2.6875,138400,2.71875,2.6875,1.2808068990707397
01-06-1994,2.625,2.71875,54400,2.71875,2.71875,1.2956997156143188
02-06-1994,2.671875,2.71875,107600,2.71875,2.71875,1.2956997156143188
03-06-1994,2.65625,2.71875,14400,2.71875,2.71875,1.2956997156143188
06-06-1994,2.640625,2.71875,19200,2.71875,2.71875,1.2956997156143188
07-06-1994,2.65625,2.6875,188000,2.6875,2.6875,1.2808068990707397
08-06-1994,2.625,2.6875,211600,2.71875,2.671875,1.2733603715896606
09-06-1994,2.65625,2.71875,44000,2.71875,2.71875,1.2956997156143188
10-06-1994,2.65625,2.71875,113600,2.71875,2.71875,1.2956997156143188
13-06-1994,2.6875,2.71875,12800,2.71875,2.6875,1.2808068990707397
14-06-1994,2.6875,2.71875,80000,2.71875,2.71875,1.2956997156143188
15-06-1994,2.65625,2.6875,242000,2.75,2.6875,1.2808068990707397
16-06-1994,2.75,2.78125,62000,2.8125,2.75,1.3105932474136353
17-06-1994,2.75,2.78125,171600,2.84375,2.753906011581421,1.3124542236328125
20-06-1994,2.71875,2.71875,94800,2.84375,2.8125,1.3403797149658203
21-06-1994,2.71875,2.8125,166400,2.84375,2.75,1.3105932474136353
22-06-1994,2.8125,2.8125,5600,2.8125,2.8125,1.3403797149658203
23-06-1994,2.75,2.78125,58800,2.8125,2.773437976837158,1.3217625617980957
24-06-1994,2.75,2.765625,45200,2.8125,2.765625,1.3180396556854248
27-06-1994,2.71875,2.757812976837158,13600,2.78125,2.71875,1.2956997156143188
28-06-1994,2.71875,2.78125,79200,2.78125,2.71875,1.2956997156143188
29-06-1994,2.71875,2.8125,20000,2.8125,2.765625,1.3180396556854248
30-06-1994,2.71875,2.71875,20000,2.8125,2.765625,1.3180396556854248
01-07-1994,2.75,2.75,36000,2.8125,2.75,1.3105932474136353
05-07-1994,2.71875,2.78125,9600,2.8125,2.71875,1.2956997156143188
06-07-1994,2.71875,2.71875,8000,2.8125,2.78125,1.325486183166504
07-07-1994,2.75,2.78125,14000,2.78125,2.75,1.3105932474136353
08-07-1994,2.71875,2.8125,34400,2.8125,2.75,1.3105932474136353
11-07-1994,2.71875,2.78125,57200,2.8125,2.78125,1.325486183166504
12-07-1994,2.8125,2.8125,800,2.8125,2.8125,1.3403797149658203
13-07-1994,2.75,2.8125,188400,2.84375,2.84375,1.3552725315093994
14-07-1994,2.75,2.8125,56400,2.84375,2.84375,1.3552725315093994
