Date,Low,Open,Volume,High,Close,Adjusted Close
13-01-1998,7.25,7.75,7028400,7.75,7.25,4.112978458404541
14-01-1998,7.3125,7.375,2162800,7.6875,7.53125,4.2725348472595215
15-01-1998,7.5625,7.625,478400,7.84375,7.6875,4.361175060272217
16-01-1998,7.625,7.75,692400,8.125,8.09375,4.591643333435059
20-01-1998,7.71875,8.1875,391800,8.1875,8.0,4.538458824157715
21-01-1998,7.6875,8.0,275600,8.0,7.75,4.396630764007568
22-01-1998,7.6875,7.75,295200,7.75,7.75,4.396630764007568
23-01-1998,7.625,7.6875,174400,7.78125,7.625,4.325716495513916
26-01-1998,7.5625,7.75,52200,7.75,7.625,4.325716495513916
27-01-1998,7.5,7.5625,426600,7.65625,7.53125,4.2725348472595215
28-01-1998,7.4375,7.5,224000,7.625,7.625,4.325716495513916
29-01-1998,7.5625,7.59375,108000,7.6875,7.625,4.325716495513916
30-01-1998,7.5625,7.625,122600,7.75,7.75,4.396630764007568
02-02-1998,7.6875,7.75,99800,7.84375,7.84375,4.449814796447754
03-02-1998,7.71875,7.8125,75800,7.875,7.8125,4.4320878982543945
04-02-1998,7.71875,7.84375,155600,7.84375,7.8125,4.4320878982543945
05-02-1998,7.75,7.84375,109800,7.84375,7.8125,4.4320878982543945
06-02-1998,7.78125,7.8125,269800,7.96875,7.96875,4.520730495452881
09-02-1998,7.875,7.96875,47800,8.0,7.9375,4.503000259399414
10-02-1998,7.9375,8.0,293600,8.0625,7.96875,4.520730495452881
11-02-1998,8.0,8.0,147600,8.0625,8.0625,4.573914527893066
12-02-1998,7.9375,8.0625,89000,8.125,7.9375,4.503000259399414
13-02-1998,7.9375,8.0,176800,8.0625,8.0,4.538458824157715
17-02-1998,8.0,8.03125,175000,8.125,8.0625,4.573914527893066
18-02-1998,8.0,8.0625,98200,8.0625,8.0625,4.573914527893066
19-02-1998,8.0,8.0625,65800,8.0625,8.03125,4.556188583374023
20-02-1998,8.03125,8.0625,136400,8.0625,8.0625,4.573914527893066
23-02-1998,8.0,8.03125,110400,8.0625,8.0,4.538458824157715
24-02-1998,8.0,8.03125,186600,8.0625,8.03125,4.556188583374023
25-02-1998,7.96875,7.96875,230800,8.25,8.25,4.680286884307861
