Date,Low,Open,Volume,High,Close,Adjusted Close
04-03-1993,2.3125,2.5,10500,2.5,2.5,2.1003007888793945
05-03-1993,2.25,2.25,2200,2.25,2.25,1.8902708292007446
08-03-1993,2.25,2.25,2400,2.5,2.5,2.1003007888793945
09-03-1993,2.25,2.3125,23200,2.5,2.5,2.1003007888793945
10-03-1993,2.25,2.5,29000,2.5,2.375,1.995286464691162
11-03-1993,2.25,2.25,1400,2.25,2.25,1.8902708292007446
12-03-1993,2.125,2.25,47200,2.5,2.125,1.785256266593933
15-03-1993,2.25,2.5,12800,2.5,2.5,2.1003007888793945
16-03-1993,2.25,2.5,7600,2.5,2.5,2.1003007888793945
17-03-1993,2.125,2.375,30000,2.5,2.25,1.8902708292007446
18-03-1993,2.25,2.25,65300,2.59375,2.59375,2.179063081741333
19-03-1993,2.3125,2.4375,48700,2.625,2.625,2.2053160667419434
22-03-1993,2.375,2.375,4000,2.5625,2.5625,2.152808904647827
23-03-1993,2.4375,2.5,15000,2.75,2.75,2.310331344604492
24-03-1993,2.5,2.5,22000,2.75,2.625,2.2053160667419434
25-03-1993,2.4375,2.75,35700,2.75,2.75,2.310331344604492
26-03-1993,2.5,2.5,38000,2.75,2.6875,2.2578237056732178
29-03-1993,2.5625,2.5625,4400,2.5625,2.5625,2.152808904647827
30-03-1993,2.5,2.5625,43000,2.875,2.875,2.41534686088562
31-03-1993,2.5,2.875,44300,2.875,2.75,2.310331344604492
01-04-1993,2.5,2.75,13500,2.75,2.5,2.1003007888793945
02-04-1993,2.5,2.5,24000,2.75,2.6875,2.2578237056732178
05-04-1993,2.625,2.625,4000,2.625,2.625,2.2053160667419434
06-04-1993,2.375,2.625,21400,2.875,2.4375,2.0477938652038574
07-04-1993,2.375,2.375,6100,2.875,2.5625,2.152808904647827
08-04-1993,2.25,2.375,8300,2.5,2.25,1.8902708292007446
12-04-1993,2.25,2.875,10100,3.0,2.5,2.1003007888793945
13-04-1993,2.375,3.0,7100,3.0,2.75,2.310331344604492
14-04-1993,2.4375,3.0,16000,3.0,2.9375,2.4678540229797363
15-04-1993,2.5,2.59375,25700,3.0,2.75,2.310331344604492
16-04-1993,2.625,2.625,17900,3.0,2.6875,2.2578237056732178
19-04-1993,2.625,2.625,10400,3.0,2.625,2.2053160667419434
20-04-1993,2.625,2.625,39500,3.0,3.0,2.5203616619110107
21-04-1993,2.6875,3.0,25600,3.0,3.0,2.5203616619110107
22-04-1993,2.6875,2.71875,14700,2.875,2.875,2.41534686088562
23-04-1993,2.625,2.875,25500,2.875,2.875,2.41534686088562
26-04-1993,2.625,2.625,10400,2.875,2.6875,2.2578237056732178
27-04-1993,2.625,2.625,16300,2.84375,2.625,2.2053160667419434
28-04-1993,2.625,2.625,10300,2.875,2.875,2.41534686088562
29-04-1993,2.75,2.75,3000,2.875,2.875,2.41534686088562
30-04-1993,2.625,2.625,200,2.625,2.625,2.2053160667419434
03-05-1993,2.625,2.625,400,2.625,2.625,2.2053160667419434
04-05-1993,2.875,2.875,300,2.875,2.875,2.41534686088562
05-05-1993,2.625,2.625,12400,2.875,2.75,2.310331344604492
06-05-1993,2.5,2.625,38600,2.75,2.71875,2.2840778827667236
07-05-1993,2.5,2.875,3100,2.875,2.5625,2.152808904647827
10-05-1993,2.5625,2.875,8600,2.875,2.625,2.2053160667419434
11-05-1993,2.5,2.5,8000,2.875,2.875,2.41534686088562
12-05-1993,2.5,2.875,4600,2.875,2.6875,2.2578237056732178
13-05-1993,2.5625,2.5625,29400,2.75,2.75,2.310331344604492
14-05-1993,2.625,2.625,19600,2.875,2.875,2.41534686088562
17-05-1993,2.8125,2.9375,68400,3.25,2.9375,2.4678540229797363
18-05-1993,2.875,2.875,25500,3.25,3.0625,2.572868585586548
19-05-1993,2.875,2.875,6500,3.125,3.125,2.6253767013549805
20-05-1993,2.875,2.875,32000,3.25,2.9375,2.4678540229797363
21-05-1993,3.0,3.125,44600,3.25,3.0,2.5203616619110107
24-05-1993,3.0,3.0,9800,3.5,3.0625,2.572868585586548
25-05-1993,3.0,3.0625,21300,3.5,3.125,2.6253767013549805
26-05-1993,2.9375,2.9375,9300,3.5,3.5,2.9404218196868896
27-05-1993,3.0,3.5,13000,3.5,3.0,2.5203616619110107
28-05-1993,3.0,3.0,6400,3.5,3.5,2.9404218196868896
01-06-1993,3.25,3.5,17500,3.5,3.3125,2.7828996181488037
02-06-1993,3.25,3.5,13200,3.5,3.375,2.835406541824341
03-06-1993,3.125,3.375,21000,3.375,3.375,2.835406541824341
04-06-1993,3.125,3.125,6600,3.25,3.25,2.730391263961792
07-06-1993,3.125,3.25,33200,3.5,3.5,2.9404218196868896
08-06-1993,3.0,3.5,15700,3.5,3.0,2.5203616619110107
09-06-1993,3.0,3.375,18800,3.375,3.1875,2.677884101867676
10-06-1993,3.125,3.125,34700,3.5,3.25,2.730391263961792
11-06-1993,3.1875,3.25,17100,3.5,3.375,2.835406541824341
14-06-1993,3.0625,3.1875,12700,3.375,3.375,2.835406541824341
15-06-1993,3.0625,3.375,15400,3.375,3.0625,2.572868585586548
16-06-1993,3.0625,3.0625,13600,3.375,3.375,2.835406541824341
17-06-1993,3.0,3.375,16300,3.375,3.375,2.835406541824341
18-06-1993,3.0,3.375,13000,3.375,3.25,2.730391263961792
21-06-1993,3.0,3.0,4000,3.375,3.1875,2.677884101867676
22-06-1993,3.0,3.375,27300,3.375,3.0,2.5203616619110107
23-06-1993,3.0,3.0,22000,3.375,3.0,2.5203616619110107
24-06-1993,3.0,3.25,8400,3.375,3.375,2.835406541824341
25-06-1993,3.0,3.375,57400,3.5,3.375,2.835406541824341
28-06-1993,3.0625,3.0625,8200,3.375,3.375,2.835406541824341
29-06-1993,3.0625,3.0625,10300,3.375,3.0625,2.572868585586548
30-06-1993,3.0,3.25,3100,3.375,3.0,2.5203616619110107
01-07-1993,3.0,3.0,11000,3.25,3.125,2.6253767013549805
