Date,Low,Open,Volume,High,Close,Adjusted Close
31-10-1994,8.1875,8.1875,1984200,8.3125,8.3125,6.694360733032227
01-11-1994,8.1875,8.3125,2176400,8.3125,8.25,6.644025802612305
02-11-1994,8.1875,8.25,2348200,8.25,8.1875,6.593693256378174
03-11-1994,8.125,8.1875,2060800,8.25,8.1875,6.593693256378174
04-11-1994,8.125,8.1875,2663800,8.25,8.125,6.543359279632568
07-11-1994,8.0,8.0625,1049400,8.0625,8.0625,6.493025302886963
08-11-1994,7.875,8.0625,5761000,8.0625,7.875,6.342024326324463
09-11-1994,7.9375,7.9375,2480000,8.0625,8.0,6.44269323348999
10-11-1994,8.0,8.0,1956000,8.0625,8.0625,6.493025302886963
11-11-1994,8.0,8.0625,1300200,8.0625,8.0,6.44269323348999
14-11-1994,7.875,7.9375,1419200,7.9375,7.9375,6.392358779907227
15-11-1994,7.875,7.9375,3118800,7.9375,7.875,6.342024326324463
16-11-1994,7.875,7.875,813400,7.9375,7.875,6.342024326324463
17-11-1994,7.75,7.875,1477600,7.875,7.8125,6.291689872741699
18-11-1994,7.6875,7.8125,2452600,7.8125,7.75,6.241359233856201
21-11-1994,7.5625,7.75,3276000,7.75,7.5625,6.090357780456543
22-11-1994,7.4375,7.5625,2725000,7.625,7.4375,5.989687919616699
23-11-1994,7.3125,7.4375,2634200,7.5,7.5,6.0400238037109375
25-11-1994,7.5,7.5,640800,7.5,7.5,6.0400238037109375
28-11-1994,7.4375,7.5,1583400,7.5625,7.5625,6.090357780456543
29-11-1994,7.4375,7.5625,1056400,7.5625,7.5,6.0400238037109375
30-11-1994,7.4375,7.5,1086800,7.5,7.5,6.0400238037109375
01-12-1994,7.4375,7.5,979000,7.5,7.4375,5.989687919616699
02-12-1994,7.375,7.4375,1257200,7.5,7.5,6.0400238037109375
05-12-1994,7.4375,7.5,1071200,7.5625,7.4375,5.989687919616699
06-12-1994,7.375,7.4375,1819200,7.4375,7.4375,5.989687919616699
07-12-1994,7.3125,7.4375,1223400,7.4375,7.375,5.939356803894043
08-12-1994,7.375,7.375,1178400,7.4375,7.375,5.939356803894043
09-12-1994,7.3125,7.375,1682000,7.375,7.375,5.939356803894043
12-12-1994,7.3125,7.375,1011400,7.4375,7.375,5.939356803894043
13-12-1994,7.375,7.375,1555200,7.5,7.4375,5.989687919616699
14-12-1994,7.4375,7.4375,1351600,7.5,7.5,6.0400238037109375
15-12-1994,7.375,7.5,2600400,7.5625,7.5,6.0400238037109375
16-12-1994,7.4375,7.5,3428800,7.5625,7.5,6.0400238037109375
19-12-1994,7.375,7.5,3590000,7.625,7.5625,6.090357780456543
20-12-1994,7.5625,7.5625,1464200,7.625,7.625,6.140689849853516
21-12-1994,7.625,7.625,3717600,7.6875,7.625,6.140689849853516
22-12-1994,7.625,7.625,1467200,7.75,7.75,6.241359233856201
23-12-1994,7.625,7.75,1012000,7.75,7.625,6.140689849853516
27-12-1994,7.625,7.625,3242800,7.75,7.75,6.241359233856201
28-12-1994,7.625,7.75,1814400,7.75,7.75,6.241359233856201
29-12-1994,7.75,7.75,1436200,7.8125,7.8125,6.291689872741699
30-12-1994,7.6875,7.8125,1365600,7.8125,7.8125,6.291689872741699
03-01-1995,7.6875,7.8125,1064200,7.8125,7.75,6.241359233856201
04-01-1995,7.625,7.75,1751600,7.8125,7.6875,6.191022872924805
05-01-1995,7.625,7.6875,1600200,7.75,7.75,6.241359233856201
06-01-1995,7.6875,7.75,2230600,7.8125,7.6875,6.191022872924805
09-01-1995,7.625,7.6875,2108800,7.75,7.6875,6.191022872924805
10-01-1995,7.6875,7.6875,1580600,7.75,7.6875,6.191022872924805
11-01-1995,7.5625,7.6875,3488600,7.6875,7.625,6.140689849853516
12-01-1995,7.5,7.5625,1875600,7.5625,7.5,6.0400238037109375
13-01-1995,7.5625,7.5625,2206600,7.5625,7.5625,6.090357780456543
16-01-1995,7.5625,7.5625,3502000,7.625,7.625,6.140689849853516
17-01-1995,7.625,7.625,1322800,7.6875,7.625,6.140689849853516
18-01-1995,7.5625,7.625,2150400,7.625,7.5625,6.090357780456543
19-01-1995,7.4375,7.5,3214600,7.5,7.5,6.0400238037109375
20-01-1995,7.4375,7.5,2263800,7.5625,7.5,6.0400238037109375
23-01-1995,7.4375,7.5,4176200,7.5625,7.5625,6.090357780456543
24-01-1995,7.5,7.5625,1362800,7.625,7.5625,6.090357780456543
25-01-1995,7.5625,7.5625,2840000,7.625,7.625,6.140689849853516
26-01-1995,6.875,7.125,14524000,7.125,7.0625,5.68768835067749
27-01-1995,6.9375,7.0625,7288800,7.125,6.9375,5.587019920349121
30-01-1995,6.9375,6.9375,3881000,7.0,7.0,5.637354373931885
31-01-1995,7.0,7.0,2975200,7.0625,7.0625,5.68768835067749
01-02-1995,6.875,7.0625,2668000,7.0625,6.9375,5.587019920349121
02-02-1995,6.875,6.9375,1846800,7.0,6.9375,5.587019920349121
03-02-1995,6.9375,6.9375,3790800,7.0625,7.0625,5.68768835067749
06-02-1995,7.0,7.0625,2963200,7.125,7.0625,5.68768835067749
07-02-1995,7.125,7.125,2994800,7.1875,7.1875,5.788356304168701
08-02-1995,7.125,7.1875,3764800,7.3125,7.1875,5.788356304168701
09-02-1995,7.0625,7.1875,1978400,7.25,7.25,5.838689804077148
10-02-1995,7.1875,7.25,1724200,7.25,7.1875,5.788356304168701
13-02-1995,7.125,7.1875,1560000,7.1875,7.125,5.738021373748779
14-02-1995,7.0625,7.125,1967200,7.1875,7.125,5.738021373748779
15-02-1995,7.125,7.125,1822800,7.1875,7.1875,5.788356304168701
16-02-1995,7.125,7.1875,1477000,7.1875,7.1875,5.788356304168701
17-02-1995,7.1875,7.1875,3836600,7.3125,7.25,5.838689804077148
21-02-1995,7.1875,7.25,2169400,7.3125,7.1875,5.788356304168701
22-02-1995,7.125,7.1875,1879800,7.1875,7.1875,5.788356304168701
