Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,22.125,0.0,4300,22.625,22.375,4.10772180557251
22-02-1973,22.125,0.0,4000,22.5,22.5,4.130669593811035
23-02-1973,22.0,0.0,3500,22.5,22.0,4.038878440856934
26-02-1973,21.75,0.0,2200,22.125,21.875,4.015933036804199
27-02-1973,21.5,0.0,6400,21.875,21.5,3.9470865726470947
28-02-1973,21.5,0.0,2200,21.75,21.625,3.9700331687927246
01-03-1973,21.5,0.0,6200,21.875,21.625,3.9700331687927246
02-03-1973,21.625,0.0,3100,21.875,21.75,3.992982864379883
05-03-1973,20.5,0.0,27800,22.0,20.75,3.8093984127044678
06-03-1973,20.875,0.0,7900,21.125,20.875,3.8323445320129395
07-03-1973,21.0,0.0,4400,21.375,21.25,3.9011876583099365
08-03-1973,21.0,0.0,14200,21.625,21.25,3.9011876583099365
09-03-1973,20.875,0.0,3600,21.375,20.875,3.8323445320129395
12-03-1973,20.5,0.0,4800,20.875,20.5,3.763498306274414
13-03-1973,20.5,0.0,8400,21.375,21.125,3.878241777420044
14-03-1973,20.75,0.0,9500,21.25,21.0,3.8552918434143066
15-03-1973,21.0,0.0,6600,21.375,21.0,3.8552918434143066
16-03-1973,20.75,0.0,5900,21.375,20.75,3.8093984127044678
19-03-1973,20.625,0.0,5900,21.0,20.625,3.7864480018615723
20-03-1973,20.25,0.0,6300,20.5,20.375,3.7405521869659424
21-03-1973,20.25,0.0,5700,20.375,20.375,3.7405521869659424
22-03-1973,19.875,0.0,7000,20.375,19.875,3.6487607955932617
23-03-1973,19.625,0.0,10400,20.0,20.0,3.671708583831787
26-03-1973,20.0,0.0,5700,20.25,20.25,3.7176034450531006
27-03-1973,20.0,0.0,8300,20.375,20.25,3.7176034450531006
28-03-1973,20.125,0.0,3500,20.5,20.25,3.7176034450531006
29-03-1973,20.0,0.0,34400,20.625,20.5,3.763498306274414
30-03-1973,20.5,0.0,3400,20.75,20.625,3.7864480018615723
02-04-1973,19.875,0.0,19000,20.75,19.875,3.6487607955932617
03-04-1973,19.75,0.0,7700,19.875,19.875,3.6487607955932617
04-04-1973,19.5,0.0,17200,19.875,19.5,3.579913377761841
05-04-1973,19.25,0.0,7400,19.625,19.625,3.602863311767578
06-04-1973,19.25,0.0,9300,19.625,19.375,3.556966543197632
09-04-1973,19.5,0.0,5500,20.125,20.0,3.671708583831787
10-04-1973,19.625,0.0,22500,20.125,19.875,3.6487607955932617
11-04-1973,19.875,0.0,10800,20.0,19.875,3.6487607955932617
12-04-1973,19.75,0.0,22900,20.125,20.0,3.671708583831787
13-04-1973,20.25,0.0,7600,20.625,20.5,3.763498306274414
16-04-1973,20.375,0.0,3000,20.75,20.625,3.7864480018615723
17-04-1973,20.75,0.0,1900,21.0,20.75,3.8093984127044678
18-04-1973,20.875,0.0,1800,21.125,21.125,3.878241777420044
19-04-1973,21.125,0.0,7000,22.25,21.875,4.015933036804199
23-04-1973,22.0,0.0,18900,22.5,22.125,4.061826229095459
24-04-1973,21.875,0.0,5400,22.25,21.875,4.015933036804199
25-04-1973,20.875,0.0,3800,21.375,21.25,3.953601598739624
26-04-1973,21.125,0.0,3100,21.375,21.25,3.953601598739624
27-04-1973,21.125,0.0,3800,21.5,21.25,3.953601598739624
30-04-1973,21.0,0.0,5700,21.5,21.0,3.907090425491333
01-05-1973,21.125,0.0,6900,21.5,21.125,3.930349826812744
02-05-1973,21.0,0.0,5000,21.5,21.5,4.000117301940918
03-05-1973,21.25,0.0,3800,21.75,21.75,4.046631336212158
04-05-1973,22.0,0.0,6800,22.625,22.375,4.162912845611572
07-05-1973,21.75,0.0,5100,22.5,21.75,4.046631336212158
08-05-1973,21.5,0.0,8300,21.75,21.75,4.046631336212158
09-05-1973,21.625,0.0,2500,21.875,21.625,4.023373126983643
10-05-1973,21.625,0.0,13700,21.875,21.75,4.046631336212158
11-05-1973,21.625,0.0,6700,21.75,21.75,4.046631336212158
14-05-1973,20.75,0.0,10900,21.375,21.125,3.930349826812744
15-05-1973,20.75,0.0,9800,21.25,21.0,3.907090425491333
16-05-1973,20.75,0.0,4400,21.375,21.0,3.907090425491333
17-05-1973,20.875,0.0,2000,21.0,20.875,3.8838329315185547
18-05-1973,20.25,0.0,8700,20.75,20.25,3.767550468444824
21-05-1973,20.125,0.0,3900,20.5,20.125,3.7442965507507324
22-05-1973,20.125,0.0,2100,20.5,20.25,3.767550468444824
23-05-1973,20.125,0.0,6500,20.75,20.5,3.8140666484832764
24-05-1973,20.75,0.0,4600,21.0,21.0,3.907090425491333
25-05-1973,21.0,0.0,4400,21.5,21.25,3.953601598739624
29-05-1973,21.125,0.0,2500,21.375,21.125,3.930349826812744
30-05-1973,21.125,0.0,6800,21.375,21.25,3.953601598739624
31-05-1973,21.125,0.0,2700,21.375,21.125,3.930349826812744
01-06-1973,21.125,0.0,4500,21.375,21.125,3.930349826812744
04-06-1973,21.125,0.0,2600,21.125,21.125,3.930349826812744
05-06-1973,21.125,0.0,2700,21.375,21.375,3.9768624305725098
06-06-1973,21.125,0.0,3200,21.625,21.25,3.953601598739624
07-06-1973,21.125,0.0,2700,21.5,21.125,3.930349826812744
08-06-1973,21.5,0.0,2900,21.75,21.625,4.023373126983643
11-06-1973,21.75,0.0,12500,22.125,21.75,4.046631336212158
12-06-1973,21.5,0.0,4000,21.875,21.5,4.000117301940918
13-06-1973,21.625,0.0,1500,21.75,21.75,4.046631336212158
14-06-1973,21.0,0.0,9400,21.625,21.375,3.9768624305725098
15-06-1973,20.75,0.0,2000,21.125,21.0,3.907090425491333
18-06-1973,20.375,0.0,5500,20.75,20.375,3.7908077239990234
19-06-1973,20.375,0.0,1800,20.625,20.625,3.8373219966888428
20-06-1973,20.375,0.0,1500,20.75,20.375,3.7908077239990234
21-06-1973,20.25,0.0,3300,20.625,20.375,3.7908077239990234
22-06-1973,20.5,0.0,3500,20.875,20.875,3.8838329315185547
25-06-1973,20.5,0.0,4900,21.0,20.625,3.8373219966888428
26-06-1973,20.625,0.0,3600,21.25,21.25,3.953601598739624
27-06-1973,20.875,0.0,4400,21.25,21.0,3.907090425491333
28-06-1973,20.75,0.0,3000,20.875,20.75,3.8605756759643555
29-06-1973,20.75,0.0,3600,21.375,21.25,3.953601598739624
02-07-1973,21.25,0.0,1000,21.5,21.25,3.953601598739624
03-07-1973,21.125,0.0,1300,21.5,21.5,4.000117301940918
05-07-1973,20.25,0.0,12500,21.0,20.25,3.767550468444824
06-07-1973,20.0,0.0,3200,20.5,20.125,3.7442965507507324
09-07-1973,19.875,0.0,5200,20.25,20.25,3.767550468444824
10-07-1973,20.0,0.0,6900,20.75,20.125,3.7442965507507324
11-07-1973,20.0,0.0,10400,20.125,20.0,3.7210371494293213
12-07-1973,20.25,0.0,5900,20.75,20.75,3.8605756759643555
13-07-1973,19.875,0.0,14300,20.625,20.625,3.8373219966888428
16-07-1973,20.0,0.0,8200,20.75,20.125,3.7442965507507324
17-07-1973,20.125,0.0,3600,20.5,20.125,3.7442965507507324
18-07-1973,20.125,0.0,3800,20.5,20.5,3.8140666484832764
19-07-1973,20.375,0.0,3300,20.875,20.5,3.8140666484832764
20-07-1973,20.0,0.0,6400,20.875,20.25,3.767550468444824
23-07-1973,20.25,0.0,8200,21.25,21.125,3.930349826812744
24-07-1973,20.375,0.0,5600,20.875,20.5,3.8140666484832764
25-07-1973,20.25,0.0,8200,20.625,20.5,3.8140666484832764
26-07-1973,20.125,0.0,5200,20.5,20.125,3.7442965507507324
27-07-1973,20.125,0.0,5200,20.5,20.5,3.8140666484832764
30-07-1973,20.125,0.0,3400,20.375,20.375,3.7908077239990234
31-07-1973,20.125,0.0,4700,20.5,20.25,3.767550468444824
01-08-1973,19.75,0.0,3200,20.125,20.0,3.7210371494293213
02-08-1973,19.75,0.0,3400,20.0,20.0,3.7210371494293213
03-08-1973,19.75,0.0,3100,20.0,20.0,3.7210371494293213
06-08-1973,19.5,0.0,5500,20.0,19.5,3.6280128955841064
07-08-1973,19.375,0.0,3100,19.75,19.375,3.6047565937042236
08-08-1973,19.125,0.0,5500,19.5,19.125,3.558243751525879
09-08-1973,19.125,0.0,2500,19.375,19.375,3.6047565937042236
10-08-1973,19.125,0.0,1100,19.5,19.25,3.581498146057129
13-08-1973,19.125,0.0,2500,19.625,19.125,3.558243751525879
14-08-1973,18.875,0.0,4100,19.125,19.0,3.5349862575531006
15-08-1973,18.625,0.0,6400,19.0,18.75,3.4884746074676514
16-08-1973,18.625,0.0,3600,19.0,18.75,3.4884746074676514
17-08-1973,18.625,0.0,3900,19.125,18.75,3.4884746074676514
20-08-1973,18.25,0.0,6600,18.75,18.75,3.4884746074676514
21-08-1973,18.625,0.0,1000,18.875,18.625,3.4652152061462402
22-08-1973,18.5,0.0,7400,18.875,18.5,3.4419596195220947
23-08-1973,18.25,0.0,54900,18.625,18.25,3.395448923110962
24-08-1973,18.25,0.0,3000,18.5,18.5,3.4419596195220947
27-08-1973,18.25,0.0,5700,18.5,18.25,3.395448923110962
28-08-1973,18.25,0.0,4500,18.625,18.625,3.4652152061462402
29-08-1973,18.375,0.0,6200,18.75,18.625,3.4652152061462402
30-08-1973,18.625,0.0,7400,19.0,19.0,3.5349862575531006
31-08-1973,18.75,0.0,4100,19.0,19.0,3.5349862575531006
04-09-1973,18.875,0.0,8400,19.125,18.875,3.5117290019989014
05-09-1973,18.625,0.0,62900,19.0,18.75,3.4884746074676514
06-09-1973,18.75,0.0,23300,19.375,19.375,3.6047565937042236
07-09-1973,19.25,0.0,10700,19.5,19.5,3.6280128955841064
